ZIP,Population
53215,61028
54601,51063
53511,48897
53711,48455
53209,48321
53704,46614
54115,46443
54956,44481
54915,43401
54703,43089
53218,42728
53081,41666
54935,41636
54701,41358
53590,40911
54313,40083
53221,39602
53204,38778
54220,38653
54901,37765
53051,37668
53207,37103
53154,36321
53703,35834
54311,35754
53132,35619
53066,35414
53214,35210
53188,35045
53211,34389
53219,34315
53186,34092
53142,33967
53402,33780
54729,32927
53719,32594
54016,32171
53151,32154
54302,31670
53216,31476
54401,30625
54914,30555
53140,30425
53546,30123
53212,30115
54880,29792
53105,29302
53208,29205
53223,28640
53217,28398
54481,28166
53213,27755
53095,27596
54304,27524
53189,27399
53220,27224
54952,27182
54130,27076
54494,26936
53144,26843
53562,26490
53403,26486
53405,26450
53222,26340
54449,26324
54303,26142
53225,26036
54751,25931
53150,25913
54911,25911
53072,25850
53210,25800
53406,25624
53705,25256
53202,24967
54650,24794
53593,24775
54403,23977
53227,23975
54022,23775
53206,23612
53027,23361
53545,22763
53713,22726
53916,22485
54904,22437
53224,22320
54913,22184
53090,22118
54902,22094
53143,21675
54301,21485
53029,21484
53045,21464
53083,20969
53172,20857
53092,20625
54937,20596
53913,20534
53005,20514
54501,20306
53589,20300
53149,19849
53022,19665
53597,19579
53190,19484
53089,19223
53094,19175
54476,19001
53121,18993
53226,18985
53716,18756
53185,18706
53538,18657
54452,18649
53012,18532
54017,18289
53110,18211
54455,18105
54656,18096
53024,17977
53575,17518
53147,17092
53158,17085
54235,16822
54166,16547
53818,16158
53532,15997
53718,15882
54660,15822
53714,15750
53115,15722
54868,15380
53566,15015
54981,14989
53073,14913
53233,14850
54636,14838
54143,14811
53901,14729
53228,14718
54961,14037
53129,14005
53404,13935
54467,13893
54241,13893
53963,13788
54603,13770
53959,13717
53715,13202
54409,12953
53717,12859
53074,12788
53558,12609
53534,11764
53098,11748
53085,11644
54843,11514
53572,11455
53563,11282
54451,11261
54806,11210
53527,11112
53965,10625
54615,10525
53120,10476
54971,10467
53549,10193
54942,10124
53581,10080
53182,9873
53037,9823
53235,9555
53168,9512
54162,9351
54487,9337
53128,9161
53205,9119
53551,9055
54140,8890
54944,8838
53536,8813
54923,8770
53555,8625
54929,8511
54665,8476
53948,8384
53040,8252
53086,8246
53010,8099
53925,8097
53018,8031
54521,7986
53177,7970
53821,7962
54720,7857
54669,7825
53130,7789
54155,7715
54165,7653
54001,7648
54457,7592
53014,7512
53146,7509
54217,7393
53181,7338
54020,7306
54495,7284
53126,7265
54021,7202
54724,7188
54025,7179
54963,7152
54755,7073
53533,7072
54153,7069
53179,7036
53097,6881
53118,6860
53954,6822
53050,6820
54982,6819
54011,6706
53520,6670
54801,6527
54136,6517
54208,6487
53559,6478
54002,6454
54768,6450
53042,6432
53578,6406
53528,6376
54216,6254
53706,6226
53949,6188
53122,6156
53119,6055
53583,6029
54157,6026
53813,6003
54728,5997
53508,5826
54848,5776
54456,5644
53104,5610
54106,5566
54812,5554
54154,5534
53955,5530
53017,5494
54986,5457
53950,5431
54739,5429
53080,5388
54229,5386
54484,5349
54742,5347
53805,5336
54110,5308
54114,5302
54829,5280
53726,5270
54730,5188
53594,5117
54201,5094
54411,5017
54612,5015
53523,5008
53070,5005
54568,4981
54548,4975
53033,4924
54667,4885
53061,4882
53032,4860
54758,4779
54555,4769
53807,4742
53565,4685
53039,4637
53021,4619
54822,4602
54024,4602
54230,4594
53933,4572
54727,4513
53531,4465
54634,4463
53530,4455
54023,4412
53038,4402
54940,4385
54448,4384
54840,4360
54426,4339
54421,4330
54173,4324
53809,4318
54771,4303
54983,4299
53934,4244
53946,4243
54736,4193
54520,4138
53525,4132
53184,4115
54630,4106
54646,4070
54552,4009
54853,4006
54474,4004
53574,3986
54874,3932
53588,3930
54661,3913
54970,3862
54722,3859
53076,3854
53020,3845
54171,3803
54893,3800
54015,3743
54479,3705
54170,3704
53103,3669
54837,3622
54107,3600
54113,3588
54124,3570
53560,3569
54619,3568
53964,3560
54406,3502
54180,3494
54738,3491
53521,3491
54767,3484
54773,3483
54126,3475
53910,3468
54757,3463
53004,3428
53013,3428
54945,3424
54414,3409
54135,3396
53960,3383
53156,3364
53058,3348
53108,3329
53811,3325
54013,3318
54949,3271
54129,3233
54139,3220
54732,3199
54151,3198
54174,3165
53941,3151
54891,3150
53956,3141
53952,3130
53048,3119
53075,3106
54121,3097
54984,3081
54446,3080
53573,3061
54871,3026
54005,3017
54873,3016
53036,3009
54538,2991
54437,2988
53191,2927
54228,2919
53015,2916
54666,2915
54725,2900
54968,2873
53598,2857
54440,2844
54499,2842
54950,2826
54169,2794
53183,2779
54830,2771
54466,2765
54460,2757
54814,2728
54639,2713
53049,2704
54872,2702
54405,2697
54101,2694
54177,2684
53951,2671
54028,2665
54629,2643
54473,2640
54410,2633
54810,2625
53153,2624
53929,2602
54658,2586
54161,2564
53114,2560
53570,2555
53178,2552
54614,2548
54009,2528
54889,2514
53932,2495
54616,2488
53919,2462
54960,2451
54112,2450
54247,2449
53023,2435
54423,2422
54941,2409
53968,2399
53170,2389
53576,2379
54498,2376
53502,2375
53516,2349
53936,2343
53529,2342
54534,2333
53065,2333
53139,2330
54847,2328
54824,2326
53556,2325
54819,2321
54436,2320
54618,2319
54004,2317
54747,2299
53944,2267
54947,2259
53820,2251
54909,2249
53923,2243
54111,2243
53507,2214
53035,2206
53504,2182
53002,2181
53515,2180
54642,2162
54443,2156
54770,2145
54623,2142
53585,2134
53586,2133
54205,2130
54141,2125
53044,2115
54745,2114
54966,2089
54128,2080
53561,2077
54014,2074
54470,2059
53011,2051
54412,2043
54026,2038
53093,2026
54425,2016
54622,1975
53059,1975
54740,1964
53007,1964
54435,1959
54245,1950
53091,1949
54943,1938
54514,1922
54558,1910
53503,1909
54741,1901
54817,1889
54433,1888
54766,1878
54726,1854
54486,1851
54234,1846
54930,1835
53517,1815
53001,1806
54859,1803
54655,1802
54613,1799
54670,1788
54635,1787
53543,1787
54471,1786
54469,1775
54664,1770
54754,1769
53019,1763
54627,1754
53203,1743
53006,1735
53057,1712
54648,1703
54849,1702
54562,1701
53125,1700
53579,1693
54870,1689
54858,1685
54856,1671
54416,1671
54631,1668
54876,1665
54082,1649
54489,1642
54424,1641
53034,1629
53137,1614
54638,1614
54651,1613
54204,1613
53078,1608
53926,1581
53806,1580
53063,1553
54749,1552
54610,1546
54202,1536
54805,1534
54624,1530
53510,1517
54977,1485
54475,1484
54491,1457
54759,1437
54227,1433
53518,1431
54932,1425
54721,1425
53079,1421
54644,1420
54156,1414
54965,1397
54209,1397
54480,1396
53804,1396
54454,1395
54541,1392
53577,1388
54864,1376
54974,1369
54547,1363
54621,1350
54407,1333
53826,1330
53930,1329
53911,1322
54979,1321
54659,1307
54761,1307
54420,1304
54427,1298
54519,1295
54896,1294
54531,1294
54626,1289
54442,1287
53550,1286
54422,1284
53924,1284
54511,1280
54213,1267
54539,1261
54611,1243
54307,1237
54762,1235
54748,1234
54459,1218
54733,1216
53569,1216
54149,1211
53587,1210
54632,1210
54922,1195
54921,1188
53046,1184
53803,1183
54566,1183
53943,1169
54554,1163
54488,1162
54962,1154
54529,1154
54888,1152
54875,1151
54159,1142
54821,1133
54556,1131
53937,1121
54003,1108
53582,1100
54652,1095
54104,1094
54838,1090
54546,1084
54137,1083
54763,1082
54150,1072
54408,1063
54964,1057
54175,1055
53922,1049
54723,1049
53801,1046
54836,1042
53554,1022
54772,1022
53506,1017
54441,1016
54027,1002
53537,998
54418,993
54512,975
53522,971
53808,971
54007,960
54835,950
54428,941
54820,941
54750,936
54232,936
54855,933
54138,933
54628,924
53541,916
53816,911
54653,910
54212,910
54854,905
54490,904
54756,891
54540,880
54545,859
53961,838
54828,838
54557,838
54246,828
53544,824
54527,817
54563,816
54895,781
53069,762
54526,755
54119,751
54102,737
54530,726
54731,723
54734,720
53553,717
54559,711
54746,710
54524,686
54493,685
54737,679
54006,675
54826,675
54846,675
54210,661
54813,659
54560,580
54463,567
54550,559
53526,555
53167,552
54125,550
53825,544
54928,541
54769,539
53580,527
54537,512
53920,502
54542,500
54865,489
54465,489
54515,485
54103,483
54867,475
54967,467
54927,443
54513,435
54931,432
54447,431
54462,425
53969,416
54450,406
53557,394
54657,368
54832,367
53505,363
53088,363
53810,357
54933,353
53016,346
54934,322
54827,315
53939,306
54564,306
54985,300
54525,293
54214,291
54654,291
54862,289
54485,268
53953,267
54839,263
54842,261
54123,256
54841,250
53935,246
54850,239
54160,238
54760,235
53931,232
53540,231
54120,229
54844,227
54211,227
54625,225
54948,207
54637,207
53827,205
53702,178
53947,175
53817,172
53295,169
54857,164
54413,160
54536,157
54430,153
54207,145
54861,143
54980,139
53195,138
53003,138
54517,121
54845,111
54458,104
54946,94
53928,92
54645,56
53571,48
53599,45
53047,45
54010,45
54127,43
53802,39
54565,36
54417,20
53192,11
54765,10
54643,2
