Zip,Number of Sites
10001,1
10017,1
10018,1
10573,1
10604,1
20002,1
20006,1
20201,2
20530,1
20547,1
20706,1
20814,1
20892,2
20894,1
21045,1
21230,1
2199,1
22201,1
22202,1
22311,2
27709,1
2895,3
30329,2
40206,1
43209,1
45202,1
49348,1
49544,1
49801,2
49812,1
49845,1
49858,2
49887,1
49896,1
50662,4
51503,1
52001,2
52043,3
52052,1
52101,13
52136,6
52142,2
52161,2
52172,5
52175,7
53005,18
53010,2
53012,2
53014,12
53018,2
53022,2
53024,6
53029,5
53032,2
53034,1
53039,4
53040,1
53042,1
53045,3
53048,2
53050,1
53051,3
53058,1
53061,1
53066,7
53072,3
53073,2
53074,7
53081,26
53083,3
53085,2
53089,2
53090,8
53092,6
53094,6
53095,24
53097,1
53098,1
53105,3
53110,2
53114,1
53115,5
53120,1
53121,13
53122,4
53126,1
53129,2
53130,6
53132,6
53140,6
53142,4
53143,15
53144,8
53149,7
53150,2
53151,4
53154,4
53158,1
53172,3
53177,6
53179,1
53182,6
53186,21
53188,26
53189,3
53190,3
53202,14
53203,4
53204,31
53205,20
53206,6
53207,5
53208,11
53209,4
53210,12
53211,5
53212,17
53213,7
53214,22
53215,9
53216,11
53217,5
53218,11
53219,6
53220,10
53221,4
53222,6
53223,4
53224,2
53225,2
53226,25
53227,20
53228,2
53233,29
53235,1
53402,1
53403,18
53405,3
53406,13
53408,3
53508,1
53511,7
53525,1
53530,3
53532,2
53533,9
53538,5
53545,4
53546,10
53548,1
53549,9
53562,2
53566,4
53573,1
53579,1
53581,11
53589,2
53590,4
53593,1
53703,40
53704,19
53705,3
53706,1
53711,4
53713,14
53714,10
53715,4
53716,6
53717,3
53718,15
53719,17
53744,3
53805,2
53809,1
53813,11
53818,9
53821,13
53901,8
53910,3
53913,4
53916,10
53925,1
53934,7
53948,5
53949,8
53950,1
53956,1
53959,1
53964,1
54002,3
54011,2
54015,2
54016,12
54017,4
54020,1
54022,4
54023,2
54024,3
54107,1
54110,2
54112,1
54113,1
54114,3
54115,4
54121,4
54124,2
54128,1
54129,2
54130,4
54135,3
54136,4
54138,1
54139,1
54140,1
54143,8
54151,2
54153,5
54154,4
54156,1
54157,2
54165,1
54166,9
54173,1
54174,1
54177,2
54216,1
54220,15
54230,1
54235,5
54241,7
54301,8
54302,3
54303,4
54304,10
54307,1
54311,7
54313,2
54401,28
54403,16
54405,2
54406,1
54409,5
54410,1
54416,2
54421,2
54428,1
54441,1
54449,12
54451,5
54452,7
54455,3
54456,1
54466,1
54467,2
54473,2
54474,3
54476,12
54481,28
54482,4
54486,1
54487,7
54491,1
54494,7
54495,4
54499,2
54501,14
54520,10
54521,3
54534,1
54541,1
54548,4
54555,5
54566,1
54568,4
54601,54
54603,7
54610,4
54612,1
54615,31
54616,2
54619,4
54629,2
54634,4
54636,3
54646,2
54650,15
54656,22
54659,1
54660,19
54661,2
54665,15
54666,2
54667,1
54669,1
54670,1
54701,41
54703,18
54720,2
54722,1
54724,1
54729,20
54732,1
54736,14
54747,1
54751,26
54755,5
54758,1
54760,1
54773,12
54801,3
54806,6
54810,3
54812,6
54829,1
54843,2
54848,7
54854,1
54868,7
54871,3
54872,5
54873,1
54880,15
54889,1
54891,1
54901,13
54902,6
54904,5
54911,29
54913,3
54914,10
54915,11
54923,3
54929,2
54935,14
54937,5
54941,6
54942,1
54944,1
54945,1
54949,1
54950,1
54952,8
54956,17
54961,3
54966,1
54981,7
54982,6
54983,1
54984,1
55402,1
55921,5
55939,1
55943,1
55944,1
55947,1
55965,8
55975,1
55987,25
60015,3
60093,3
60601,1
60680,1
63102,1
63141,1
66213,1
68818,1
72716,2
75038,1
7930,1
94109,2
94703,1
