Zip,Number of Sites
20852,2
33445,5
49801,2
49858,2
50662,1
52043,2
52101,2
52136,2
52172,2
52175,1
53005,8
53012,2
53014,9
53018,1
53019,1
53022,4
53024,3
53027,3
53029,2
53037,2
53039,7
53040,2
53042,1
53045,2
53051,7
53066,14
53073,2
53074,4
53081,23
53083,2
53089,1
53090,4
53092,7
53094,1
53095,16
53097,2
53098,1
53105,4
53110,2
53118,2
53121,6
53122,4
53130,1
53132,2
53140,2
53142,7
53143,7
53144,2
53149,5
53150,2
53151,2
53154,4
53158,1
53168,2
53184,1
53186,10
53188,20
53189,1
53190,1
53202,7
53203,3
53204,17
53205,10
53207,3
53208,6
53209,5
53210,4
53212,16
53213,5
53214,5
53215,2
53216,8
53217,5
53218,2
53220,11
53221,5
53222,6
53223,6
53224,2
53225,4
53226,4
53227,9
53233,1
53295,2
53402,3
53403,7
53405,1
53406,13
53511,9
53530,2
53533,4
53538,1
53545,7
53546,7
53548,5
53549,5
53563,1
53566,4
53573,1
53581,8
53589,1
53590,2
53703,8
53704,8
53705,6
53707,1
53711,3
53713,10
53715,6
53716,10
53719,4
53809,1
53813,3
53818,1
53821,7
53901,3
53910,2
53913,10
53916,4
53934,5
53948,4
53949,5
53959,5
54001,2
54011,5
54016,5
54017,5
54022,2
54024,3
54107,1
54115,9
54121,1
54128,2
54130,2
54135,4
54143,11
54151,4
54153,6
54154,1
54162,1
54166,3
54201,1
54216,4
54217,1
54220,18
54235,7
54241,2
54301,33
54302,7
54303,21
54304,12
54311,12
54313,3
54401,13
54403,32
54405,2
54409,6
54416,1
54449,9
54451,4
54452,16
54456,3
54457,1
54467,2
54474,1
54476,6
54481,18
54487,3
54494,6
54495,4
54501,25
54520,3
54521,3
54534,3
54538,4
54548,5
54555,3
54568,3
54601,31
54603,3
54610,6
54612,2
54615,14
54619,1
54634,2
54650,9
54656,10
54660,9
54665,9
54701,17
54703,8
54729,13
54736,4
54751,22
54773,7
54801,1
54806,10
54810,3
54812,5
54814,1
54821,1
54837,1
54843,9
54848,8
54868,6
54871,3
54872,5
54880,7
54891,3
54893,2
54901,14
54902,1
54903,1
54904,7
54911,15
54912,1
54913,1
54914,10
54915,10
54923,1
54935,26
54937,1
54941,3
54947,2
54952,9
54956,8
54961,4
54981,11
54982,8
55012,1
55807,2
55921,1
55987,8
95651,1
