Zip,Number of Sites
10004,1
10010,1
20852,1
45209,1
49812,1
49821,1
49829,1
49845,1
49858,9
49887,1
49896,1
50606,1
50662,7
52043,2
52052,1
52101,14
52136,3
52151,1
52159,1
52162,1
52172,3
52175,3
53005,13
53010,1
53012,5
53014,5
53022,4
53024,14
53027,5
53029,1
53037,4
53039,6
53040,1
53042,2
53045,4
53051,12
53061,1
53066,32
53072,7
53073,5
53074,5
53081,40
53083,5
53085,2
53089,1
53090,3
53092,9
53094,1
53095,33
53097,6
53098,2
53105,9
53110,1
53114,1
53115,8
53118,2
53121,11
53122,5
53130,10
53132,4
53140,8
53142,16
53143,9
53144,2
53147,1
53149,7
53150,2
53151,6
53154,5
53158,2
53168,2
53177,1
53182,1
53184,2
53186,40
53188,30
53189,3
53190,3
53202,18
53203,1
53204,21
53205,40
53206,3
53207,3
53208,20
53209,18
53210,7
53211,7
53212,32
53213,11
53214,31
53215,7
53216,12
53217,10
53218,7
53220,10
53221,4
53222,14
53223,23
53224,3
53225,2
53226,18
53227,14
53233,15
53235,1
53295,5
53401,3
53402,3
53403,12
53404,3
53405,4
53406,11
53508,1
53511,34
53533,11
53536,1
53538,2
53545,10
53546,6
53548,5
53549,4
53554,1
53563,1
53566,2
53573,2
53574,1
53578,1
53581,9
53588,1
53589,2
53590,1
53703,16
53704,13
53705,6
53711,9
53713,12
53714,2
53716,7
53717,3
53718,1
53719,6
53805,1
53806,1
53807,1
53809,3
53811,1
53813,7
53817,1
53818,6
53820,1
53821,9
53826,1
53901,7
53913,2
53916,7
53924,1
53925,1
53934,3
53948,2
53949,6
53959,2
53963,1
53964,2
54001,6
54002,3
54011,1
54015,2
54016,14
54017,1
54020,1
54022,7
54023,1
54024,4
54101,1
54107,2
54110,2
54112,1
54114,2
54115,18
54121,2
54124,2
54128,2
54129,1
54130,4
54135,3
54136,2
54139,1
54140,1
54143,11
54151,3
54153,9
54154,2
54156,1
54157,1
54162,1
54165,2
54166,3
54170,2
54173,1
54174,1
54177,2
54201,1
54209,1
54211,1
54216,1
54217,1
54220,24
54227,1
54230,1
54235,7
54241,8
54301,32
54302,5
54303,14
54304,21
54311,12
54313,6
54344,1
54401,32
54403,17
54405,3
54406,1
54409,6
54416,1
54428,1
54449,16
54451,5
54452,11
54456,1
54460,2
54467,4
54474,2
54476,8
54481,19
54482,2
54486,1
54487,7
54491,2
54494,9
54495,5
54499,1
54501,15
54520,7
54521,5
54534,4
54538,2
54541,1
54548,6
54552,2
54555,2
54566,1
54568,2
54601,39
54603,2
54610,2
54611,1
54612,2
54614,1
54615,16
54616,1
54619,4
54624,1
54629,1
54630,1
54634,3
54636,2
54639,1
54642,2
54650,14
54651,1
54654,1
54655,1
54656,13
54660,11
54664,1
54665,6
54667,1
54669,2
54701,35
54703,12
54720,2
54722,1
54724,1
54725,1
54727,1
54729,15
54730,1
54732,1
54736,2
54738,1
54739,1
54742,1
54743,1
54745,1
54747,2
54751,22
54754,2
54755,1
54757,1
54758,1
54759,1
54768,1
54773,5
54801,3
54806,6
54810,4
54812,3
54814,2
54817,1
54821,3
54829,1
54837,3
54840,1
54843,6
54848,6
54854,1
54868,9
54871,1
54872,5
54873,1
54880,17
54889,4
54891,3
54893,2
54901,28
54902,4
54903,1
54904,10
54911,19
54912,1
54913,7
54914,39
54915,9
54923,1
54929,1
54935,37
54937,4
54941,6
54944,1
54945,1
54949,1
54952,22
54956,16
54961,8
54965,1
54966,1
54971,1
54981,10
54982,7
54983,1
54984,1
54986,2
55807,2
55921,2
55923,1
55939,1
55943,1
55947,3
55949,1
55952,1
55954,1
55965,1
55971,1
55972,1
55974,1
55975,1
55987,20
61073,1
87144,1
8854,1
94544,1
94611,1
