Zip,Number of Sites
10004,1
10038,1
1840,1
20037,1
20706,1
20852,6
20892,1
2108,2
40214,1
49801,2
49858,1
50662,9
52043,2
52101,24
52136,2
52172,4
52175,5
53005,16
53010,1
53012,3
53014,5
53018,1
53019,1
53022,3
53024,6
53027,3
53029,1
53037,2
53039,9
53042,2
53045,1
53051,11
53066,53
53072,6
53073,2
53074,8
53081,24
53083,3
53089,1
53090,3
53092,8
53094,1
53095,35
53097,6
53098,2
53105,3
53110,4
53114,1
53118,2
53121,13
53122,6
53126,1
53130,3
53132,3
53140,8
53142,23
53143,5
53144,6
53149,10
53150,3
53151,6
53154,4
53158,2
53168,1
53177,1
53184,2
53186,32
53188,29
53189,2
53202,16
53203,1
53204,22
53205,21
53206,3
53207,5
53208,16
53209,7
53210,7
53211,3
53212,34
53213,10
53214,25
53215,4
53216,8
53217,12
53218,8
53220,12
53221,3
53222,13
53223,34
53224,3
53225,2
53226,23
53227,27
53233,8
53295,5
53402,2
53403,17
53405,1
53406,12
53511,2
53530,1
53533,7
53538,3
53545,5
53546,2
53548,2
53549,7
53563,1
53566,4
53573,2
53574,1
53581,12
53589,2
53703,19
53704,11
53705,6
53711,16
53713,4
53714,4
53715,3
53716,3
53717,3
53718,1
53719,4
53809,1
53813,6
53818,8
53821,14
53901,8
53910,1
53913,1
53916,4
53934,8
53948,10
53949,4
53959,2
53963,1
53964,2
54001,2
54002,3
54011,1
54015,2
54016,15
54017,2
54020,1
54022,5
54023,2
54024,4
54107,1
54110,1
54115,10
54121,1
54128,1
54129,1
54130,4
54135,2
54138,2
54140,1
54143,6
54153,1
54154,1
54162,1
54165,1
54166,3
54170,1
54201,1
54216,1
54217,1
54220,20
54230,1
54235,4
54241,5
54301,23
54302,5
54303,7
54304,18
54311,10
54313,4
54344,1
54401,28
54403,21
54405,2
54406,1
54409,7
54421,1
54437,1
54449,21
54451,6
54452,14
54454,1
54455,3
54456,2
54460,2
54467,7
54474,3
54476,8
54481,20
54482,2
54487,4
54491,2
54494,10
54495,8
54501,14
54520,8
54521,5
54534,8
54538,1
54548,4
54552,4
54555,4
54568,3
54601,73
54603,4
54610,4
54612,3
54615,29
54619,4
54622,1
54634,2
54636,4
54646,1
54650,24
54656,27
54660,26
54661,2
54665,14
54667,1
54701,54
54703,20
54729,20
54736,3
54747,2
54751,31
54755,1
54760,1
54773,12
54801,6
54806,12
54810,4
54812,5
54814,3
54817,2
54821,3
54829,2
54843,9
54847,2
54848,9
54859,2
54868,14
54871,3
54872,5
54880,9
54889,5
54891,7
54901,14
54902,3
54904,8
54911,14
54913,5
54914,33
54915,10
54929,1
54935,30
54937,4
54941,8
54944,1
54945,1
54949,1
54952,10
54956,12
54961,7
54965,1
54966,1
54981,12
54982,7
54983,1
54984,1
54986,2
55807,1
55921,4
55939,2
55947,1
55987,32
60604,1
61073,1
63105,2
87144,1
