Zip,Number of Sites
22314,1
49348,2
49858,1
50662,5
52043,1
52101,10
52136,1
52172,1
52175,2
53005,13
53012,3
53018,1
53022,1
53024,3
53027,2
53029,3
53039,2
53045,2
53051,4
53066,42
53072,3
53074,2
53080,1
53081,9
53085,1
53089,1
53090,3
53092,8
53094,1
53095,24
53097,5
53098,2
53105,4
53110,1
53114,1
53115,8
53118,2
53121,6
53122,5
53126,1
53130,2
53132,4
53140,6
53142,19
53143,4
53147,1
53149,4
53150,1
53151,3
53154,4
53158,1
53168,2
53177,1
53182,1
53184,1
53186,29
53188,18
53189,3
53202,9
53203,1
53204,17
53205,33
53206,3
53207,5
53208,7
53209,19
53210,6
53211,3
53212,19
53213,5
53214,12
53215,4
53216,8
53217,6
53218,3
53220,9
53221,3
53222,10
53223,28
53224,3
53225,1
53226,13
53227,19
53233,6
53295,4
53401,2
53402,3
53403,9
53404,1
53405,1
53406,10
53508,1
53511,17
53533,7
53538,1
53545,3
53546,2
53548,2
53549,2
53566,1
53573,1
53574,1
53578,1
53581,5
53589,1
53590,1
53703,12
53704,10
53705,4
53711,9
53713,2
53714,1
53715,1
53716,4
53717,2
53718,3
53719,9
53813,2
53818,2
53821,7
53901,5
53913,2
53916,6
53948,1
53949,1
53950,1
53959,2
53963,1
54002,3
54011,1
54015,2
54016,10
54017,1
54020,1
54022,4
54023,1
54024,2
54106,1
54107,1
54115,15
54128,1
54130,2
54136,2
54140,1
54143,3
54153,6
54154,1
54162,1
54170,4
54201,1
54209,2
54216,1
54217,1
54220,11
54227,1
54235,3
54241,3
54301,19
54302,5
54303,9
54304,15
54308,1
54311,5
54313,5
54344,1
54401,19
54403,20
54405,1
54406,1
54409,2
54437,1
54449,4
54452,6
54460,1
54467,4
54474,1
54476,7
54481,14
54482,3
54487,3
54494,5
54495,2
54501,6
54520,3
54521,3
54538,1
54548,1
54555,2
54568,1
54601,28
54603,1
54612,2
54615,5
54619,1
54623,2
54634,1
54636,1
54642,1
54646,1
54650,13
54656,10
54660,7
54665,6
54669,1
54701,29
54703,8
54729,8
54747,1
54751,19
54754,1
54773,2
54801,2
54806,1
54810,3
54812,1
54814,2
54821,2
54837,2
54848,3
54868,8
54872,3
54880,7
54889,1
54891,1
54901,8
54902,3
54904,2
54911,8
54913,5
54914,27
54915,4
54929,1
54935,14
54937,3
54942,1
54952,5
54956,5
54961,3
54965,1
54981,2
55021,1
55413,2
55807,1
55921,1
55941,2
55947,1
55987,9
61073,1
94611,1
