,title,desc,date,datetime,link,img,media,site
0,"U.S. Drought: Weekly Report for November 15, 2022",bookmark_border,Nov 15,,news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3Lm5jZWkubm9hYS5nb3YvbmV3cy91cy1kcm91Z2h0LXdlZWtseS1yZXBvcnQtbm92ZW1iZXItMTUtMjAyMtIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/tS0OU1ZzULbO2hXvexfLXZm3zjCboVCmYm_TB5V77ot2CHB5nJKN1txxOlASw4UnV0Pt-0QalUOIM4tIpX-pszqCPJ7ekSouDrePR7jEArafk07lmdfrP7zDVi9R8kwd9UotV_JB3oNDYVgNIm14CR7PLx8h87ll7taMizH6HgIh9mrcIqloan8TxHOYn88jkJBcdRK-4WrE1dcdQHu3Vw=s0-w100-h100-dcEdAU,,
1,Latest report shows extreme drought conditions expanding in Minnesota,bookmark_border,Nov 3,,news.google.com/./articles/CBMiamh0dHBzOi8va3N0cC5jb20va3N0cC1uZXdzL3RvcC1uZXdzL2xhdGVzdC1yZXBvcnQtc2hvd3MtZXh0cmVtZS1kcm91Z2h0LWNvbmRpdGlvbnMtZXhwYW5kaW5nLWluLW1pbm5lc290YS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/gX9F9jg_gFniRA4Vi1FRiF4JwrvVPSVu7ud_vlIif58kRI9Z9mKY_Nye4VICstYBiezFZKontdok0ajr2F4Tk60LJqSMj_RHTgS4NcsEIQyxHLoGaNQphaZHXiHCMVAppW1i0g=s0-w100-h100-dcGQOIKa7kmqIC,,
2,Takeaways and run-stuffing top priorities for Nebraska defense in ending Wisconsin drought,bookmark_border,Nov 16,,news.google.com/./articles/CBMitgFodHRwczovL29tYWhhLmNvbS9zcG9ydHMvaHVza2Vycy9mb290YmFsbC90YWtlYXdheXMtYW5kLXJ1bi1zdHVmZmluZy10b3AtcHJpb3JpdGllcy1mb3ItbmVicmFza2EtZGVmZW5zZS1pbi1lbmRpbmctd2lzY29uc2luLWRyb3VnaHQvYXJ0aWNsZV8zNzhmZTE4My0wNWUwLTVmY2ItYTllZC0zNzcyM2RmMjE0ZDUuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/xoLb9HE7CsoX-LJK0myTOCnb7xOitfSuKnrwPcof8L8R7LkYplAFzwD68g8l8UKmJejFLsGBwNubB2zXwnDS90g0oEFBLDFkd4ulOESpO7y-FKaErl8vq6RbtSvNECDp7-gKvQrwFJlg0lz8ziz524AEtTXfcQIawWbc5eUIoT5jBoCcjavrucjhq2RaSnKEwBF_6CDJJ80dnrJaMQT6Swk2dGA4Lu4dad-7DVlrkryLOc_sWcp4KpSuxlVL9OI6Vbo8zAtvlhEd=s0-w100-h100-dcrTSEjx0J,,
3,Drought conditions better in western Kentucky - Winchester Sun,bookmark_border,Nov 12,,news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LndpbmNoZXN0ZXJzdW4uY29tLzIwMjIvMTEvMTIvZHJvdWdodC1jb25kaXRpb25zLWJldHRlci1pbi13ZXN0ZXJuLWtlbnR1Y2t5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/bxF3lHu9o1IRoa7qiaNrESxRqJo0VBG432HdCV5g9wywd1e3yy9h0L6PfjycBWH4lKrShbSv5_ubDBHdysH1jmGPNrMezTSNf1YyPgpi-Zx-jPl_aT60nCFhSg3A_Nk76p-yQezbITe2lB-04jkErPVg7Zt9=s0-w100-h100-dciZGIMrUG,,
4,"Temperature swings, wind, snow; very cold Saturday, milder Sunday",bookmark_border,4 hours ago,2022-12-02 15:49:30.144115,news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3Lm1wcm5ld3Mub3JnL3N0b3J5LzIwMjIvMTIvMDIvdGVtcGVyYXR1cmUtc3dpbmdzLXdpbmQtYW5kLXNub3ctcGx1cy1hLWRyb3VnaHQtdXBkYXRl0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/golswa04s03NEB37tH6KVi_7PsKiYNAC5VEkdRx2ZgdvnRTrSCd6hlSKvKvoSIyIOTsZb9A0TNJWjhHqwypwQih31gcwSBGBoAX2VAJYDik2fnilkJ0g96wccv8dGhi456mKNNsJ5whhR9rEv87byC3MIUEFAfWhpurrl69nCWpY2bs9JfVUaNXwMA=s0-w100-h100-dcATCSdhgJ,,
5,Mayors call for federal aid as drought lowers Mississippi River,bookmark_border,Nov 4,,news.google.com/./articles/CBMie2h0dHBzOi8vd3d3Lmpzb25saW5lLmNvbS9zdG9yeS9uZXdzLzIwMjIvMTEvMDQvbWF5b3JzLWNhbGwtZm9yLWZlZGVyYWwtYWlkLWFzLWRyb3VnaHQtbG93ZXJzLW1pc3Npc3NpcHBpLXJpdmVyLzY5NjExODAyMDA3L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/Hwz-c3jH8OJTV2VKyp4MoQlQRTHi-8p_ZLgOcy9TMsgkn6HTCzZXP_Jl9x8AoMXrIyN_II7BTcyEc3oObX8TAI-ifmaMx6lFOhV0dWUrOXrr6SIES0YyplmKygofosSV6FKN1gN5BPy2VY6wVGwf3rRNskFAKikOudX6E-6RCSdQAS6tgJ4Wxk8KoeUTEy8FvhPUqq1h3JkDDOwqaYX-zompjKfZ5sTY4np5DrHY1df4MkoFnwSm=s0-w100-h100-dcAWCK7SwF,,
6,"Moderate drought conditions in Wisconsin, 66% of state affected",bookmark_border,Feb 10,,news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LmZveDZub3cuY29tL3dlYXRoZXIvbW9kZXJhdGUtZHJvdWdodC1jb25kaXRpb25zLXdpc2NvbnNpbtIBSWh0dHBzOi8vd3d3LmZveDZub3cuY29tL3dlYXRoZXIvbW9kZXJhdGUtZHJvdWdodC1jb25kaXRpb25zLXdpc2NvbnNpbi5hbXA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/PZrQoe17EDsWL1QQ-HridomLT03DE4Ls_KbUCrXV8qQ2qVM9nTVCtYn_TNJxG3VEMXYHvkK1V7BCH9tpRWCZpjlBpMHqrW8_AXrglCrg-ayfP9MCdE0MUC_LzWXmBFHD81aDLtJIvuWeP9iPHGIhVXFck9LSXOUpLY609_IXaSvPaA3e4EoX18fpBoh3b4Hb1L16wKLnSjK66eNC=s0-w100-h100-dcAQCQmJwJ,,
7,Moderate drought continues for much of Wisconsin,bookmark_border,Feb 17,,news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LndlYXJlZ3JlZW5iYXkuY29tL3dlYXRoZXIvYmV5b25kdGhlZm9yZWNhc3QvbW9kZXJhdGUtZHJvdWdodC1jb250aW51ZXMtZm9yLW11Y2gtb2Ytd2lzY29uc2luL9IBbWh0dHBzOi8vd3d3LndlYXJlZ3JlZW5iYXkuY29tL3dlYXRoZXIvYmV5b25kdGhlZm9yZWNhc3QvbW9kZXJhdGUtZHJvdWdodC1jb250aW51ZXMtZm9yLW11Y2gtb2Ytd2lzY29uc2luL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/XeLTcJGhYR50mfJLN8exVpETY9ZF3pA1DffiffzypOc6zWFBs5mj0o_OAliIzWVgjuEaq2XlQdd3jxYnbE3nXtQjZSwwXi-9w4UuXikCXdQEP8am4SXNFxh2NBbw4ZOjJZLj9w4mE5GL06tx79tfW4610ROLtbqk2n4LIQq78oxU=s0-w100-h100-dcDQCMrghpLe4B,,
8,"Rain possible Thursday night, Friday night and into Saturday",bookmark_border,Nov 3,,news.google.com/./articles/CBMieWh0dHBzOi8vd3d3Lm1wcm5ld3Mub3JnL3N0b3J5LzIwMjIvMTEvMDMvZHJvdWdodC1leHBhbmRzLXJhaW4tY2hhbmNlcy10aHVyc2RheS1uaWdodC1hbmQtYWxzby1mcmlkYXktbmlnaHQtZWFybHktc2F0dXJkYXnSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/DwS17oJ538WRVodH_lzunjSKaSg8FGhp3C-zaxJSGw0MY-mtgldzYjnM52YHJxoKCbG05GJTi5RypKJLLEzrhwmAab9r6cuhXtS9-SSG0BiBHiATgxx0k88j_x1E6jkZ9LZSnvznyLZg1qjeaSrvJu5Uohbr7RP3qt2mk4Wj3fav1_cmZG5pwQ=s0-w100-h100-dcDUOMTKWkRQjK3D0,,
9,"Gripped by drought, drenched by rain, Mississippi River basin sees climate extremes",bookmark_border,Oct 31,,news.google.com/./articles/CBMidWh0dHBzOi8vd2lzY29uc2lud2F0Y2gub3JnLzIwMjIvMTAvZ3JpcHBlZC1ieS1kcm91Z2h0LWRyZW5jaGVkLWJ5LXJhaW4tbWlzc2lzc2lwcGktcml2ZXItYmFzaW4tc2Vlcy1jbGltYXRlLWV4dHJlbWVzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/iEvdVijoDLofQwYLnm6UJWsoax5TiAOOa7oEmlgxRFscXXN98FfZtzMgiOY6WW0jFg-BZypwQ2R7vndaNXQsElkzDjoNeNLBzPwuYMJPctdIsGS0d0s5jisskm2QMAq7jNH1A6eGhrkAp_WKSmLf6Ai0lF9koVRjO9Hj9TLSTYliyS4WGfreMN2y-SUJOHYgAus=s0-w100-h100-dcFWKUTaUH,,
