,title,desc,date,datetime,link,img,media,site
0,Severe weather threat returns to Wisconsin on Thursday,bookmark_border,Nov 10,,news.google.com/./articles/CBMiZWh0dHBzOi8vc3BlY3RydW1uZXdzMS5jb20vd2kvbWlsd2F1a2VlL3dlYXRoZXIvMjAyMi8xMS8wOS9zZXZlcmUtdGhyZWF0LXJldHVybnMtdGh1cnNkYXktaW4td2lzY29uc2lu0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/A-MtcjbXl1A2uwTCKVVSnrWKJGcya5_lbtKdOIoyOrDxElBHeY3aHE6oeUQeKWNgu6dQrSXp4OUefN2vulaytzNYZ7mhUEkg40Zp7sCpVSl-5jegmkbFH0-_yg=s0-w100-h100-dcBYAB,,
1,"Storm moves in across Wisconsin with potential for strong winds, heavy rain, even a tornado",bookmark_border,Nov 4,,news.google.com/./articles/CBMisQFodHRwczovL3d3dy5ncmVlbmJheXByZXNzZ2F6ZXR0ZS5jb20vc3RvcnkvbmV3cy9sb2NhbC8yMDIyLzExLzA0L3dpc2NvbnNpbi1zdG9ybS1tb3Zlcy1pbi1wb3RlbnRpYWwtZm9yLXN0cm9uZy13aW5kcy1oZWF2eS1yYWluLW1pbHdhdWtlZS1ncmVlbi1iYXktYXBwbGV0b24tb3Noa29zaC82OTYxOTAzNzAwNy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/yPvWCSc4tfdVy_43Ar633Oy0sjlQvcZ2jjjcuBy_xTYGdrkMebcIm9H5ZHTu4eDMhcQOBzR0982jR5ADYhbuF350Z1AcMGF8s1EGTfbOJu9BJs2JJbzyJlx4K58JUIIMeMAPefpx5S8LUoxrmUled1VyJ3P-OQ6nCyDOdJKSzdA2Ks8-_v0=s0-w100-h100-dcAQCKRjKkPK4B,,
2,How's the weather? Ask The Weather Guys,bookmark_border,Nov 22,,news.google.com/./articles/CBMiPGh0dHBzOi8vbmV3cy53aXNjLmVkdS9ob3dzLXRoZS13ZWF0aGVyLWFzay10aGUtd2VhdGhlci1ndXlzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/mRcY9f5xKa6cYMeV7imMJWVx-w-3TRbrjU6BpqHpa2vXufQ-tjyqTu8h9cpHleq_TzWEI8_xjeue5br4IpIsTUD6JtoPN3uH4mHAbQXpJTY_kKGrLjZ7AZbrMJ866bMGO6PAIG9XOTgm=s0-w100-h100-dcmUOcSaUJ,,
3,2022 in Review: Wisconsin's Weather Year in 12 Photos,bookmark_border,Nov 22,,news.google.com/./articles/CBMiV2h0dHBzOi8vdXBub3J0aG5ld3N3aS5jb20vMjAyMi8xMS8yMi9iZXN0LW9mLTIwMjItd2lzY29uc2lucy13ZWF0aGVyLXllYXItaW4tMTItcGhvdG9zL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/fIxBuPM-K2gmlkfEufThV1cuINPjbhxaeBXsAT5QUMgqr1p803fLVE1kQR75VFUA_dt5Lh_F70Xq9r4lXTe66ox6Sy4tfWh5lBEaKP81AAUQPGaQYDGxvLfgi4P6l0NB6H3KlYklpi0Y_B9opPgMvg=s0-w100-h100-dcAQCCYbojLsYC,,
4,"Triple threat Thursday: Tropical storm, severe weather and blizzard to impact the US",bookmark_border,Nov 10,,news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmZveHdlYXRoZXIuY29tL3dlYXRoZXItbmV3cy90aHVyc2RheS1odXJyaWNhbmUtc2V2ZXJlLXdlYXRoZXItd2ludGVyLXN0b3JtLXNub3fSAV9odHRwczovL3d3dy5mb3h3ZWF0aGVyLmNvbS93ZWF0aGVyLW5ld3MvdGh1cnNkYXktaHVycmljYW5lLXNldmVyZS13ZWF0aGVyLXdpbnRlci1zdG9ybS1zbm93LmFtcA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/QIj4Xy1cJh5i4dMNJcMdL64cud8xwNiKa9VpxU4B4KlsipSwL1aCQbiJvDnkk7bYOV3MfdSHti66zUetKjI0osjMatvKYm-WrOpYxJGUbd926d9M3ViW1aV32JZjbEniCQ2KRrkjQc8WlM7XV2V4PF6waI8IU3Q3IDqBkjjVOaFX4enmVflR-sDhVHFCcjpklRXZRwdHFNM_fGiVG2zh0-LYsEPkiYNx9zBu4-ep=s0-w100-h100-dcAVEC,,
5,"At least 1 dead as tornadoes tear through Oklahoma, Arkansas and northeast Texas",bookmark_border,Nov 4,,news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8xMS8wNC93ZWF0aGVyL3NldmVyZS1zdG9ybXMtc291dGhlYXN0LXRvcm5hZG9lcy1mcmlkYXkvaW5kZXguaHRtbNIBXmh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjIvMTEvMDQvd2VhdGhlci9zZXZlcmUtc3Rvcm1zLXNvdXRoZWFzdC10b3JuYWRvZXMtZnJpZGF5L2luZGV4Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/Fau-ifD3jIVjko5J5vOms23Y1NqPSS41kbTx6s9deKFis-9tiGlEmknQ2Y44rB1IQo1fo4m1eOFgftM5gKjYsOVYoudKHoLo9XrmEfoQWbOvb7MAqhc8WggN2s5RVPI8eCjKl_7m4iY5Ocavn_PmO6uBj3HtSb5HNu4QPkLd1SkrkWSVJQIjgoMv4cMToTfLf5bghsfIt7qtWJVAMC-FRMpTGopcWX2JSkkp7zeGjJjsfKEL6QAoQfLOCAa84ecqyBlqaqXJmTwptt397K-DAfP3lEQKTg=s0-w100-h100-dcHVSSqqUH,,
6,"Friday, December 2 weather update for southern Wisconsin",bookmark_border,6 hours ago,2022-12-02 13:45:49.247923,news.google.com/./articles/CBMiigFodHRwczovL2xha2VnZW5ldmFuZXdzLm5ldC93ZWF0aGVyL2ZyaWRheS1kZWNlbWJlci0yLXdlYXRoZXItdXBkYXRlLWZvci1zb3V0aGVybi13aXNjb25zaW4vdmlkZW9fNWVjMWE2YjAtNGU0NC01ODk2LTlmNmMtZTEyOTk5Zjk2ZmNmLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/3LFpfMuciBIpfwUkr37QYZUTXnwX6S_sniR9h2BEMCgKKW4SPczr6g8dV-dxH6p92D57j9v72RoKNN5ew-tKJ28hY-VBwgXK6fS4p3PG0J1DyDuPKCZvq7QqyURaArbilN1jgk7Vxfal6aP7ogVk9F4QIXmHdkFVZf66C2lLG2u3Dr1ycJFyAXpI6B2ZD-VIYQmLibH7i4IVpGFv7mdrWV4R2Qu3F9txNRXMjK_SVBgJKBxt8863A5uJ4ueAs9aF8D8Ohu2-LlASfFjyiwGdAplfF25r9iv4CvZzp3cfkb5C09UNq-84lVAuS0M_12cUHqLFUhXbqsi4s0zzVMg=s0-w100-h100-dcgRCQLqGnyM15C6K6VzI,,
7,"KY, IN Severe Weather Risk",bookmark_border,3 days ago,2022-11-29 19:45:49.248563,news.google.com/./articles/CBMiK2h0dHBzOi8vd2Jrci5jb20va3ktaW4tc2V2ZXJlLXdlYXRoZXItcmlzay_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/8sVqPSTVL4f4q9nV9RnG0g3PtrMpRnEtOxdNwLggT13YJ1UhIzSreJfol6a-RT8hFlHiAwNPxZr6Uu-UwyKrO2O73ZbIZ5WltK_3Okd8GjxFOz3TR9SgkaF9A8N_B6ESoBslcJKBwbn-FoA=s0-w100-h100-dcHRIA,,
8,"Warming up today, but strong cold front arrives Friday night in southern Wisconsin",bookmark_border,6 hours ago,2022-12-02 13:45:49.249118,news.google.com/./articles/CBMipAFodHRwczovL3d3dy53aXNjbmV3cy5jb20vd2VhdGhlci93YXJtaW5nLXVwLXRvZGF5LWJ1dC1zdHJvbmctY29sZC1mcm9udC1hcnJpdmVzLWZyaWRheS1uaWdodC1pbi1zb3V0aGVybi13aXNjb25zaW4vYXJ0aWNsZV8zZmU1M2YxNi1iNWRiLTVlNWQtOGNhYS05N2M5NWYwMWNjM2YuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/kx59JO691XwDqefWr16vhZWdRvDZHS9_rlp4_GrLwiUif3wM9K4BAXOXjgQohk9zKDAhrb0IBiOy5kxzARbJyxRiBD_4i-z3yKFpCXZaqHT1PmlWGH27LnW5-kGoUlqwQwv19dqStNM0hGck50VJ7rAY7xRqY4oA16QbAz3R8-pexhRkeAQ4xkX8o9t6ZC-Icq78Bhx5vqhi40XWtoKXwB_LEeUj78NxNBzAUOES___3nXMXEQJKohNNdQ1bOVCG7xRC8mHR4peWL7Y=s0-w100-h100-dcAQGSrhno0O0B,,
9,"Wednesday, November 30 weather update for southern Wisconsin",bookmark_border,2 days ago,2022-11-30 19:45:49.249682,news.google.com/./articles/CBMijAFodHRwczovL2pvdXJuYWx0aW1lcy5jb20vd2VhdGhlci93ZWRuZXNkYXktbm92ZW1iZXItMzAtd2VhdGhlci11cGRhdGUtZm9yLXNvdXRoZXJuLXdpc2NvbnNpbi92aWRlb19kMmZkYzYyNC03NDg3LTUwMGQtODIxMi0xNTU4MzlmMTk2MGUuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/MrbS4M3VWDP25X5DS_2ggd7n1c9Zm3uc5yZ38FpSZSGIDnn-IAjBZ3aB-Noj240jBB1OU4gZQDRwu2xR2_GgduWmbItHQRaMnsvcZ5Md8wXz_uU2qRl1CrnWdAGea6KK_jcwd7X4M2obSzT4AhDWNcNE6vtAUeXVeDBU2WEBew_Jk0BWcpAY79IrnTrqFi6QDoiQoQj4oMNaisTchvRFhWYZVUfozcGy8GysJEJE0mFAnw50muOw7Cy-B1ejUUMPr1tuePbb3hY7aMiUH1dCli9bAFGvsqVtvvtoSLcEXK01Dm8HTN4TV_ugAmrQcmyi-XmxseFgVeSsFBnU=s0-w100-h100-dcARGOAi2ngqgC,,
10,Winter storm will slam northwest Wisconsin on Tuesday,bookmark_border,3 days ago,2022-11-29 19:45:49.250183,news.google.com/./articles/CBMiZGh0dHBzOi8vc3BlY3RydW1uZXdzMS5jb20vd2kvbWlsd2F1a2VlL3dlYXRoZXIvMjAyMi8xMS8yOC93aW50ZXItc3Rvcm0td2lsbC1zbGFtLW5vcnRod2VzdC13aXNjb25zaW7SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/ju3QKlWyS9ptqCq4sBwh4jnIGyzZ_SJQopAf1xyHD3RVMZG4O14Xw_sr_EXIYooykYOJh6UvwN4mkWJyG8XF3D7D-ZdiJ7IXVXTg6PVcuQ9vndYIF9uQqf6Z5QbJ5Gsawp5kiX6kvBDRwLKR2g4=s0-w100-h100-dctcYY,,
11,Extreme rains and the 'monster' below: Study finds lag time between extreme storms and algal blooms,bookmark_border,Yesterday,2022-12-01 19:45:49.250706,news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3Lndwci5vcmcvc3R1ZHktZXh0cmVtZS1yYWlucy1hbGdhZS10aW1lLWJldHdlZW4tc3Rvcm1zLWFuZC1hbGdhbC1ibG9vbXMtbWVuZG90YdIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/n9jWi2luLgCYPkBZ48lxaWSOintzScvXWhHb4LLpr0OLcEhbTdYhnacwwpdsUlqlD704BmS8KjpYNks1_xFDCVheuSXL_Se6mmu97U7bXmnOJx95e_d8=s0-w100-h100-dcGZCSyTEH,,
12,Wisconsin's perfect winters face threats from climate change,bookmark_border,Nov 18,,news.google.com/./articles/CBMia2h0dHBzOi8vZm94MTFvbmxpbmUuY29tL3dlYXRoZXIvd2VhdGhlci1zdG9yaWVzL3dpc2NvbnNpbnMtcGVyZmVjdC13aW50ZXJzLWZhY2UtdGhyZWF0cy1mcm9tLWNsaW1hdGUtY2hhbmdl0gFvaHR0cHM6Ly9mb3gxMW9ubGluZS5jb20vYW1wL3dlYXRoZXIvd2VhdGhlci1zdG9yaWVzL3dpc2NvbnNpbnMtcGVyZmVjdC13aW50ZXJzLWZhY2UtdGhyZWF0cy1mcm9tLWNsaW1hdGUtY2hhbmdl?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/t0ZCKvn0Xh6oQ2pEMOAmV3Ycf2MIZDoh8hnHyI5DFWyPmgMstySLVgRi2X-d-OdzWIWbRr1S2YJaqKP9SDC8U_5CzJ0NuBkQDAhoo6NcAePS3PdNbBRl01S-cJXPEjNNTYsCn-wpn09dbNdPlAummtoRKbfOSFl7czAIyjuyBxWsiKp3iwiM3SoH1WKeqIb8LaE97dA-E9fzFn9bBK0ItuM-OP3Qp7hPKQ=s0-w100-h100-dc0TGAthwJ,,
13,Briefly turning milder before more cold weather settles in,bookmark_border,Yesterday,2022-12-01 19:45:49.251732,news.google.com/./articles/CBMiiQFodHRwczovL3d3dy53YW93LmNvbS93ZWF0aGVyL2JyaWVmbHktdHVybmluZy1taWxkZXItYmVmb3JlLW1vcmUtY29sZC13ZWF0aGVyLXNldHRsZXMtaW4vYXJ0aWNsZV8yMzE2NmUyOC03MTY2LTExZWQtYjQ4NS04YjE0YmQ5NzI2YWIuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/I0oe5JRxCXXkBBuhUJ7N3TOUpvJ_8m5KxhZAd9IIKyWGtk2H_kMMF4qk1cFnJYVBLwPfwhZLferj4rNokZiDAwUwH3bAmKybvkPR2fBZ36chDgGhm5Ds0QsuNp5JJc1UoJDG0YhKtlGoGMtIy6bdR6GrCsk_Ox7PVoG-rfUiy00Q1EgGDkFJosCenvr6FyGs1mLrc4OulTKA93C891XNHftCifVeXyrfOFK2DWyOWgUhmeIgZw=s0-w100-h100-dckRQV,,
14,Severe weather takes lives in Wisconsin,bookmark_border,Jun 17,,news.google.com/./articles/CBMiTGh0dHBzOi8vd2lzY29uc2luZXhhbWluZXIuY29tL2JyaWVmL3NldmVyZS13ZWF0aGVyLXRha2VzLWxpdmVzLWluLXdpc2NvbnNpbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/smr4a5PHfrUS7EC1wWJz0tNfZCgt3_-Wh2irl6pafE-b7oWOZROuqpoxfY3pj2lVsPTcLWvimcvCkm4vHOTsHYNfGlrNDnqUv7RG4BqwqNvOWuvuyFqduIzpEXZKrbqMhwzVo334ASL9BDqRk8Bq=s0-w100-h100-dcEWME,,
15,Sunday storms packed a punch as severe weather hit Wisconsin,bookmark_border,Sep 26,,news.google.com/./articles/CBMidWh0dHBzOi8vd3d3Lmpzb25saW5lLmNvbS9zdG9yeS93ZWF0aGVyLzIwMjIvMDkvMjYvc3VuZGF5LXN0b3Jtcy1wYWNrZWQtcHVuY2gtc2V2ZXJlLXdlYXRoZXItaGl0LXdpc2NvbnNpbi84MTE5MzY0MDAxL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/GNosC6Qiu4LlFXpGqCTfLFQrUKJBi8dVRDBq0AX0TkruUE4eRqXW-YUFvY1k-jJLYrvF_loXT4byQxe8JUjjo0-mGP1uKQ_TqcsGQ4gY1zxB4_u6f5pKigKPzgs1dg1gJ_MP4dN3JZADRNr1KtvTjFrJMcv29tG7JSAHAWsQwG63no0_WmIPzhZnFGJWv2YnPYbGVbykbsbcIfItWJjRVYcChW46-JEvSSa7lueVRHaUqtC4v68vGgZi_VNxqGM=s0-w100-h100-dcDbCKSMIE,,
