,title,desc,date,datetime,link,img,media,site
0,Retailers may see more red after Black Friday,bookmark_border,Nov 25,,news.google.com/./articles/CBMiV2h0dHBzOi8vd2lzY29uc2luZXhhbWluZXIuY29tLzIwMjIvMTEvMjUvcmV0YWlsZXJzLW1heS1zZWUtbW9yZS1yZWQtYWZ0ZXItYmxhY2stZnJpZGF5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/0K9TViQN_j6hLYXDvvo-_pJthKq5W0v676osH2dj1IGpcd18C0YAGLiY3TFFyCclu1A7xnKQzKpQM0AGu1DxY30ul_hjX5n2emWps64jhL-LEQCED-j04RFKtJRIG9wiDdCbB7aaGZTawSP6oa364ho9Ag6inV_-h1w_Fkn98oHggpq2Kg=s0-w100-h100-dcAUCItCBkZI0B,,
1,On the chopping block: How quality-of-life issues dominate mayor's 2023 budget proposal,bookmark_border,Nov 3,,news.google.com/./articles/CBMiemh0dHBzOi8vbWlsd2F1a2Vlbm5zLm9yZy8yMDIyLzExLzAzL29uLXRoZS1jaG9wcGluZy1ibG9jay1ob3ctcXVhbGl0eS1vZi1saWZlLWlzc3Vlcy1kb21pbmF0ZS1tYXlvcnMtMjAyMy1idWRnZXQtcHJvcG9zYWwv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/7d48-45enab7tUtp33Xe9m-dRhzScVGwetwuXTurwnsTptHr0trRcwl6bocB8C-hqRtN4HOV94ustJEU9EB0GHhYIHz5wgci1DkcCwqhZ3XmswNhVbkAcChGv7Wm-w4G3vv_DNnPffbQ3tU=s0-w100-h100-dchcGIzD0G,,
2,Wisconsin nursing homes get financial lift from DHS to cover more Medicaid costs,bookmark_border,Nov 18,,news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3Lndwci5vcmcvd2lzY29uc2luLW51cnNpbmctaG9tZXMtZ2V0LWZpbmFuY2lhbC1saWZ0LWRocy1jb3Zlci1tb3JlLW1lZGljYWlkLWNvc3Rz0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/Ox-7BK5kvPd4PpZYwiCZACuTJZRGpxWTOAxnhMg_0Ty3phrzV0pP-Ns3Gb_zZuPbtRic9Wc5a3JUqW9iPNvT8aunfaKp6HQMq7yxR5IaKRmKepYyXBDm=s0-w100-h100-dclWGSKKoH,,
3,"Stagnant state fund sharing and constraints on revenue streams, looming financial crisis in Milwaukee",bookmark_border,Sep 22,,news.google.com/./articles/CBMihAFodHRwczovL3d3dy53dXdtLmNvbS8yMDIyLTA5LTIyL3N0YWduYW50LXN0YXRlLWZ1bmQtc2hhcmluZy1hbmQtY29uc3RyYWludHMtb24tcmV2ZW51ZS1zdHJlYW1zLWxvb21pbmctZmluYW5jaWFsLWNyaXNpcy1pbi1taWx3YXVrZWXSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/FIjuczvykslmUpTxpNy9qgNAxEwcs5I1m9Ht9YalA8mKSDeZM3j1oa-IbUOaE2MlCTOzcQSAw16jHW3LKUBcb0D0vbRukE7g-rMDiQjKVOdmC8rWNzfc9pzm4_mc0MZ3ej0w2BOQL8KnvSwEraqAds0M5zpQWho=s0-w100-h100-dcMZAO,,
4,"Milwaukee-area nonprofits receiving $85,000 in financial contributions",bookmark_border,2 days ago,2022-11-30 19:52:23.255011,news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmNiczU4LmNvbS9uZXdzL21pbHdhdWtlZS1hcmVhLW5vbnByb2ZpdHMtcmVjZWl2aW5nLTg1LTAwMC1pbi1maW5hbmNpYWwtY29udHJpYnV0aW9uc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/WMNiaqaHmh9Mf_54eSSzUCLNEaB2XrEpcvhxwqQFmJrkYFaTLWnXrEV68GQuSvVLYjqu1LVF1QFmKvPY101zrfc0ENO8cnzdNyUkaDOxTC10jpXeg1RutIPop0IYbnkq3yX-wPEAkjqGvuEB6-H016TRKg=s0-w100-h100-dcCXGEKjUH,,
5,Inflation looms large as midterms approach | Wisconsin Public Radio,bookmark_border,Nov 3,,news.google.com/./articles/CBMiO2h0dHBzOi8vd3d3Lndwci5vcmcvaW5mbGF0aW9uLWxvb21zLWxhcmdlLW1pZHRlcm1zLWFwcHJvYWNo0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/d-T_aljfUDEGm3QVU0FOvQi7SOuNXA6UtBvDDr5xS6QKcyn2taZsBjEAhzrVjaSWstNgF8w8rjIJGTBsFvKiHgv09lkaKs2LbsvwYBzp2StuwHqrHMuwXCo=s0-w100-h100-dclQWCCxIK,,
6,Progressive Health Care Initiatives Coasted Through in Midterms,bookmark_border,3 days ago,2022-11-29 19:52:23.256065,news.google.com/./articles/CBMiS2h0dHBzOi8vdGhlaW50ZXJjZXB0LmNvbS8yMDIyLzExLzI5L3dpc2NvbnNpbi1tZWRpY2FyZS1mb3ItYWxsLWhlYWx0aC1jYXJlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/ktTjKii3ZR4qoLtyys0DflpLUvTX2JvrHQIhJAgXQDaQ2zDjNIAfomT7WBTXx8-j5e8CQOL0a8zhKSzmK7aiuxqiq9tkwDyB2OkEmapeYWHCGmIMapUvBqfLKtNYDACghsyyAx7SpaSGPOHM66wuqdbdbUupsvLG7RO6MDsojmZ0kKSmI5HetPy_sgjhsm1JRcUJOspyEUfolGc6FKoQ751xF5MEPXYEbmlLzvj7zUaccsq8peBxlRM9hXqLlgOogOx88B7VrGwOFBpgKXxu8k0cWej0YHHC1ajWG1QhUdYR7mfljKL9o-WWQiCdiQTUB53ynlm4Y-ClextVqO8Dw-xUdg=s0-w100-h100-dcAYGIbiknuc4B,,
7,Do crisis pregnancy centers help women or mislead them?,bookmark_border,2 days ago,2022-11-30 19:52:23.256613,news.google.com/./articles/CBMijQFodHRwczovL2NhcHRpbWVzLmNvbS9uZXdzL2dvdmVybm1lbnQvZG8tY3Jpc2lzLXByZWduYW5jeS1jZW50ZXJzLWhlbHAtd29tZW4tb3ItbWlzbGVhZC10aGVtL2FydGljbGVfYzlmYjkwOGUtYzI3Yy01ZjlkLTg2MzQtMTY1YTE1NTQwNDExLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/yrjKxM7JaFbGtA6yDIA7Mfw2AyhLlD4Zn1Cp4xjY39oRSgpYjWzCrcDJlGaXoFuhIX6hZPovsHQ0NzQwYYHHHVy8t4FZSWd-H6Fmsm3Aufn0VbUilt3jLjqhfe4PPpEXicEN2EwwktIHNP7M5KBVIeRXDHd3yschRcQt-n9BeVlI1VRNynE-D-v3ne8IZdgQ3oI8BZDyGRVDTG81VJMPkvTkBUpV-05Il-eXkVvxO8L5TgUEJhD1QEt9hz0LQSHRjLGxkcbF7nYM5w=s0-w100-h100-dcAVCKgL~kLWcC,,
8,John Gurda says farewell after 29 years of writing our history,Opinion,Yesterday,2022-12-01 19:52:23.257095,news.google.com/./articles/CBMiogFodHRwczovL3d3dy5qc29ubGluZS5jb20vc3Rvcnkvb3Bpbmlvbi8yMDIyLzEyLzAxL2pvaG4tZ3VyZGEtc2F5cy1mYXJld2VsbC1hZnRlci0yOS15ZWFycy1vZi13cml0aW5nLW91ci1oaXN0b3J5LW1pbHdhdWtlZS1qb3VybmFsLXNlbnRpbmVsLWNvbHVtbmlzdC82OTY4NDg3NjAwNy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/_saiVoWU1i1Agl3Pu4EQcIQ-q_Yr_kHm3liVcVAR3i_FiTzyrhidQA1hzLi7xVYJ4rV0Piorz-QcEg3ycjUcxz1pS5wtrLNjG5nAX30CB01l4gOxALh3JG18C7JziE4xzY0D_1OQes0PoKtX-qA0Ag8imxZs71-DskubUseWE3Fn08jbHQk=s0-w100-h100-dcKUOE7CEJ,,
9,"Wisconsin tourism rebounds after the pandemic, but it hasn't been an even recovery",bookmark_border,Nov 11,,news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3Lndwci5vcmcvd2lzY29uc2luLXRvdXJpc20tcmVib3VuZHMtYWZ0ZXItcGFuZGVtaWMtaXQtaGFzbnQtYmVlbi1ldmVuLXJlY292ZXJ50gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/r_YukTQ36mQ1NdRWZ0-GlIikwdRDqcD8h_FhGF2e5d_LLhO8hnZ27lzDgSkTxjMPCmZ5r35aCUN7yKssnl_mbvRtJExQil-h7ryUX3f5QND-qZ8dSLEe=s0-w100-h100-dcueKGE0UE,,
