,title,desc,date,datetime,link,img,media,site
0,"Wind Advisory Issued for Parts of Minnesota, Wisconsin & Iowa",bookmark_border,6 hours ago,2022-12-02 13:46:19.455413,news.google.com/./articles/CBMiW2h0dHBzOi8va3Jmb3JhZGlvLmNvbS9peHAvNjY5L3Avd2luZC1hZHZpc29yeS1pc3N1ZWQtZm9yLXBhcnRzLW9mLW1pbm5lc290YS13aXNjb25zaW4taW93YS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/5C5K5mdGOloc0EMzknZGbam0JPp66Uvud8BJw2D0jVMt0qcRVAB2gYhaStDoHYUrvMIwfVWXheDXNGpoNaetJoWEu4XE0Jjx4R-H7NQH48zobanBKYK0=s0-w100-h100-dcpaWO7jkH,,
1,Enbridge and Bad River Band to meet following pipeline decision,bookmark_border,2 days ago,2022-11-30 19:46:19.455938,news.google.com/./articles/CBMiaWh0dHBzOi8vd2lzY29uc2luZXhhbWluZXIuY29tLzIwMjIvMTEvMzAvZW5icmlkZ2UtYW5kLWJhZC1yaXZlci1iYW5kLXRvLW1lZXQtZm9sbG93aW5nLXBpcGVsaW5lLWRlY2lzaW9uL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/IBZpbSkqEHsYn9WvJdUBeSA5FVPs_O37iyXMoPODoU62bCH7i40_myhrjFwN2RC6PEI91ttyNkt1VnGFiiQ-3aZVHFExYAjVYYvvWRqzrsogAWyaoKt5yfG9fXxbVqoI86BYVNAMSR5ZUbU=s0-w100-h100-dcMRGm0RQL,,
2,"Watch now: Isolated flooding Friday, very windy Saturday in southern Wisconsin",bookmark_border,Nov 4,,news.google.com/./articles/CBMiogFodHRwczovL3d3dy5rZW5vc2hhbmV3cy5jb20vd2VhdGhlci93YXRjaC1ub3ctaXNvbGF0ZWQtZmxvb2RpbmctZnJpZGF5LXZlcnktd2luZHktc2F0dXJkYXktaW4tc291dGhlcm4td2lzY29uc2luL2FydGljbGVfOTBmNjhlZTAtYzQyOS01ZTdjLWIwZjMtMTA1Y2I2ZWE4YWI4Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/OAiBLf6Rj4tnHdemtMKwtKRDDXPKbMh0eWUiyR6Rg3ff20PHrVnftiJQ-jXYESxLuLJnzRrPwT-KPgoe4TyHyRY-Wjuq8ZArVoXjpJdMTaVIfP7T2hJzRbRoUpd3roCin_6ehVbN57IlybLdGjeFpb9du0VSGYY-Bq7eBSzOctuWOgVb4NFXIt0sEFwqDfu9Ur0LAg4BOv2h7BU3ynHXHl15QMVE528v884hKbKuJEtnrbWSJuJ5A-aEU99aKTIkdhGx-SPovSKLtWaNy4I=s0-w100-h100-dcBQCQzpkI,,
3,Who's most at risk of flooding near Lake Michigan? Project studies vulnerable neighborhoods in nine Wisconsin cities,bookmark_border,Jul 13,,news.google.com/./articles/CBMihgFodHRwczovL3d3dy5ncmVlbmJheXByZXNzZ2F6ZXR0ZS5jb20vc3RvcnkvbmV3cy9sb2NhbC8yMDIyLzA3LzEzL3N0dWR5LWxvb2tzLXdob3MtbW9zdC1yaXNrLWZsb29kaW5nLW5pbmUtd2lzY29uc2luLWNpdGllcy83Nzg5ODY1MDAxL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/AvQcIZCu_sz77I823P2jXuuNQEAUSqAeujUBGoPpL25YhuefhWoakg4G6UjFzv498o-gU3IOScNIuVweXjDK2ijVU9v-QXEZguS4X4WJJR37q0v_E3EfwyMOtUmRlFtLc-jB6OR3OGUvtb79PnSVIHkS_weXgGsaAvwg6OS2k6GJJ0PLtHHFUd98kXA5mBP5G6Q0JymQEpNT38i_gimStpZlXc0hIB7YCjA0QsUrYymORVRH09tspJ3jQV301WUzsixBhNGBicFueD1eT2KZ5DQx80Aw=s0-w100-h100-dcJQSebAkM,,
4,"Wet weather, rain, flooding drench Milwaukee, southeast Wisconsin",bookmark_border,Sep 12,,news.google.com/./articles/CBMigwFodHRwczovL3d3dy5qc29ubGluZS5jb20vcGljdHVyZS1nYWxsZXJ5L25ld3MvMjAyMi8wOS8xMi93ZXQtd2VhdGhlci1yYWluLWZsb29kaW5nLWRyZW5jaC1taWx3YXVrZWUtc291dGhlYXN0LXdpc2NvbnNpbi84MDYzMTI0MDAxL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/_kqVozpUsR21wNJZN6tUpiI1nUlU-Q-UzA2GWx0fLT74HyBESZKWgsLc2kbCwMaz6MFVyQyiuJWI58ilZURs4WjM0f4MlWZqRPl0yWubd3jBUfxAeJ6kOZgVwqBrla78wSYVmmWV_U5SM1z60suCD20o6JgSQ9XvYfEcfHckcpHcmtwFecdIWmtAfzvbm57H2iVnpRNNUIe6T-a-bEGI1BE=s0-w100-h100-dcBUCahqYI,,
5,To stay or to go: Increased flooding forces choices along the Mississippi River,bookmark_border,Oct 17,,news.google.com/./articles/CBMicmh0dHBzOi8vd2lzY29uc2lud2F0Y2gub3JnLzIwMjIvMTAvdG8tc3RheS1vci10by1nby1pbmNyZWFzZWQtZmxvb2RpbmctZm9yY2VzLWNob2ljZXMtYWxvbmctdGhlLW1pc3Npc3NpcHBpLXJpdmVyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/hv1AN5G0w9wf9JtC8fLfR8L8WRAT9BSNYP6zKPDwvX2UqqwwRIRRYNXfZKZ9EXxgdWccfhqi0HVln-xHFY90rahnN3ja5dZ-ClCntUZDGyqmp21Mh57Vms6dPO91Bv7octvZkGF6SB2GzSSP=s0-w100-h100-dcgWKUhqoH,,
6,More than $37 billion in disaster aid under scrutiny in congressional lame duck,bookmark_border,2 days ago,2022-11-30 19:46:19.458561,news.google.com/./articles/CBMieGh0dHBzOi8vd2lzY29uc2luZXhhbWluZXIuY29tLzIwMjIvMTEvMzAvbW9yZS10aGFuLTM3LWJpbGxpb24taW4tZGlzYXN0ZXItYWlkLXVuZGVyLXNjcnV0aW55LWluLWNvbmdyZXNzaW9uYWwtbGFtZS1kdWNrL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/fMMTydvDs0ti743v77ytsrRgnHNkxnJhPZk4Q8mrXAVQAGrqdK-vjpym6W0_6Bvp706gjgaZ_GDELoMlG_p-m8fA0BXITp_9bxivsL_LRl7Cqa5uQTUz2GiU5lyzkbul5F6oGeWYhGLsu7MRMSFha1OUBEgJ=s0-w100-h100-dcgWCCUa0G,,
7,"Climate change bringing more rain, flood risks for Wisconsin",bookmark_border,May 12,,news.google.com/./articles/CBMiogFodHRwczovL3NwZWN0cnVtbmV3czEuY29tL3dpL21pbHdhdWtlZS9uZXdzLzIwMjIvMDUvMTEvY2xpbWF0ZS1jb25uZWN0aW9ucy0tZXh0cmVtZS1yYWluLWJyaW5ncy1mbG9vZC1yaXNrcy1mb3Itd2lzY29uc2luLS1jYW4tdGhlLXN0YXRlLXMtaW5mcmFzdHJ1Y3R1cmUta2VlcC11cC3SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/YbNNGxCmZBF6Og5QjsDOopjaVedOTnBxFL25nT4qnEwIpj-_Hbr4Lh62Pabfh89YFERGVPYJq509FMpsXQUBRfQAc7NexiHaS7kHPYNL_wp6e9r-5wuCWe7qIXJFdw=s0-w100-h100-dcAYCWmjQH,,
8,Wisconsin parade crash case an issue in Supreme Court race,bookmark_border,21 hours ago,2022-12-01 22:46:19.459558,news.google.com/./articles/CBMiXmh0dHBzOi8vd2lzY29uc2lud2F0Y2gub3JnLzIwMjIvMTIvd2lzY29uc2luLXBhcmFkZS1jcmFzaC1jYXNlLWFuLWlzc3VlLWluLXN1cHJlbWUtY291cnQtcmFjZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/I3hYWBg1cVqIZkhU9NCC-rQpydIXlop-oBc2t88yqLlfZNUPQYsFgyTXjT3ER-Wbc5Y15eKF28DnwpUbTpVlNS9JcSowQf5A2zEZ7mLb9G8RFJcXSLuLHEgp7HTgjeenkiWYyGBLrGbgcFsxzxeFTyAkgiWBdFHSUGoOvWRTw9bYw5ZH3Z0mC0iqdbCFL7SxKVA4dWoukpI=s0-w100-h100-dcJSCaDJYK,,
9,Record rainfall over the weekend shuts down roads while flood advisories remain in effect,bookmark_border,Sep 12,,news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3Lndwci5vcmcvcmVjb3JkLXJhaW5mYWxsLW92ZXItd2Vla2VuZC1zaHV0cy1kb3duLXJvYWRzLXdoaWxlLWZsb29kLWFkdmlzb3JpZXMtcmVtYWluLWVmZmVjdNIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/mVR-Bj8utsBi8urpsNEdcobK7bqptZOl09TA9ZFVk31wr2Org2SYXVvMhopHwVWpIgGaa89SUzo_Fj72i70tnIgSENLn7DA1uzhbayLUZ_PL=s0-w100-h100-dcMWSOcKkF,,
10,"Wisconsinites rally support for family, friends in flood-stricken Pakistan",bookmark_border,Sep 21,,news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3Lndwci5vcmcvd2lzY29uc2luaXRlcy1yYWxseS1zdXBwb3J0LWZhbWlseS1mcmllbmRzLWZsb29kLXN0cmlja2VuLXBha2lzdGFu0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/--S7cXS5-mQSKSOH0rH0qdzgwKO13cbpgvxaOyKcCs2ezQeZ3LyYdqgXXDhYL2efrUMJb3r90-7j8wv6oWzABb2IzXZ2jO5VN6pCSOiJ56agyJz5-kxgH0aMX3I=s0-w100-h100-dcAZCSo7ZnDo8B,,
11,"Torrential rain and flooding inundate Chicago, southeastern Wisconsin",bookmark_border,Sep 12,,news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9jbGltYXRlLWVudmlyb25tZW50LzIwMjIvMDkvMTIvY2hpY2Fnby1mbG9vZGluZy1taWx3YXVrZWUtcmFjaW5lLXJhaW4v0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/Jy6zwHxy9syhUWfyTf27M_3WptGzOo95BpJGTeNMvjxnWa0qoBCfvz-YdK_tEG6ks9oNHrwbb8FCaCg5hoVeyUJbqKUGVXCGHFnEvY3vuqR_bzyFRUpqIxxr5NXSrI2Bu56HjNXTE8ahb5ihQs9F_LmYJorF9G_Uuzm5yC-PBg=s0-w100-h100-dcgSCYTiUJ,,
