,title,desc,date,datetime,link,img,media,site
0,The Best of 2022: Wisconsin Food & Drink,bookmark_border,2 days ago,2022-12-01 09:55:12.080636,news.google.com/./articles/CBMiS2h0dHBzOi8vdXBub3J0aG5ld3N3aS5jb20vMjAyMi8xMi8wMS90aGUtYmVzdC1vZi0yMDIyLXdpc2NvbnNpbi1mb29kLWRyaW5rL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/YNfN9oRoE1bWySkD-UMQDkWGaK4Je8w0KliOt41RGcBQX_SmxSins6ygPXFeUh2x6vBvWgIK6JWuFGWunuKz6GsB6iiGFWLG8TSXjYQ2YILIT1ZuJJoJx31AfIAuYk0zkLkaQnEuSijfg60=s0-w100-h100-dcDVCKKimnoTIB,,
1,Wisconsin Food Stamps Schedule December 2022,bookmark_border,3 days ago,2022-11-30 09:55:12.081301,news.google.com/./articles/CBMie2h0dHBzOi8vd3d3LmdvYmFua2luZ3JhdGVzLmNvbS9zYXZpbmctbW9uZXkvZm9vZC9mb29kLXN0YW1wcy1zY2hlZHVsZS13aXNjb25zaW4tZm9vZHNoYXJlLWJlbmVmaXRzLWRlY2VtYmVyLXNuYXAtZGlzY291bnRzL9IBf2h0dHBzOi8vd3d3LmdvYmFua2luZ3JhdGVzLmNvbS9zYXZpbmctbW9uZXkvZm9vZC9mb29kLXN0YW1wcy1zY2hlZHVsZS13aXNjb25zaW4tZm9vZHNoYXJlLWJlbmVmaXRzLWRlY2VtYmVyLXNuYXAtZGlzY291bnRzL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/27Yrccdb9sEmCE6tpunq_p4xDNN57jTgQQf2MyWuHQ3bUNhQj1bE-2NNTMwvaq1bWF5mHCFhHy4l4rq7XXpE7txGeTcl3VgvX7nLZ2u0w4pWChU0gnKH_4iUmV2niRZRJMx-DQjILAE-eZyEFCYE-wRJRQJNzMUfIykU4A__abd9lcNWjgPZ0ZcSKbz1T3q_hIOk5zY=s0-w100-h100-dcpQKGDBUqRfIA,,
2,Feeding America Wisconsin provides food for the holidays,bookmark_border,Nov 25,,news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LndlYXJlZ3JlZW5iYXkuY29tL2xvY2FsNWxpdmUvZmVlZGluZy1hbWVyaWNhLXdpc2NvbnNpbi1wcm92aWRlcy1mb29kLWZvci10aGUtaG9saWRheXMv0gFmaHR0cHM6Ly93d3cud2VhcmVncmVlbmJheS5jb20vbG9jYWw1bGl2ZS9mZWVkaW5nLWFtZXJpY2Etd2lzY29uc2luLXByb3ZpZGVzLWZvb2QtZm9yLXRoZS1ob2xpZGF5cy9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/4MxnnqFshQU1k4L5q9Q_i9GnHDjh9mQTL7ytuZgqFd7Uyw2dbiNh6Ak08K8kGljo8smRXiqc8Ieu2GgYBBvXVWWnJYkhKST1xk9fAtkoMiq7hjGmlbx0KI9HQrCcqsjBW_04h-BKcq3qlmk11L9WzEXvhmTsbPbEZiye1l7MusmR7fdfc-eryTo=s0-w100-h100-dcJUKKEiWmc5AB,,
3,Wisconsin food and other home-grown presents can be nice holiday surprises. Go ask Alice (in Dairyland).,bookmark_border,3 days ago,2022-11-30 09:55:12.082629,news.google.com/./articles/CBMiiQFodHRwczovL3d3dy53aXptbmV3cy5jb20vMjAyMi8xMS8zMC93aXNjb25zaW4tZm9vZC1hbmQtb3RoZXItaG9tZS1ncm93bi1wcmVzZW50cy1jYW4tYmUtbmljZS1ob2xpZGF5LXN1cnByaXNlcy1nby1hc2stYWxpY2UtaW4tZGFpcnlsYW5kL9IBjQFodHRwczovL3d3dy53aXptbmV3cy5jb20vMjAyMi8xMS8zMC93aXNjb25zaW4tZm9vZC1hbmQtb3RoZXItaG9tZS1ncm93bi1wcmVzZW50cy1jYW4tYmUtbmljZS1ob2xpZGF5LXN1cnByaXNlcy1nby1hc2stYWxpY2UtaW4tZGFpcnlsYW5kL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/4VU7HJic1YqcMuM8i4Bmj9-T-rYpROCXkGa1K0zPhuJEBd-88B2xe7LqdNWe2WEPRTQpXVqzbOPiwvl3LUdi35tW50H_eSpT-vwU_6bEdJYreK0Ha2CIzhLAHvXfZYBnyAnlV4puaMZfQsIJG54_HlSG9HhmbX8DbfN7mg=s0-w100-h100-dcFTKCEZUJ,,
4,Inflation drives more Wisconsin college students to food pantries,bookmark_border,2 days ago,2022-12-01 09:55:12.083154,news.google.com/./articles/CBMilwFodHRwczovL3d3dy5qc29ubGluZS5jb20vc3RvcnkvbmV3cy9lZHVjYXRpb24vMjAyMi8xMi8wMS9pbmZsYXRpb24tZHJpdmVzLW1vcmUtbWF0Yy13aXNjb25zaW4tY29sbGVnZS11bml2ZXJzaXR5LXN0dWRlbnRzLXRvLWZvb2QtcGFudHJpZXMvNjk2ODUyOTAwMDcv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/MgljFeky4-AhbskcXPLjp8LpuyF_D-ZBZvkWgBvRutoG0C4WHnOJ2wiqTSa_PSIzPH52fRQ7wR168-62Rd1Mhev46RLc9YW8HwnYYRSq-PKud-6MLGK59PnUM_nZhWARxpt4BPNTUj1EMNpudlHxNA8GHzk3pnJW0rU4kHwZEbs8qwb3RF-yJZ--Lo-z5xX6FucjP1cs_ac=s0-w100-h100-dcAYKOQjMH,,
5,Explore Wisconsin's rich 'Food Traditions',bookmark_border,Nov 18,,news.google.com/./articles/CBMiSWh0dHBzOi8vcGJzd2lzY29uc2luLm9yZy9hcnRpY2xlL2V4cGxvcmUtd2lzY29uc2lucy1yaWNoLWZvb2QtdHJhZGl0aW9ucy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/QLFLT15KbxT1Ll6vOAKMeDcZlFWSLehNV2eJA_aNUPOrmwdiSrCcSWhxw4YOaFlCClugOu-x23zo6nxkzfU6zOLwU9DQQ-jyfoNyeP2M9BFjsrbaUAUGnjx7wYHXPEZdcu9oC-sg-4yt6-wdAt13maJhY-EKzrVGqFYlh7cr=s0-w100-h100-dcFSKIMBkK,,
6,Milwaukee and Wisconsin food and drink events,bookmark_border,Nov 21,,news.google.com/./articles/CBMioQFodHRwczovL3d3dy5qc29ubGluZS5jb20vc3RvcnkvbGlmZS9mb29kLzIwMjIvMTEvMjEvbWlsd2F1a2VlLWFuZC13aXNjb25zaW4tZm9vZC1hbmQtZHJpbmstZXZlbnRzLWZsb3JpZGEtY2l0cnVzLXBvbGlzaC1kaW5uZXItd2lsZC1nYW1lLWJha2VyeS10b3VyLzY5NjQ5ODE1MDA3L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/Y4jIRdEB9hC64jakzatccQCd32KfEhBVuXCSh0CAXp9phzoD7wx8S8ezviEf6UxObvRH7jwWo_DePc7z6PqoryjBtjSpf4p1josZSV85u_r8A1D8N_Mfrt2vDA2H6zR5Pqy32LTQd12GTvwEqvcIGvpAzzsvLXGsPt2C9HzvKr5vPA=s0-w100-h100-dcAQCSkRQI,,
7,Food recalls on the rise in Wisconsin,bookmark_border,Nov 10,,news.google.com/./articles/CBMiQGh0dHBzOi8vd3d3LmNiczU4LmNvbS9uZXdzL2Zvb2QtcmVjYWxscy1vbi10aGUtcmlzZS1pbi13aXNjb25zaW7SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/NgOMw3cKLiKW5ECk6ZqCI3iNkauXBN2ITfst0n-a23ExBnTeCUfINktQ5HjDDQcDIU5d3N-S6FiifHUonLf3MWbxe1u1GgMmK3PhvTMO6jaEzjiOBMew6MYwvkor45Od6jLB_uq9rlRZr94vCObkOgHMA1C1TeKKDaDWVs-bEhdxls_IRk7DOCQK=s0-w100-h100-dcATCEpSWlHY8B,,
8,"Milwaukee and Wisconsin food, drink events: Sprecher, Kohler, Pfister",bookmark_border,5 days ago,2022-11-28 09:55:12.085161,news.google.com/./articles/CBMioAFodHRwczovL3d3dy5qc29ubGluZS5jb20vc3RvcnkvbGlmZS9mb29kLzIwMjIvMTEvMjgvbWlsd2F1a2VlLWFuZC13aXNjb25zaW4tZm9vZC1kcmluay1ldmVudHMtc3ByZWNoZXIta29obGVyLXBmaXN0ZXItY2hvY29sYXRlLXNhbnRhLWJlZXItd2luZXJpZXMvNjk2NzA4OTQwMDcv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/x1TxuOykFvGEba-382QxKHxX-QTH2t2x13tHOiuxCRoRwHWduRpQvrENK3HplY2cho5lU66m9bMTwSd3OHEpjojK3Mi7xJM7Hg_S45EoVQ_Gqw-MGNx3JVDNyGTHUp1kw-JaawCcgWekG23ecyJonJYYYMpz4VwU-O5el8nUV2hk1F-TTq1c752t=s0-w100-h100-dcgSCOMBUI,,
9,Food Party Planning with Wisconsin Cheese,bookmark_border,2 days ago,2022-12-01 09:55:12.085732,news.google.com/./articles/CBMiVWh0dHBzOi8vb2tjZm94LmNvbS9mZWF0dXJlcy9saXZpbmctb2tsYWhvbWEvZm9vZC1wYXJ0eS1wbGFubmluZy13aXRoLXdpc2NvbnNpbi1jaGVlc2XSAVlodHRwczovL29rY2ZveC5jb20vYW1wL2ZlYXR1cmVzL2xpdmluZy1va2xhaG9tYS9mb29kLXBhcnR5LXBsYW5uaW5nLXdpdGgtd2lzY29uc2luLWNoZWVzZQ?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/oH3KwIpxnEthLZtymnVMY35033U4D0dkAWMm991jWm5BMZF-lDMyOwe7_SnjElKo8Mlb6tVmC2m5tpgT351ZaMpn_5wRdu-xQobOZ5w1mwl3pRB9h-bARsgQOqd3sxetGk1QSxjgM07wD4XBpsZQwzjkaG9eEMiM0RATOreGIoJXM2_IDQK0KUYp=s0-w100-h100-p-df,,
