,title,desc,date,datetime,link,img,media,site
0,Why Wisconsinites can expect higher heating bills this winter,bookmark_border,2 days ago,2022-11-30 19:47:09.358981,news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3Lnd1d20uY29tLzIwMjItMTEtMzAvd2h5LXdpc2NvbnNpbml0ZXMtY2FuLWV4cGVjdC1oaWdoZXItaGVhdGluZy1iaWxscy10aGlzLXdpbnRlctIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/KJ69DtL5QhkeJGFmITM3uMDMrwPSCYQDzAgsCjwEDos-0jnL7WlalV4QnzMu7bLS9BAnbjOh9J9wWjQ7iRRduMg4Qsz6VDlR5sNohLzcY93iJ7scKmN28kwSApAp9VQdUDDhenxYa6MqYL0FWaMqyojQKD5fMcfs6D3JDzSMrTIpl5eclw=s0-w100-h100-dcAVKEjqUH,,
1,Heating assistance available for veterans | Free,bookmark_border,1 hour ago,2022-12-02 18:47:09.359544,news.google.com/./articles/CBMiiwFodHRwczovL3d3dy5hcGctd2kuY29tL2FzaGxhbmRfZGFpbHlfcHJlc3MvZnJlZS9oZWF0aW5nLWFzc2lzdGFuY2UtYXZhaWxhYmxlLWZvci12ZXRlcmFucy9hcnRpY2xlXzZlNjQ1MjczLTJjN2EtNWU3OS05Nzc1LTdiNTJjOWE2YWI5YS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/dsdxYwKVxzKyMwAseXT0avaWc0zpzvXTFmXBe1B3bQeBVh_Z_RLv3HNYCh6CxTKfXyZtT6PxPtPUBQ7Z0ZvrYp48Os4WUiXWxCrwY0nrrWrKp_9V7yLdxp6Bk65okyf2hxw8Wbh8VxXQmeNfV-QAOCWfe3QiOilgaBZpstZi51gQR2rvOzkifsvXOh5NPRDBv0QKpYMK2U48d0EIifR8pD4yUUA1e2AZgzlMijvp9l1ew6cp0D5116oOngE0XLB7docmyFi1XBz3=s0-w100-h100-dcGXWOKqoH,,
2,"Tatum scores 49, leads Celtics to 134-121 win over Heat",bookmark_border,Yesterday,2022-12-01 19:47:09.360063,news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LmJhbGx5c3BvcnRzLmNvbS93aXNjb25zaW4vbmV3cy90YXR1bS1zY29yZXMtNDktbGVhZHMtY2VsdGljcy10by0xMzQtMTIxLXdpbi1vdmVyLWhlYXTSAVtodHRwczovL3d3dy5iYWxseXNwb3J0cy5jb20vbmV3cy9hbXAvdGF0dW0tc2NvcmVzLTQ5LWxlYWRzLWNlbHRpY3MtdG8tMTM0LTEyMS13aW4tb3Zlci1oZWF0?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/bdsWg4Aa-QK2qvG9BDrbdGV-0oeMmhGh9DmJT16JUaK7qfdApnrvnRzhtNNjJwLr357ZWCxJJgcBCWyt7XZ0iod0DjNzT_Jvz9apKa0CfQ28nsdTWrd06F6Q3TCaomeybUohTJBlbly7ffU4_awoFLuAWKJp=s0-w100-h100-dciROUZhUL,,
3,"As heating costs are set to rise, counties see more demand for energy assistance",bookmark_border,Nov 16,,news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3Lndwci5vcmcvd2lzY29uc2luLWhlYXRpbmctY29zdHMtZW5lcmd5LWFzc2lzdGFuY2UtcHJvZ3JhbXMtaW5mbGF0aW9uLWFpZNIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/HscyXcpDQXrB7XfVcij3EBi3bJBRyjuhKC1h87w2BAg6XVxwjML3bKdQNtcgZKYiuNw4rN0Zbkns5OmqPG46NCRUZYDI0nd_Mtyq_55q1ZgXEEhioHQlpcAc=s0-w100-h100-dcAVCIKNoD,,
4,WPS to raise base rate by less than originally proposed,bookmark_border,17 hours ago,2022-12-02 02:47:09.361118,news.google.com/./articles/CBMiywFodHRwczovL2ZveDExb25saW5lLmNvbS9uZXdzL2xvY2FsL25vcnRoZWFzdC13aXNjb25zaW4tdXRpbGl0eS1yYXRlcy1pbmNyZWFzZS1leHBlY3RlZC13aXNjb25zaW4tcHVibGljLXNlcnZpY2VzLXB1YmxpYy1zZXJ2aWNlLWNvbW1pc3Npb24td2lzY29uc2luLWVsZWN0cmljaXR5LWhlYXQtd3BzLXdlLWVuZXJnaWVzLXJlc2lkZW50aWFsLWN1c3RvbWVyc9IBzwFodHRwczovL2ZveDExb25saW5lLmNvbS9hbXAvbmV3cy9sb2NhbC9ub3J0aGVhc3Qtd2lzY29uc2luLXV0aWxpdHktcmF0ZXMtaW5jcmVhc2UtZXhwZWN0ZWQtd2lzY29uc2luLXB1YmxpYy1zZXJ2aWNlcy1wdWJsaWMtc2VydmljZS1jb21taXNzaW9uLXdpc2NvbnNpbi1lbGVjdHJpY2l0eS1oZWF0LXdwcy13ZS1lbmVyZ2llcy1yZXNpZGVudGlhbC1jdXN0b21lcnM?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/DwpLWG0OQ_1wWN64EXx4YtrIfyQI3XibFUQlr27Zhj1uDBOCx7EMiioQxdWPY9dEj1bCJQMG-PmFA452HjBxbTInlTPvkyFiMO64TcMOqrQA5dKc8pYDvoLPFUUzl3Px9DGOH50pWDXlzkVMsX7zcvZ-KDGb_3OqXpsy2kzLvMAQOx7Nl8Ah3x6HIAOwWTdTApgSsiSs4Qnas2YSkybg0bEHJ7u2But7u7ErbbtSmVw=s0-w100-h100-dcqSSKrSkH,,
5,"Lake-effect snow can hit Wisconsin, but it's more likely in the East",bookmark_border,2 days ago,2022-11-30 19:47:09.361644,news.google.com/./articles/CBMijQFodHRwczovL3d3dy5qc29ubGluZS5jb20vc3RvcnkvbmV3cy8yMDIyLzExLzMwL2xha2UtZWZmZWN0LXNub3ctY2FuLWhpdC13aXNjb25zaW4tYnV0LWl0cy1tb3JlLWxpa2VseS1pbi10aGUtZWFzdGVybi1ncmVhdC1sYWtlcy82OTY3NDQzMzAwNy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/lElWyZPorYwZSdqesj5mizFmTZnf6PNNjSYWRZWXJSwXS1_irtocdae1v4XzNw3nBm_Me7zrcU51hiB2NPsaCgVFQjMpK3bqvvo4a2yj3GAiZFe4hlqN0RxcE-c5ZG2EhFPMwG873TDmHsMO1kw4s9aS28c17I8bH0F-YQH6fccnms1eBg=s0-w100-h100-dcoROWrZkH,,
6,Wisconsin hosting two tight ends on official visits this weekend,bookmark_border,Yesterday,2022-12-01 19:47:09.362203,news.google.com/./articles/CBMihwFodHRwczovL3d3dy5zaS5jb20vY29sbGVnZS93aXNjb25zaW4vcmVjcnVpdGluZy93aXNjb25zaW4taG9zdGluZy10d28tdGlnaHQtZW5kcy1vbi1vZmZpY2lhbC12aXNpdHMtdGhpcy13ZWVrZW5kLWFzaGNyYWZ0LWphY29ic2VuLTIwMjPSAYwBaHR0cHM6Ly93d3cuc2kuY29tL2NvbGxlZ2Uvd2lzY29uc2luLy5hbXAvcmVjcnVpdGluZy93aXNjb25zaW4taG9zdGluZy10d28tdGlnaHQtZW5kcy1vbi1vZmZpY2lhbC12aXNpdHMtdGhpcy13ZWVrZW5kLWFzaGNyYWZ0LWphY29ic2VuLTIwMjM?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/i4fAYWHoe-sfzMyc_wphdrtwrY4Wc9yYspQRQlOzk7NEkoM8dV-jw2VULyTjyTUw1Ee8x0jZ967RiRVvs2ISsdMd6l6dd-RCqQjIqmYAgsCgdgWFEpkATpOYPg9K3UBVjUSmNY_wrTy3n5YH_wlFKHHZrVNuwN5Z1MSZO4OrTgMXxyrtRDaR43AnPnYk71RI7rP_poKsokIL50uriIlu88ikX9D3ImrPzYav8QJKOq_dOcgsSLEgxnAvaA=s0-w100-h100-dcgVCM454J,,
7,[RECIPE] Chicken with Apples and Cider Vinegar Sauce,bookmark_border,3 hours ago,2022-12-02 16:47:09.362732,news.google.com/./articles/CBMiQWh0dHBzOi8vd3d3Lndwci5vcmcvcmVjaXBlLWNoaWNrZW4tYXBwbGVzLWFuZC1jaWRlci12aW5lZ2FyLXNhdWNl0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/lOxAAd2npa1kP3mEgfqBIeaNFDywG-LfnkWZiN_un5_TLsLBpjFXCX2kHieh3JI2alMmmBjPWk0cm_p8YcdiEtCDD3EtPy3NuaE5c9gmjWwJ2nQ2wR52fdS0a-4eaBIGFatJIB2NNGCo2xnmg5MVUVRSlfOyH6IXFouHV_rVYfdo5r-FLEn3CU5KV1Py=s0-w100-h100-dcSSCBd~AB,,
8,hockey looking for conference points against Wisconsin,bookmark_border,12 hours ago,2022-12-02 07:47:09.363285,news.google.com/./articles/CBMibmh0dHBzOi8vd3d3Lm1pY2hpZ2FuZGFpbHkuY29tL2ljZS1ob2NrZXkvbWljaGlnYW4tbG9va2luZy10by1nYWluLWNydWNpYWwtY29uZmVyZW5jZS1wb2ludHMtYWdhaW5zdC13aXNjb25zaW4v0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/qNwduQUXyrk-bef4YYdm7yqL_xfCqRe53-APoqmXjzPopzjUYJOGCfNfgYtwzULCYXMGfCsaK_wBe4OlbmUiRdPp0u72U_y6u_6XyXuYKh02yGhpnfMqUfONm_hp56mL8G681OIlNKUUnXJernRe60eWZOuziSeEON7U5EzhHBhfQrWG5fwgD0vGLKpfwJx2aQX-8wzHTpxV_t_6AiAvg-EF=s0-w100-h100-dcjQWQB5IK,,
9,Heatwave leaves much of Wisconsin sweltering Monday and Tuesday,bookmark_border,Jun 20,,news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3Lndwci5vcmcvaGVhdHdhdmUtbGVhdmVzLW11Y2gtd2lzY29uc2luLXN3ZWx0ZXJpbmctbW9uZGF5LWFuZC10dWVzZGF50gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/AYQHNHQHkxoGD3cANGULwh7M-LgNz5-BX37-qmK6fge-nh7EinOyXunv9QocW6c_XRkPCQOne_G_KAshJW1RhU3fou_hXMRyjNVRBVW55NvYxpAQGvOIVw=s0-w100-h100-dcFWeEKqYH,,
10,Practice ice safety on all waterbodies this winter,bookmark_border,2 hours ago,2022-12-02 17:47:09.364295,news.google.com/./articles/CBMiS2h0dHBzOi8vc3BtZXRyb3dpcmUuY29tL3ByYWN0aWNlLWljZS1zYWZldHktb24tYWxsLXdhdGVyYm9kaWVzLXRoaXMtd2ludGVyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/YS4bYd7oQRSYrOj3hL6Zx2gDdtJVpkUUGkTQ2cE8D8Ghl_RUv0_6Ajsh-kfl2q4t9Gps3jh6qUqRlRbn49fMtts_ZxSzeHkDjsZjnq3MWt4McTKERkyvnuN27_A=s0-w100-h100-dcKTEI,,
11,Wisconsin utility regulators bless solar financing tool,bookmark_border,21 hours ago,2022-12-01 22:47:09.364812,news.google.com/./articles/CBMilAFodHRwczovL21hZGlzb24uY29tL25ld3MvbG9jYWwvZW52aXJvbm1lbnQvd2lzY29uc2luLXV0aWxpdHktcmVndWxhdG9ycy1ibGVzcy1zb2xhci1maW5hbmNpbmctdG9vbC9hcnRpY2xlX2M0ZTJiZDBjLTU5OTItNTE4Yy04MjI1LTdjNDhkN2I2MTVmMy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/Rl_UHlUgWIogmk4xVmsdEs_wQVjZXIRk0hLs1gL7sOMtF6WttLUvFdY_quoIJKR4U-q3bUUuIFFXNgvdy5QqLzTnygbl2O3K1lcMwn5KtxuVxrdPXC1IY0AwzINu3eZ31Uo-qZqVmBeAwESf6Kuvb7-jgNh-o8HN2ouytbBEpP0ljwGBn9nR04CzK2U66FqK1s-VKQwIZk15bbJ1JZobURmyiCjRdKUJoIYUXg596PZhUV64FZ8Y2Asvfi0d_vLVt1ge9HiOSAQTPw=s0-w100-h100-dckWGO7ihoPdAB,,
12,[RECIPE] Creamy Pinto Bean and Tomato Soup | Wisconsin Public Radio,bookmark_border,3 hours ago,2022-12-02 16:47:09.365315,news.google.com/./articles/CBMiPGh0dHBzOi8vd3d3Lndwci5vcmcvcmVjaXBlLWNyZWFteS1waW50by1iZWFuLWFuZC10b21hdG8tc291cNIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/F6NENzmTDA0N53F6PpHBtmJAo1YctLgErKqHl-PKppr1BBSEAl_KexJgydxlXi-OXbgJTnWVhe4oOajLuCC5wesmF_MJTP1kq72s3Llcf19Q49r_PD47c7OGihlbmNWJr1F2c7TGvAnhsbP-1qRNF8_GGO0xIawssARI0cY2TdfwDLE=s0-w100-h100-dcGQCKGaQlkuAC,,
13,"As temperatures rise, experts say Wisconsin isn't ready to handle the heat",bookmark_border,Aug 17,,news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3Lndwci5vcmcvdGVtcGVyYXR1cmVzLXJpc2UtZXhwZXJ0cy1zYXktd2lzY29uc2luLWlzbnQtcmVhZHktaGFuZGxlLWhlYXTSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/dY6j6UY731-9S3jtVa7vJoHK3hVxK390_y8K0PkEhyTnlAfhZLJS4YIRfe0_rFsOLyMHpIsIUC7lf0FrDkLJKC-T2edWaaLJMBTLJl32SzKK2mVG6V_O7g=s0-w100-h100-dcAXiAAysI,,
14,"Wisconsin candle company sending light, warmth to Ukraine amid power outages as winter approaches Wisconsin candle company sending light, warmth to Ukraine amid power outages as winter approaches",bookmark_border,4 days ago,2022-11-28 19:47:09.366342,news.google.com/./articles/CBMie2h0dHBzOi8vd3d3LmNiczU4LmNvbS9uZXdzL3dpc2NvbnNpbi1jYW5kbGUtY29tcGFueS1zZW5kaW5nLWxpZ2h0LXdhcm10aC10by11a3JhaW5lLWFtaWQtcG93ZXItb3V0YWdlcy1hcy13aW50ZXItYXBwcm9hY2hlc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/7MpJbKdUJQsZJQlyNEM5ZzZbdZYlQr4-HIo9Zlosz2xO6mmBuIRkI3I08ScZ5s5YEWhhwxbTtKFyc_Bmc1ty22GE9DM1QhIaIaEvx6huScs3Mj6nuOIJ-Yyew87sfs8OzVf5QsIr0VJ5W7sdp2znwQW_oK3S9GoYP6T7soSnNlyy87ydxhKojA=s0-w100-h100-dcJZWMzUEF,,
15,Ten potential recruiting targets for Luke Fickell at Wisconsin,bookmark_border,4 days ago,2022-11-28 19:47:09.366893,news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LnNpLmNvbS9jb2xsZWdlL3dpc2NvbnNpbi9yZWNydWl0aW5nL3Rlbi1wb3RlbnRpYWwtcmVjcnVpdGluZy10YXJnZXRzLWZvci1sdWtlLWZpY2tlbGwtYXQtd2lzY29uc2lu0gFzaHR0cHM6Ly93d3cuc2kuY29tL2NvbGxlZ2Uvd2lzY29uc2luLy5hbXAvcmVjcnVpdGluZy90ZW4tcG90ZW50aWFsLXJlY3J1aXRpbmctdGFyZ2V0cy1mb3ItbHVrZS1maWNrZWxsLWF0LXdpc2NvbnNpbg?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/tJVFUN8cqOBBcS4JI7efBVE9W0bNypuU-IPtK-nae_j8QqRd5Ar9642fAsMbFcn6O5Su0zbNsPVFryYWL8WcvDEUpO0_WXC2LiwajWosjbfUYlY1u7DspWMdvcHc4uhdWT8E-mlPyIS-YuoIJR5H-C5GHrOR_LZw8LsbGTT0HdOcGLTLg_3ZBtw7-Jo-Rdb5XPKvv2RZlNzCJIEk2MiBxm9g2E2XK3M-VgNQsx2sBiGIdB3r2Vu5FElDiu1lKnPLo9te=s0-w100-h100-dcsSSejxkK,,
16,Wisconsin heat wave will bring temperatures into the 90s this week,bookmark_border,Jun 12,,news.google.com/./articles/CBMif2h0dHBzOi8vd3d3LmdyZWVuYmF5cHJlc3NnYXpldHRlLmNvbS9zdG9yeS93ZWF0aGVyLzIwMjIvMDYvMTIvd2lzY29uc2luLWhlYXQtd2F2ZS1icmluZy10ZW1wZXJhdHVyZXMtaW50by05MC1zLXdlZWsvNzYwMjQzMzAwMS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/8JchzFfPCIJhYX8ExtXhUfOahRNHdwgo1n56t0DXEzH7go3psvGCKtdNNOcOalIY4ZgSigckSDedq0jQtU7hCIl6jN3vChwW62s5Qzgzx5-WO21dMStDfsBjFMCjqtH1Nj8E80zZ-kd7Qeu5yjeOzZTWNn5rGrb7dvFrc_VOWC6rPodPBnd2xZ5fNqwUVqsl3trRW0Z22IuGfA9DO2Pf-nOV1MoTM5t5rMJhCxkv-gjYg-WnM8ZpuEi1VA=s0-w100-h100-dcBZeE5j4F,,
17,"Tim Michels, Tony Evers in dead heat in race for Wisconsin governor",bookmark_border,Nov 5,,news.google.com/./articles/CBMilAFodHRwczovL3d3dy5qc29ubGluZS5jb20vc3RvcnkvbmV3cy9wb2xpdGljcy9lbGVjdGlvbnMvMjAyMi8xMS8wNS90aW0tbWljaGVscy1zaG9ydC1vbi1kZXRhaWxzLWZvci1iaWctY2hhbmdlcy1oZS1zZWVrcy1mb3ItaW4td2lzY29uc2luLzgyMDY2MjkwMDEv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/qLPuiSOQHDx2oBnjD8MFevNIJfITeUQUI3B5CrnIuF5lPX8WP_gdcX_j7RMf10h58xmBeEsuEc16iO8yWtUK1jDDEzkl3CeS9l61e_kBcINEQWR7MotnhsaBEwH21FcRY4FkXRdQy-a9jGOPliDE3BtYxObG0KaKujfeAjkH0NklenmpjAEjhdqXyh8FOSIY8F8rMiH2sOA7TMwcORJvcq42iguvw1pWNFZatdA2RJIJyBfl3N7z=s0-w100-h100-dchSOUZ50I,,
18,Looking for a good venison recipe? | Wisconsin Public Radio,bookmark_border,2 days ago,2022-11-30 19:47:09.368421,news.google.com/./articles/CBMiL2h0dHBzOi8vd3d3Lndwci5vcmcvbG9va2luZy1nb29kLXZlbmlzb24tcmVjaXBl0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/imlC7QbwrQcsQrIHgOgcgHkhL-HHWMOqzzALc7XA_HyxKnLIkKL2sgYtOAfmx6kYjg6m9IzVyxOfmqxnjJQ7YTHe1NlSnLen-VLXqox6vIhP5vbhqBg=s0-w100-h100-dcAQA8,,
19,"Heat Check Roundup: BROCKHAMPTON, $ilkmoney, LOLA and more",bookmark_border,Nov 17,,news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3Lndwci5vcmcvaGVhdC1jaGVjay1yb3VuZHVwLWJyb2NraGFtcHRvbi1pbGttb25leS1sb2xhLWFuZC1tb3Jl0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/Wi53CRp2F6ld0JKRrx0Li46jM7g7kshaBMpsv2u1Rer0ESZ-HL1r_ptxNhn54IJZ165YPRUQ1pXiRdXmnTrnI_BnvxB5BTsNue1bOhXjpBcqu9nJInTacYwSYRZ_duATrgm0f35KqVU71huesx7FgdU6RwtKH4EdRscre3f0D5dqTWQOY_iwhf2WcpHqHV-z=s0-w100-h100-dcLSSGkBUK,,
20,Prepare for the Summer months – June 1 is Heat Awareness Day in Wisconsin – Wisconsin Emergency Management,bookmark_border,May 26,,news.google.com/./articles/CBMiH2h0dHBzOi8vd2VtLndpLmdvdi9yZWFkeTIyMDUyNi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/Ifop-TpCtrIonLKJxaXgw7BipLrrOxA33kh794_LS-LDqZDFfem6hGGI1qo52HTP2E6JEFx7sBoDI5MH-BRwxfh1E4Qu7QrZ4cbY5Z-cYT7lvIkw=s0-w100-h100-dcOTOAUSED,,
