,title,desc,date,datetime,link,img,media,site
0,Madison's housing debate is dangerously underdeveloped – Tone Madison,bookmark_border,Nov 8,,news.google.com/./articles/CBMiV2h0dHBzOi8vdG9uZW1hZGlzb24uY29tL2FydGljbGVzL21hZGlzb25zLWhvdXNpbmctZGViYXRlLWlzLWRhbmdlcm91c2x5LXVuZGVyZGV2ZWxvcGVkL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/YWbwguejArr2doaht8BXLOs7xJkbNnQ9Zn-dEg56r1flnpGzJ2XupFSsf09BKC2GNgmOfuE404HELq7XGkz3slIb5JFhYuDRjEOQffvXtndnjfGqpnn7Zo6Na9MD_rA=s0-w100-h100-dcgUIM,,
1,Wisconsin's housing shortage isn't just a quality-of-life issue. It's a workforce issue.,bookmark_border,Nov 2,,news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3Lndwci5vcmcvd2lzY29uc2lucy1ob3VzaW5nLXNob3J0YWdlLWlzbnQtanVzdC1xdWFsaXR5LWxpZmUtaXNzdWUtaXRzLXdvcmtmb3JjZS1pc3N1ZdIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/GWyKL2vudA81N8mz5mFXA8vzJwHAKIrgiffXpnG0vqXhM7SHd2YfHRyXnWrpVQYS2_A6bin7cGtkXZNzSYfpxWLuuDQXlTEVsg66wK3unmLPxIYZhKyNfB_x57NPb-Kn7xY3bdy-w3KWBw=s0-w100-h100-dcgdGGDFED,,
2,Madison's housing crisis having lasting effects on residents,bookmark_border,Aug 9,,news.google.com/./articles/CBMifmh0dHBzOi8vc3BlY3RydW1uZXdzMS5jb20vd2kvbWlsd2F1a2VlL25ld3MvMjAyMi8wOC8wOS9tYWRpc29uLXMtaG91c2luZy1jcmlzaXMtaGF2aW5nLWxhc3RpbmctZWZmZWN0cy1vbi1sb3ctaW5jb21lLXJlc2lkZW50c9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/Kb-Y6HNoThLO4J1olLq6BIqVS4HD6JRRJmA9MztT_0cebh1TK0tY7BVmQCHFwMHbd2oDGdkuJBXdQFCDUQnLd9dQJG5OMdVuK0Gy=s0-w100-h100-dcAXCK5awG,,
3,A legacy of past choices: Milwaukee's housing crisis explained,bookmark_border,Jun 10,,news.google.com/./articles/CBMiYGh0dHBzOi8vd2lzY29uc2lud2F0Y2gub3JnLzIwMjIvMDYvYS1sZWdhY3ktb2YtcGFzdC1jaG9pY2VzLW1pbHdhdWtlZXMtaG91c2luZy1jcmlzaXMtZXhwbGFpbmVkL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/n3mbiEF2GkHAw06WVlx4KzSYmWgKixATD-gsKT8M9rhjbPb1mArFH5hpG_uTvlfhoiQiWvFDGlDaEHnRlzkqsfi41oMYlVGOnpInFs8nynWffPkG7wAxfE6faWQ2RmNVPcVrkfyxSuygJM8EEWzOMvR-j1MXWASMQlnE_IUf4UZVkaE6Gi1y8b0QZ0SXk27VzG95zJxAng=s0-w100-h100-dcAUSSbyUI,,
4,"Lack of units in Madison, ever-growing population results in racial disparities in housing",bookmark_border,Nov 16,,news.google.com/./articles/CBMidWh0dHBzOi8vbWFkaXNvbmNvbW1vbnMub3JnL2xhY2stb2YtdW5pdHMtaW4tbWFkaXNvbi1ldmVyLWdyb3dpbmctcG9wdWxhdGlvbi1yZXN1bHRzLWluLXJhY2lhbC1kaXNwYXJpdGllcy1pbi1ob3VzaW5nL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/IhM-3GtjbHr17i9M0vsmPe0WX3GURkgFTD-2MP3z7O58FgY3z0eP_MA7Lpbb2juqUuZ0ZEeVVevkZ9MxclI2fQbX4PVge2CNDuFgVjRlbnjXupGSDkmplpGz9M0_x7TsnQXI_FA8NRH1AIZ8uJYs-Th5nYeCV-8IkA=s0-w100-h100-dcJVaW7KUI,,
5,"Student population adds to BTV housing crisis, UVM's plans to relieve pressure in progress",bookmark_border,Yesterday,2022-12-01 19:51:57.038252,news.google.com/./articles/CBMidmh0dHBzOi8vdnRjeW5pYy5jb20vZmVhdHVyZXMvc3R1ZGVudC1wb3B1bGF0aW9uLWFkZHMtdG8tYnR2LWhvdXNpbmctY3Jpc2lzLXV2bXMtcGxhbnMtdG8tcmVsaWV2ZS1wcmVzc3VyZS1pbi1wcm9ncmVzcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/78xkU08x-tNRwWagkWhdQ_dESLS-eePca4U97Gg61pBOm7FyXP7akRMKN209tiAUplFhqSUUIIYt7CojnaMw4wontY7i4OzrYthw6QKR03QR3n0=s0-w100-h100-dcARCGKJhjwaWKYtE,,
6,The affordable housing crisis in Wisconsin | Wisconsin Public Radio,bookmark_border,Feb 21,,news.google.com/./articles/CBMiN2h0dHBzOi8vd3d3Lndwci5vcmcvYWZmb3JkYWJsZS1ob3VzaW5nLWNyaXNpcy13aXNjb25zaW7SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/vKwozC56dfH1W8Lm71CirhFx3AkKFRv8-Sl3dmJlykWSjmbKn2pmCiYeAMoLfKEwakfeJ0M7hK4T93zMo23IEDPqafi9x0T70OvAhG_wiAIIp3s1Zewy2G9GX_uFs4kBNLAe89NuZsvWvQwi_OhFpSKqaNhBN4szdWjoVeo=s0-w100-h100-dcAYIC,,
7,Affordable housing crisis impacts UW-Madison students aiming to live off-campus,bookmark_border,Oct 19,,news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmNoYW5uZWwzMDAwLmNvbS9hZmZvcmRhYmxlLWhvdXNpbmctY3Jpc2lzLWltcGFjdHMtdXctbWFkaXNvbi1zdHVkZW50cy1haW1pbmctdG8tbGl2ZS1vZmYtY2FtcHVzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/t08MjWGcqwprNRQp5VWhM071pWvpaOIJgdfMGXwnsyJdDkCG6BfZ7UX5w2hyouI47Cp7URwEEH2xGt2RfPy04JmSOxkrg_t_stEhTb1tIjIZsht91YCQ4TYzUR_X1a6oJxfXLsKgfBpA9c3nrY4OClhxkZjJ_1_eRKlJA1Gv4o8-hYdEfZ-wUu73XYFQ2PqypeR2F8g9tF2AgM0Tia7n6ac=s0-w100-h100-dcJUWAzSEI,,
8,"New program provides supports for homeless families, pregnant women",Opinion,2 days ago,2022-11-30 19:51:57.039769,news.google.com/./articles/CBMib2h0dHBzOi8vYmFkZ2VyaGVyYWxkLmNvbS9vcGluaW9uLzIwMjIvMTEvMjkvbmV3LXByb2dyYW0tcHJvdmlkZXMtc3VwcG9ydHMtZm9yLWhvbWVsZXNzLWZhbWlsaWVzLXByZWduYW50LXdvbWVuL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/Z4cbl1COEUkb2mQEM42ws_pq6r5qFO1BfQeClbKeQo4sSI2U9T-6SxxCGKQNQ4RGicJWNkdC6z5hfpvI67AdFwxYDffDKCrtMGOcXTJ0FhR5iNBegxPAtEYiqQ=s0-w100-h100-dcAbKORj4F,,
9,"Habitat for Humanity Dane County, Build with Strength partner to build sustainable, affordable homes",bookmark_border,Nov 3,,news.google.com/./articles/CBMijAFodHRwczovL2JhZGdlcmhlcmFsZC5jb20vbmV3cy8yMDIyLzExLzAzL2hhYml0YXQtZm9yLWh1bWFuaXR5LWRhbmUtY291bnR5LWJ1aWxkLXdpdGgtc3RyZW5ndGgtcGFydG5lci10by1idWlsZC1zdXN0YWluYWJsZS1hZmZvcmRhYmxlLWhvbWVzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/t4flAUgBvPlJEDmEwmi0P5Gl9nuXJGI95R9wlU9DzGiUGPRzRFv2yFiAPVkk9ctHh7bg1-DaLj4djrIztux85QGcubxlyC6oaixMFNDm-42ysuzzynza7xZ70tMT=s0-w100-h100-dcjTGOh54J,,
