,title,desc,date,datetime,link,img,media,site
0,Hospitals across Wisconsin increasingly stressed as RSV holds steady and influenza rates swell,bookmark_border,1 hour ago,2022-12-02 18:40:10.908500,news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3Lndwci5vcmcvZXhwZWN0ZWQtc3Bpa2UtcmVzcGlyYXRvcnktaWxsbmVzcy1mbHUtcnN2LWluZmx1ZW56YS1jb3ZpZC13aW50ZXLSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/_Q8c74MWU4_8aEst8_aoGV_w7F5sfRqGPxLTxlNZcMK9SPfG94PSDap2f4JegGsLRu308pXMQkwZL1QzmgPTkNuB8kDx6nNYPQppQ2OjiAOwR7JwIBWuWw=s0-w100-h100-dcOUKKMqUG,,
1,Widespread Green Bay emergency-alert glitch could lead to a better alert system,bookmark_border,2 days ago,2022-11-30 19:40:10.909059,news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LndiYXkuY29tLzIwMjIvMTEvMzAvZmVtYS1lbWVyZ2VuY3ktbWFuYWdlbWVudC1pbnZlc3RpZ2F0aW5nLXdpZGVzcHJlYWQtZ3JlZW4tYmF5LWVtZXJnZW5jeS1hbGVydC_SAXxodHRwczovL3d3dy53YmF5LmNvbS8yMDIyLzExLzMwL2ZlbWEtZW1lcmdlbmN5LW1hbmFnZW1lbnQtaW52ZXN0aWdhdGluZy13aWRlc3ByZWFkLWdyZWVuLWJheS1lbWVyZ2VuY3ktYWxlcnQvP291dHB1dFR5cGU9YW1w?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/7yusino5tXpFQvEaGjoOM63jiYH0v0gIbneA_DPk_dPMWtVVx5-G8s5W6JBYD0pD_aZL7lzR5OJG6bwEtz20KVvEmym9OPCoI44R3eeVWptVJzmIWtyE2DaP7cL1U_xjUjJZdJvDzDPQkYbtBlRAcfvtroYDU3zXcFTUMo3nKZ71I4O7WCYhfoOHp7fzHgmc5Dy_yc9fDMpD4zFNEb8C3HtTQf5bjW_LR2ccVIcHSn_sk5SWZInmBQr7AJPAhYe6nE0pVRfTvqif5NMHlzRFtEiwnK10SXuo-kfN-mfZJ53nrg=s0-w100-h100-dcmUOQSiEJ,,
2,Referendums pay for more emergency local services,bookmark_border,4 days ago,2022-11-28 19:40:10.909950,news.google.com/./articles/CBMiUGh0dHBzOi8vaXN0aG11cy5jb20vbmV3cy9uZXdzL3JlZmVyZW5kdW1zLXBheS1mb3ItbW9yZS1lbWVyZ2VuY3ktbG9jYWwtc2VydmljZXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/H7xTwQe2v8ep5r7BhM_7OuN7dOcAAnWcUcbAYR2t-EmsWYO-2rso2BeBQj5kn4yN2RFWjp-62EKl9VQPrXplQ2divUCOOt9P0lB2HC7rg6_7fKeT-qLKUhwlncQhWjjzavsqtzmXWNbc3Sj8bUc1gXN4LRvCKh7AU61QL1XLf4roz1gJlbJUGKyB-Dpxe7ndMcSq1ODTvzE7FBe8YAZawrGg2N-Axw=s0-w100-h100-dckTKGKKEmXFMB,,
3,What you need to know about winter parking in Wisconsin,bookmark_border,2 days ago,2022-11-30 19:40:10.910534,news.google.com/./articles/CBMibmh0dHBzOi8vc3BlY3RydW1uZXdzMS5jb20vd2kvbWlsd2F1a2VlL25ld3MvMjAyMi8xMS8zMC93aGF0LXlvdS1uZWVkLXRvLWtub3ctYWJvdXQtd2ludGVyLXBhcmtpbmctaW4td2lzY29uc2lu0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/zcTOpoSU8KWFs74A15IPvDWfp0poV97PgDrFYQTwuZwnTZwQRuVCzxJrjfEpjI2KkxHqvUbKiYpTGDKHFMVKHOyFNUgfHVR_2jx_i_pOdNHGJwupxqCfp4uoLaPVLtOn5MUsGJ0qpJSo=s0-w100-h100-dcPYCM07AF,,
4,Wisconsin town turning off power for hours due to 'unforeseen emergency',bookmark_border,Nov 10,,news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmZveDkuY29tL25ld3Mvd2lzY29uc2luLXRvd24tdHVybmluZy1vZmYtcG93ZXItZm9yLWhvdXJzLWR1ZS10by11bmZvcmVzZWVuLWVtZXJnZW5jedIBZGh0dHBzOi8vd3d3LmZveDkuY29tL25ld3Mvd2lzY29uc2luLXRvd24tdHVybmluZy1vZmYtcG93ZXItZm9yLWhvdXJzLWR1ZS10by11bmZvcmVzZWVuLWVtZXJnZW5jeS5hbXA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/Qdmmk297Edtb_v7wsgajIIOp22euxvoq-DGwd1W_ZcKS4eotVTmHkkya_jDDGaer0ZoWcgsRKA3D8vRHO0Hwp4-DAg2AFrbmKfR9oBJLwSFwRIzxJHalu1jPcctr2UHp8nYEXSBixIxFy_QqWkXV3Splpdwg88TFQuMDcCbPYIC27XdhnBVMF0yeZy6ODxHAJYEugk5r=s0-w100-h100-dcLcEB,,
5,Editorial Roundup: Wisconsin,Opinion,2 days ago,2022-11-30 19:40:10.911686,news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LnVzbmV3cy5jb20vbmV3cy9iZXN0LXN0YXRlcy93aXNjb25zaW4vYXJ0aWNsZXMvMjAyMi0xMS0zMC9lZGl0b3JpYWwtcm91bmR1cC13aXNjb25zaW7SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/N63AB7rvbhQCiFgxn9M7sf1LLKaJ55FvgAqzJ0feO0yF3w9gaEmGDTnIq2Kb1K6_HGrBoG6Wz2Lm3zY_zaQLx6NwohPjtDbbBhNvyJX_ZF5k8XCXCmJRkivSfjIf2iP6lkUKCi8M-rfncDudpD8QqjQJ-ow1EFEf8PPFEYs8up13gsec_TXndyBvdxmj8X2O0RwDx4Z50gYWKeAG6h7VoIMAvnWo=s0-w100-h100-dcJQKMcJEH,,
6,"Crash Responder Safety Week: Move over, slow down to keep emergency roadside workers safe",bookmark_border,Nov 11,,news.google.com/./articles/CBMifmh0dHBzOi8vdG9tYWhhd2tsZWFkZXIuY29tLzIwMjIvMTEvMTEvY3Jhc2gtcmVzcG9uZGVyLXNhZmV0eS13ZWVrLW1vdmUtb3Zlci1zbG93LWRvd24tdG8ta2VlcC1lbWVyZ2VuY3ktcm9hZHNpZGUtd29ya2Vycy1zYWZlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/2JGFhQc0_Ul9g3eF3DwXfZQ9KNMlfUMpSnQqc_FdqlbVpp0ooz-96YCSjiZYxIhyFN0VBSgoLcmtxyXk8Ra7bWXb9o4H0LLt2N8XDZyD8yqsjN0z9aUkZWDJnMUEofptuswWMu-QUxCEg0X0wt11TVdAS7IdbnNb6fUOsAGCwbXOMTwI3Kri6PTWsCa-U-1qo7zp70yezuxhCfug=s0-w100-h100-dcARCEYJ8I,,
7,Aspirus unveils new emergency helicopter | News | waow.com,bookmark_border,19 hours ago,2022-12-02 00:40:10.912714,news.google.com/./articles/CBMidGh0dHBzOi8vd3d3Lndhb3cuY29tL25ld3MvYXNwaXJ1cy11bnZlaWxzLW5ldy1lbWVyZ2VuY3ktaGVsaWNvcHRlci9hcnRpY2xlXzNiMDk1N2IwLTcxZDUtMTFlZC04NjZlLThiN2JhNjg2Njg2MS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/SFU65vy74iX75bmsFkk2siQVQCpXoy_CkxNCiF8fiK55sz_qO7JS1Odaex6z6zQRpj4IfOTcu5pJQJpLhBYron7ADRutOBb-DGStCZBX1JTafErO4x_CJZFGbKh1Hh5JsoAjxZrAqub-4vnADmuY0DhFfTVpEO0hYYiTSx3TbYtP7Q4bmRl81Ic_ummQLjmd7clakaOUiQEM6jOxBuW2h_Azp0l4JptMiUB5Hs6ybV2tmQTlgA=s0-w100-h100-dcpWGWzakH,,
8,"Town Gets Label of ""WORST Place In Wisconsin"" and Residents Are Pissed",bookmark_border,4 days ago,2022-11-28 19:40:10.913224,news.google.com/./articles/CBMiRWh0dHBzOi8vOTd4LmNvbS9iZWxvaXQtZGVmZW5kcy1sYWJlbC1vZi10aGUtd29yc3QtcGxhY2UtaW4td2lzY29uc2luL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/CQ3VyhpMJPmHQyt4UiJFiRBmDNqWGY8TwotHkz6CCzrweEYm-4THm846iClUxIyexGTGvxl_uzTZUYk_3veRUHjjNk49rGxbZ5UPzu37EGtW9QxaXJRvkOshmwnoCBuRP0N_ocAAZiKyDw3ojdBcXq7K54oHhUAmDQuXlKr3TFJ2uN-x-VL24Q=s0-w100-h100-p-df,,
9,Need for rental assistance still high in western Wisconsin,bookmark_border,Nov 15,,news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LndlYXUuY29tLzIwMjIvMTEvMTYvbmVlZC1yZW50YWwtYXNzaXN0YW5jZS1zdGlsbC1oaWdoLXdlc3Rlcm4td2lzY29uc2luL9IBY2h0dHBzOi8vd3d3LndlYXUuY29tLzIwMjIvMTEvMTYvbmVlZC1yZW50YWwtYXNzaXN0YW5jZS1zdGlsbC1oaWdoLXdlc3Rlcm4td2lzY29uc2luLz9vdXRwdXRUeXBlPWFtcA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/DUGy-2Ktn-ai29LwbczixmTUDPpXgFl_VgyNoGA4kwOKHySQLouWLmSdPmXYU5e5VECWpe_0IPCpGjyKCgAFLyXtgTtj01sek5hVVXmIlB22jnXreaTcRH7m4PYTzWbi6-ppTnc_nVs8OTk3ieScB583k0hcEEi3jGzSH5pD36CuG7QzTs8RywQ89zQ4Qk6onPbiR0DmGp8bh6znrMOXYam4k04u7e8os91tfDu22XGpAzeofuxlWwoq7FsujLJTYdYuxTUDuToh3ut3M0ztxzcbN78oPCAwFTrYuHEfH2SipYWgoruiisniEXFS9seQoXqjd-g=s0-w100-h100-dcjTEG,,
10,Confused about health insurance during open enrollment? A navigator can help.,bookmark_border,2 days ago,2022-11-30 19:40:10.914263,news.google.com/./articles/CBMib2h0dHBzOi8vd2lzY29uc2lud2F0Y2gub3JnLzIwMjIvMTEvY29uZnVzZWQtYWJvdXQtaGVhbHRoLWluc3VyYW5jZS1kdXJpbmctb3Blbi1lbnJvbGxtZW50LWEtbmF2aWdhdG9yLWNhbi1oZWxwL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/O6FSN25rdnXw-GA_vd5VmGVrkFm0B9Q61PCI0cwTvWcftIHOxq4eo-bNfbWxElJ7yOQEL-LspRweIaMp7n155w0-7zT2Y8zv-073bvt1Z8GTIMJAtzR5Mrr__QtT4wa4PLM3ZQ5O9066nGD39QKVFA=s0-w100-h100-dcAXWOCK4H,,
