dates,calls,snwd
2020-01-01,35,6.0
2020-01-02,46,6.0
2020-01-03,43,6.0
2020-01-04,34,5.0
2020-01-05,14,4.0
2020-01-06,50,3.0
2020-01-07,59,3.0
2020-01-08,47,3.0
2020-01-09,60,3.0
2020-01-10,54,3.0
2020-01-11,31,3.0
2020-01-12,41,3.0
2020-01-13,54,5.0
2020-01-14,84,6.0
2020-01-15,55,6.0
2020-01-16,58,6.0
2020-01-17,36,6.0
2020-01-18,31,8.0
2020-01-19,24,10.0
2020-01-20,63,9.0
2020-01-21,57,8.0
2020-01-22,53,8.0
2020-01-23,54,12.0
2020-01-24,55,13.0
2020-01-25,32,14.0
2020-01-26,30,13.0
2020-01-27,72,11.0
2020-01-28,55,11.0
2020-01-29,53,10.0
2020-01-30,52,10.0
2020-01-31,55,9.0
2020-02-01,38,9.0
2020-02-02,21,9.0
2020-02-03,53,8.0
2020-02-04,44,8.0
2020-02-05,53,8.0
2020-02-06,55,8.0
2020-02-07,35,8.0
2020-02-08,11,9.0
2020-02-09,25,9.0
2020-02-10,48,18.0
2020-02-11,49,16.0
2020-02-12,45,16.0
2020-02-13,45,14.0
2020-02-14,36,14.0
2020-02-15,34,13.0
2020-02-16,34,13.0
2020-02-17,54,13.0
2020-02-18,51,16.0
2020-02-19,57,16.0
2020-02-20,58,16.0
2020-02-21,33,16.0
2020-02-22,26,15.0
2020-02-23,24,14.0
2020-02-24,66,12.0
2020-02-25,62,11.0
2020-02-26,53,11.0
2020-02-27,29,11.0
2020-02-28,54,11.0
2020-02-29,26,11.0
2020-03-01,28,11.0
2020-03-02,53,10.0
2020-03-03,59,10.0
2020-03-04,45,10.0
2020-03-05,56,9.0
2020-03-06,53,9.0
2020-03-07,24,9.0
2020-03-08,20,8.0
2020-03-09,46,7.0
2020-03-10,47,5.0
2020-03-11,57,5.0
2020-03-12,42,4.0
2020-03-13,47,2.0
2020-03-14,30,1.0
2020-03-15,39,1.0
2020-03-16,68,0.0
2020-03-17,66,0.0
2020-03-18,71,0.0
2020-03-19,62,0.0
2020-03-20,65,1.0
2020-03-21,34,0.0
2020-03-22,21,0.0
2020-03-23,80,0.0
2020-03-24,65,0.0
2020-03-25,77,0.0
2020-03-26,46,0.0
2020-03-27,51,0.0
