title,link,date_parsed
"U.S. Drought: Weekly Report for November 15, 2022",news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3Lm5jZWkubm9hYS5nb3YvbmV3cy91cy1kcm91Z2h0LXdlZWtseS1yZXBvcnQtbm92ZW1iZXItMTUtMjAyMtIBAA?hl=en-US&gl=US&ceid=US%3Aen,11-15-2022
Latest report shows extreme drought conditions expanding in Minnesota,news.google.com/./articles/CBMiamh0dHBzOi8va3N0cC5jb20va3N0cC1uZXdzL3RvcC1uZXdzL2xhdGVzdC1yZXBvcnQtc2hvd3MtZXh0cmVtZS1kcm91Z2h0LWNvbmRpdGlvbnMtZXhwYW5kaW5nLWluLW1pbm5lc290YS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,11-3-2022
Takeaways and run-stuffing top priorities for Nebraska defense in ending Wisconsin drought,news.google.com/./articles/CBMitgFodHRwczovL29tYWhhLmNvbS9zcG9ydHMvaHVza2Vycy9mb290YmFsbC90YWtlYXdheXMtYW5kLXJ1bi1zdHVmZmluZy10b3AtcHJpb3JpdGllcy1mb3ItbmVicmFza2EtZGVmZW5zZS1pbi1lbmRpbmctd2lzY29uc2luLWRyb3VnaHQvYXJ0aWNsZV8zNzhmZTE4My0wNWUwLTVmY2ItYTllZC0zNzcyM2RmMjE0ZDUuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,11-16-2022
Drought conditions better in western Kentucky - Winchester Sun,news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LndpbmNoZXN0ZXJzdW4uY29tLzIwMjIvMTEvMTIvZHJvdWdodC1jb25kaXRpb25zLWJldHRlci1pbi13ZXN0ZXJuLWtlbnR1Y2t5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,11-12-2022
Mayors call for federal aid as drought lowers Mississippi River,news.google.com/./articles/CBMie2h0dHBzOi8vd3d3Lmpzb25saW5lLmNvbS9zdG9yeS9uZXdzLzIwMjIvMTEvMDQvbWF5b3JzLWNhbGwtZm9yLWZlZGVyYWwtYWlkLWFzLWRyb3VnaHQtbG93ZXJzLW1pc3Npc3NpcHBpLXJpdmVyLzY5NjExODAyMDA3L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,11-4-2022
"Moderate drought conditions in Wisconsin, 66% of state affected",news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LmZveDZub3cuY29tL3dlYXRoZXIvbW9kZXJhdGUtZHJvdWdodC1jb25kaXRpb25zLXdpc2NvbnNpbtIBSWh0dHBzOi8vd3d3LmZveDZub3cuY29tL3dlYXRoZXIvbW9kZXJhdGUtZHJvdWdodC1jb25kaXRpb25zLXdpc2NvbnNpbi5hbXA?hl=en-US&gl=US&ceid=US%3Aen,2-10-2022
Moderate drought continues for much of Wisconsin,news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LndlYXJlZ3JlZW5iYXkuY29tL3dlYXRoZXIvYmV5b25kdGhlZm9yZWNhc3QvbW9kZXJhdGUtZHJvdWdodC1jb250aW51ZXMtZm9yLW11Y2gtb2Ytd2lzY29uc2luL9IBbWh0dHBzOi8vd3d3LndlYXJlZ3JlZW5iYXkuY29tL3dlYXRoZXIvYmV5b25kdGhlZm9yZWNhc3QvbW9kZXJhdGUtZHJvdWdodC1jb250aW51ZXMtZm9yLW11Y2gtb2Ytd2lzY29uc2luL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,2-17-2022
"Rain possible Thursday night, Friday night and into Saturday",news.google.com/./articles/CBMieWh0dHBzOi8vd3d3Lm1wcm5ld3Mub3JnL3N0b3J5LzIwMjIvMTEvMDMvZHJvdWdodC1leHBhbmRzLXJhaW4tY2hhbmNlcy10aHVyc2RheS1uaWdodC1hbmQtYWxzby1mcmlkYXktbmlnaHQtZWFybHktc2F0dXJkYXnSAQA?hl=en-US&gl=US&ceid=US%3Aen,11-3-2022
"Gripped by drought, drenched by rain, Mississippi River basin sees climate extremes",news.google.com/./articles/CBMidWh0dHBzOi8vd2lzY29uc2lud2F0Y2gub3JnLzIwMjIvMTAvZ3JpcHBlZC1ieS1kcm91Z2h0LWRyZW5jaGVkLWJ5LXJhaW4tbWlzc2lzc2lwcGktcml2ZXItYmFzaW4tc2Vlcy1jbGltYXRlLWV4dHJlbWVzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,10-31-2022
Western Wisconsin's drought worsens ahead of a rainy Friday,news.google.com/./articles/CBMiiQFodHRwczovL3d3dy53cW93LmNvbS93ZWF0aGVyL3dlc3Rlcm4td2lzY29uc2lucy1kcm91Z2h0LXdvcnNlbnMtYWhlYWQtb2YtYS1yYWlueS1mcmlkYXkvYXJ0aWNsZV9jNDM3ODdkMi0xOWJmLTExZWQtYWU2Ni1mNzYxZTU5M2IwMmEuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,8-12-2022
