,title,desc,date,datetime,link,img,media,site
0,Survey: Wisconsin's favorite Christmas candy is ... really?,bookmark_border,2 days ago,2022-11-30 15:19:47.293916,news.google.com/./articles/CBMicGh0dHBzOi8vd3d3Lmpzb25saW5lLmNvbS9zdG9yeS9saWZlLzIwMjIvMTEvMzAvc3VydmV5LXdpc2NvbnNpbnMtZmF2b3JpdGUtY2hyaXN0bWFzLWNhbmR5LWlzLXJlYWxseS82OTY4NTU2MDAwNy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/lSoh10uuysLpanj_dgYHw5Nm8ol4ZmeqzbCSqaGjzdBxV4u6zuI1jotvguHPBIL6ACnv06QKHn-a-KipHhu8X4lEY5o7d6pJlsmpod8Mzbj6qlF6G9rMuFqO98Qa0tJ9guQRG1n8FFuqF6ukfiIIBMmD6KP1WC8GBkQ4oYEomzNvvbjD41o=s0-w100-h100-dcGQOMDAUM,,
1,Fugitive from Wisconsin apprehended during traffic stop,bookmark_border,18 hours ago,2022-12-01 21:19:47.294647,news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmVsaXphYmV0aHRvbi5jb20vMjAyMi8xMi8wMS9mdWdpdGl2ZS1mcm9tLXdpc2NvbnNpbi1hcHByZWhlbmRlZC1kdXJpbmctdHJhZmZpYy1zdG9wL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/tjzQTEPn4NfRkyCYsshv68ZVzwNj0mdHm8X-C3nsM5_O3-k0OSILzA3HJkdA1U_XZe1pJkMZtKxqj0IdfiQeYRWzlJWAOTGdBt4Jbsl7xDcmjRvsfEbbPlPMYt712-mo7gDYzzWbTviNc9zDJRBePAjUfcqPNwtp-AdmlqMfR7l5=s0-w100-h100-dcjYGS1ijosY8B,,
2,Awesome Spots to Play in Wisconsin When Visiting Whistling Straits,bookmark_border,Nov 10,,news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LnBnYS5jb20vc3RvcnkvYXdlc29tZS1zcG90cy10by1wbGF5LWluLXdpc2NvbnNpbi13aGVuLXZpc2l0aW5nLXdoaXN0bGluZy1zdHJhaXRz0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/rcIDUVAf9-Ln8IR0UvqIvyX4c1QJrxpFDgwQdiNI1SaKCMYccLRtNdxVnHo44jCnLW_Jz-dP18TJiTAbIowH0LColwnp3CqTJ5Y9zsIveCoetw1FvttN-tGPcVB5T62b2oi7T4mMsXl5Z39T6V5-xppMQHd-g-whu64isakbIU10EisPombX9AqWgwOj-XGbwj5qEuUVb6uAjKYVxw=s0-w100-h100-dcDcAQ,,
3,Wisconsin commit wavering amid coaching change,bookmark_border,1 hour ago,2022-12-02 14:19:47.296127,news.google.com/./articles/CBMiaWh0dHBzOi8vMjQ3c3BvcnRzLmNvbS9jb2xsZWdlL3dpc2NvbnNpbi9BcnRpY2xlL1dpc2NvbnNpbi1jb21taXQtd2F2ZXJpbmctYW1pZC1jb2FjaGluZy1jaGFuZ2UtMTk5MjYxNjg2L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/moX8CvZC9nruqdcMs6u9JfEs0yDP8u-J-3RtBvBus1DdSHRxTlW1NetwD5c_piZRB8T8wRaexX1_t-1gJ-QSnjty6BwsJ2vLp6_RcjQujexK8T0h_6Gr1HmG7g=s0-w100-h100-dcoSWc7BUK,,
4,Wisconsin-based company to boost production of critical isotope for health care industry,bookmark_border,4 hours ago,2022-12-02 11:19:47.296898,news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3Lndwci5vcmcvd2lzY29uc2luLWlzb3RvcGUtaGVhbHRoLWNhcmUtaW5kdXN0cnktbm9ydGhzdGFyLW1lZGljYWwtcmFkaW9pc290b3Blcy1tb2x5YmRlbnVtLTk50gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/L5K5iGAlSYSH5QaA5bM8Oq-AkaRBfelPNn1_9H3639pjQcmBKqfsW5M8sQvWbaGMpPceY2eNfHfyVfdlq--x8iVkWokuGYG1haLj33vlmUsz5KaxdUC65s4=s0-w100-h100-dcAVAQ,,
5,Latson Delivers in 92-87 Win at Wisconsin,bookmark_border,11 hours ago,2022-12-02 04:19:47.297708,news.google.com/./articles/CBMiQGh0dHBzOi8vc2VtaW5vbGVzLmNvbS9sYXRzb24tZGVsaXZlcnMtaW4tOTItODctd2luLWF0LXdpc2NvbnNpbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/dHRKYRoH6K3Zle5gFpQIgNtguSqYZCsvWHusRyeXP50Oxhw256T2EwdVRyXTshm_ORw3_c4S5WkpDHoPIkq_TeIBhfS0Lit9vIIMKVIG2jcRQ_BjDsLJ99rASI3mkQ=s0-w100-h100-dcgWKMLjUG,,
6,Disparities persist in Wisconsin special education practices as budget battles loom,bookmark_border,2 days ago,2022-11-30 15:19:47.298405,news.google.com/./articles/CBMid2h0dHBzOi8vcGJzd2lzY29uc2luLm9yZy9uZXdzLWl0ZW0vZGlzcGFyaXRpZXMtcGVyc2lzdC1pbi13aXNjb25zaW4tc3BlY2lhbC1lZHVjYXRpb24tcHJhY3RpY2VzLWFzLWJ1ZGdldC1iYXR0bGVzLWxvb20v0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/7XXw8QdtJ4ouQFKnFaea18b_eXvEi1KWmWXYZ62wCUdHByh5UekHNkrvePkZfsOQ2tP6a3SPtgG6KK7nel4myYAah8zQ0rULrM2hpIqFy8i1vZs2pO5MCb5_hIubzrJZgoLe2Wms52kIHbAO0oDfHxdK14RQYogQuXOMshugwcM5UIii1fQEPgOIVi-ztXV04vbo7i4tSjMJBw=s0-w100-h100-dcAVOAJCMJ,,
7,Wisconsin parade crash case an issue in Supreme Court race,bookmark_border,17 hours ago,2022-12-01 22:19:47.299051,news.google.com/./articles/CBMiXmh0dHBzOi8vd2lzY29uc2lud2F0Y2gub3JnLzIwMjIvMTIvd2lzY29uc2luLXBhcmFkZS1jcmFzaC1jYXNlLWFuLWlzc3VlLWluLXN1cHJlbWUtY291cnQtcmFjZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/I3hYWBg1cVqIZkhU9NCC-rQpydIXlop-oBc2t88yqLlfZNUPQYsFgyTXjT3ER-Wbc5Y15eKF28DnwpUbTpVlNS9JcSowQf5A2zEZ7mLb9G8RFJcXSLuLHEgp7HTgjeenkiWYyGBLrGbgcFsxzxeFTyAkgiWBdFHSUGoOvWRTw9bYw5ZH3Z0mC0iqdbCFL7SxKVA4dWoukpI=s0-w100-h100-dcJSCaDJYK,,
8,From choirs to the Coliseum: Suter legacy lives on,bookmark_border,15 hours ago,2022-12-02 00:19:47.299723,news.google.com/./articles/CBMibmh0dHBzOi8vdXdiYWRnZXJzLmNvbS9uZXdzLzIwMjIvMTIvMS9tZW5zLWhvY2tleS1mcm9tLWNob2lycy10by10aGUtY29saXNldW0tc3V0ZXItZmFtaWx5LWxlZ2FjeS1saXZlcy1vbi5hc3B40gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/_FB9krq7qeNMDB47fr10J-BShq90WSY1vyiX8Roov_2ka8ZMiCWTQpkiLNvekiuwYy_7Wr7PFxuhITOQlqNRCt0bQFLABbe4mZXAyyb83UclWjPToWfNZDdinPMm9Yiq0Qj7CUd7hNAzItEbyfoJ8O1Q3JTn8LR9xRAYaJNCWd6QSUNDvfbM_a2fDkU=s0-w100-h100-dchQGGroUL,,
9,Wisconsin prosecutors want A-G’s abortion lawsuit tossed,bookmark_border,50 minutes ago,2022-12-02 14:29:47.300321,news.google.com/./articles/CBMilAFodHRwczovL3d3dy50aGVjZW50ZXJzcXVhcmUuY29tL3dpc2NvbnNpbi93aXNjb25zaW4tcHJvc2VjdXRvcnMtd2FudC1hLWctcy1hYm9ydGlvbi1sYXdzdWl0LXRvc3NlZC9hcnRpY2xlXzRkZTc0YzZlLTcyNDUtMTFlZC04NDg1LTA3ZGY1MmVkNDc4MS5odG1s0gGYAWh0dHBzOi8vd3d3LnRoZWNlbnRlcnNxdWFyZS5jb20vd2lzY29uc2luL3dpc2NvbnNpbi1wcm9zZWN1dG9ycy13YW50LWEtZy1zLWFib3J0aW9uLWxhd3N1aXQtdG9zc2VkL2FydGljbGVfNGRlNzRjNmUtNzI0NS0xMWVkLTg0ODUtMDdkZjUyZWQ0NzgxLmFtcC5odG1s?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/cKeYRPV9tMjnOjv_1HT5ibxcxZyMBubTHeJ2QhZz4M40zajlfjtGcVGgfAa554wsDJVT-4GQ7zGipjVMhbLDRpmP72NZWzSTK7ZE3nBxdxgMWV71hCk1siHCFHWoqg-nxb8s-zranP8Yl68B_qPOByRJH6HcLczNe8CZQt4tgyu5_vAJ885G3gqTodbrWC8kGJKSqh2LkBfc1c-rZw0PHJemgVm05i2YoW9q0tkAheP2LN9oYzk7GXZvjE7W9FIyTwWWprsbxh2tbRsLoLra8QmM3zXkbUS8EEtshoPkDeVKDekYAG8R3rDkL-cm9koxbcjql6ILrmGsP5qZWJW9F7pO=s0-w100-h100-dcARmGphIL,,
