,title,media,date,datetime,desc,link,img
0,Conspiracies enter Wisconsin midterms; Disaster relief for ...,NPR,Oct 2022,,"... that were wholly unfounded, widespread distrust in the election process 
lingers in Wisconsin. ... and many wonder how disaster relief will get to 
them.",https://www.npr.org/2022/10/06/1127256774/conspiracies-enter-wisconsin-midterms-disaster-relief-for-underserved-communitie,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
1,Waukesha Christmas parade victims,NPR,2 Nov 2021,,"... available 24/7 via the national Disaster Distress Helpline at 
800-985-5990. ... According to Thompson, officials with Children's 
Wisconsin hospital in...",https://www.npr.org/2021/11/22/1058110216/victims-identified-waukesha-christmas-parade-incident,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,How you can help the victims of the Waukesha Christmas Parade crash,WISN,2 Dec 2021,,"Children's Wisconsin: Project UjimaWisconsin Disaster Distress Helpline: 
800-985-5990. People can call or text.Healing Hearts of Southeast 
WisconsinFamily...",https://www.wisn.com/article/waukesha-how-you-can-help-victims-of-the-christmas-parade-crash/38323245,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,Newly re-formed Wisconsin Task Force 1 holds first readiness ...,Wisconsin Emergency Management,1 month ago,2022-11-02 17:39:42.386582,"The task force, managed by Wisconsin Emergency Management, ... “We train so 
we are ready for the next major disaster, like an insurance policy,” said...",https://wem.wi.gov/wem221024/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,"After a storm, who pays? The financial aftermath of tornados in ...",Channel3000.com,Aug 2021,,"But federal assistance–and any kind of taxpayer-funded assistance to 
individuals themselves–is unlikely based on the level of damages so far. 
Wisconsin Disaster...",https://www.channel3000.com/after-a-storm-who-pays-the-financial-aftermath-of-tornados-in-southern-wisconsin/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,Wisconsin All-Hazards Incident Management Team trains for ...,Wisconsin Emergency Management,6 May 2022,,"Wisconsin All-Hazards Incident Management Team trains for disaster ... 
Wisconsin Emergency Management (WEM) last year began the process of forming 
a new...",https://wem.wi.gov/ready220516/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
6,Create a Lasting Legacy – September is Preparedness Month ...,Wisconsin Emergency Management,9 Aug 2022,,"– Disasters can happen anytime, anywhere. To encourage all Wisconsinites to 
be ready, Governor Tony Evers has declared September Preparedness Month in 
Wisconsin...",https://wem.wi.gov/ready220829/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,Children's Wisconsin: Last patient returns home following ...,CBS 58,4 Jan 2022,,"Live support continues to be available by calling Children's Wisconsin's 
Disaster Distress Helpline at 800-985-5990. To connect with the Mental and 
Behavioral...",https://www.cbs58.com/news/childrens-wisconsin-last-patient-hospitalized-after-waukesha-parade-attack-returns-home,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,COVID-19 Disaster Declarations,FEMA,20 Aug 2021,,"Region 5 (IL, MI, OH, MN, WI, IN) · President Donald J. Trump Approves 
Major Disaster Declaration for Minnesota (English) (Spanish) · President 
Donald J. Trump...",https://www.fema.gov/disaster/coronavirus/disaster-declarations,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,Wisconsin Emergency Management announces Public Private ...,Wisconsin Emergency Management,Oct 2022,,"MADISON, Wis. – While local governments play a key role in directing 
response and recovery efforts following a disaster, there are many partners 
throughout...",https://wem.wi.gov/ready221003/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
10,The American Red Cross in Wisconsin needs your help as a ...,Milwaukee Journal Sentinel,1 Aug 2021,,"When disaster strikes, the Red Cross responds. ... Federico and Mark were 
remotely helping as incidents came in across Wisconsin, providing relief 
for...",https://www.jsonline.com/story/opinion/2021/08/11/american-red-cross-wisconsin-needs-your-help-volunteer/5557700001/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
11,NWS confirms 8 tornadoes in Wisconsin June 15,WEAU,7 Jun 2022,,"Mauston Mayor Dennis Nielsen issued a disaster declaration late Wednesday 
night following a day of storms that left a slew of damage in its wake.",https://www.weau.com/2022/06/17/nws-confirms-6-tornadoes-wisconsin-june-15/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
12,Wisconsin Task Force 1 returns to help communities in their ...,Wisconsin Emergency Management,2 Aug 2022,,"Now, that newly rebuilt team of firefighters, doctors, canine handlers, and 
structural engineers is back in action and ready to assist when a major 
disaster...",https://wem.wi.gov/wem220822/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
13,Trump announces $10 billion Foxconn plant in Wisconsin,Fox News,6 Sept 2017,,"WASHINGTON – President Donald Trump said Wednesday that Electronics giant 
Foxconn will build a $10 billion factory in Wisconsin that's expected to 
create...",https://www.foxnews.com/politics/trump-announces-10-billion-foxconn-plant-in-wisconsin,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
14,Prepare for the Summer months – June 1 is Heat Awareness ...,Wisconsin Emergency Management,6 May 2022,,"The past two decades were the warmest on record for Wisconsin, and as a 
result has negatively impacted more Wisconsinites than other weather 
disaster...",https://wem.wi.gov/ready220526/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
15,Wisconsin Governor's Cybersecurity Summit puts the focus on ...,Wisconsin Emergency Management,1 month ago,2022-11-02 17:39:43.193273,"“Cyber security has never been more important,” said Wisconsin Department 
of Administration Secretary-designee Kathy Blumenfeld. “Wisconsin 
experiences...",https://wem.wi.gov/hsc221027/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
16,Waukesha parade attack: 7 children still recovering in hospital one week after deadly ambush,Fox News,8 Nov 2021,,"Joseph Sifnaios, co-owner of The Coop restaurant in Waukesha, Wisconsin, 
says about $15,000 was raised for the holiday parade victims. The city of 
Waukesha...",https://www.foxnews.com/us/waukesha-holding-moment-of-silence-sunday-residents-will-unite-with-a-blue-light,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
17,WisDems: Michels wants to resurrect Walker-Kleefisch's ...,WisPolitics,7 Jun 2022,,"... the taxpayers in Wisconsin, they deserve to have a governor at least 
try. [. ... pretends to be an outsider, his ties to the Foxconn disaster 
run deep.",https://www.wispolitics.com/2022/wisdems-michels-wants-to-resurrect-walker-kleefischs-foxconn-deal-risking-more-wasted-tax-dollars,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
