,title,desc,date,datetime,link,img,media,site
0,Southeast Wisconsin weather: Mild and windy Friday,bookmark_border,8 hours ago,2022-12-02 10:06:32.497223,news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LnRtajQuY29tL3dlYXRoZXIvZm9yZWNhc3QvdG9kYXlzLWZvcmVjYXN0L3NvdXRoZWFzdC13aXNjb25zaW4td2VhdGhlci1taWxkLWFuZC13aW5keS1mcmlkYXnSAXFodHRwczovL3d3dy50bWo0LmNvbS93ZWF0aGVyL2ZvcmVjYXN0L3RvZGF5cy1mb3JlY2FzdC9zb3V0aGVhc3Qtd2lzY29uc2luLXdlYXRoZXItbWlsZC1hbmQtd2luZHktZnJpZGF5P19hbXA9dHJ1ZQ?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/lSVQoEXn4ijlfzVvTDRHzRdOOM6yOAngkLpKXAplVOw416KNGl_4dMvWA23YJGtGTnG34LkE8Bfw236uygyk2ubo7VDyfALWXEX8-CIyTEdmWAyvpjb4eXKVLvbEJzGyaoHiTPpnByvSDkoKRbGlWPhnOl9mbIlrpb_tDweYAhoZQBqKOUB7bsGx9G8jQg-pRe-jwKdNmfZ2f5H2JGgajpBHW0TkJt8EtWBFP7Kjq3cdQ6F0Smd9Bk4IKKs=s0-w100-h100-dciUGS1pzpsQkC,,
1,Southeast Wisconsin weather: Cloudy Friday with evening rain showers,bookmark_border,15 hours ago,2022-12-02 03:06:32.497934,news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LnRtajQuY29tL3dlYXRoZXIvZm9yZWNhc3QvdG9kYXlzLWZvcmVjYXN0L2NvbGQtc3RhcnQtdGh1cnNkYXktd2l0aC1tb3JlLXdpbmR5LXdlYXRoZXItb24tdGhlLXdhedIBdmh0dHBzOi8vd3d3LnRtajQuY29tL3dlYXRoZXIvZm9yZWNhc3QvdG9kYXlzLWZvcmVjYXN0L2NvbGQtc3RhcnQtdGh1cnNkYXktd2l0aC1tb3JlLXdpbmR5LXdlYXRoZXItb24tdGhlLXdheT9fYW1wPXRydWU?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/iKF4tyBaZNMv9DkYH542z-bURBCzI4QrDyDUlHGTcqlskuuVbRZlMrQr9V4Cv1N_4Bv5afbkj8kApLk5z0XjznFJLeNdICSr7ZrmrAB4-Pn76eD6gfY2VBCaRdjXETZ5onHkhuqFYTcnTLkAdTsnDErdOebOVsLU7AnuyV4tXY_H-2m5rmJIBbcXyGatkfV6s4IEAjQ0Sq5gDAYPZt92VVPwcuoN05ewBYYcJZRbUpZBhuvAZfOR-EBtlxc=s0-w100-h100-dcDTCYeBgK,,
2,"Friday, December 2 weather update for southern Wisconsin",bookmark_border,4 hours ago,2022-12-02 14:06:32.498476,news.google.com/./articles/CBMiigFodHRwczovL2xha2VnZW5ldmFuZXdzLm5ldC93ZWF0aGVyL2ZyaWRheS1kZWNlbWJlci0yLXdlYXRoZXItdXBkYXRlLWZvci1zb3V0aGVybi13aXNjb25zaW4vdmlkZW9fNWVjMWE2YjAtNGU0NC01ODk2LTlmNmMtZTEyOTk5Zjk2ZmNmLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/3LFpfMuciBIpfwUkr37QYZUTXnwX6S_sniR9h2BEMCgKKW4SPczr6g8dV-dxH6p92D57j9v72RoKNN5ew-tKJ28hY-VBwgXK6fS4p3PG0J1DyDuPKCZvq7QqyURaArbilN1jgk7Vxfal6aP7ogVk9F4QIXmHdkFVZf66C2lLG2u3Dr1ycJFyAXpI6B2ZD-VIYQmLibH7i4IVpGFv7mdrWV4R2Qu3F9txNRXMjK_SVBgJKBxt8863A5uJ4ueAs9aF8D8Ohu2-LlASfFjyiwGdAplfF25r9iv4CvZzp3cfkb5C09UNq-84lVAuS0M_12cUHqLFUhXbqsi4s0zzVMg=s0-w100-h100-dcgRCQLqGnyM15C6K6VzI,,
3,Winter weather with rain-snow mix impacting SE Wisconsin,bookmark_border,Nov 15,,news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3Lndpc24uY29tL2FydGljbGUvd2lzY29uc2luLW1pbHdhdWtlZS13aW50ZXItd2VhdGhlci1yYWluLXNub3ctaW1wYWN0LzQxOTY3NDcx0gFdaHR0cHM6Ly93d3cud2lzbi5jb20vYW1wL2FydGljbGUvd2lzY29uc2luLW1pbHdhdWtlZS13aW50ZXItd2VhdGhlci1yYWluLXNub3ctaW1wYWN0LzQxOTY3NDcx?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/W2g-OmXyKrRvdPCR732lmrEF34DVhgCRhCFlu6H4YOOvVGzqAhDKdoo6JZW2NoZj6BxaNZGNpfTRC6FpPPsS_uMcXHSi8J-N_x-fDVrjaEKA_aUQ98gIuOoNSKk6QvRaRcnJRusndIlGWWKTOl1ILaTVgyGCg0clPDDn79YcR3ODKRzf6KhbqC_RpUHAu1tpijotpKiBi35VUKT81UVz0piYzFCAWx2Pcx3nkA56S10-YiSMZ2t0Ghi7Bk4=s0-w100-h100-dcDSGcthgK,,
4,Winter storm will slam northwest Wisconsin on Tuesday,bookmark_border,3 days ago,2022-11-29 18:06:32.499551,news.google.com/./articles/CBMiZGh0dHBzOi8vc3BlY3RydW1uZXdzMS5jb20vd2kvbWlsd2F1a2VlL3dlYXRoZXIvMjAyMi8xMS8yOC93aW50ZXItc3Rvcm0td2lsbC1zbGFtLW5vcnRod2VzdC13aXNjb25zaW7SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/ju3QKlWyS9ptqCq4sBwh4jnIGyzZ_SJQopAf1xyHD3RVMZG4O14Xw_sr_EXIYooykYOJh6UvwN4mkWJyG8XF3D7D-ZdiJ7IXVXTg6PVcuQ9vndYIF9uQqf6Z5QbJ5Gsawp5kiX6kvBDRwLKR2g4=s0-w100-h100-dctcYY,,
5,Southeast Wisconsin weather: Rain moves out Sunday evening,bookmark_border,4 days ago,2022-11-28 18:06:32.500164,news.google.com/./articles/CBMidWh0dHBzOi8vd3d3LnRtajQuY29tL3dlYXRoZXIvZm9yZWNhc3QvdG9kYXlzLWZvcmVjYXN0L3NvdXRoZWFzdC13aXNjb25zaW4td2VhdGhlci1zYXR1cmRheS1zdW5zaGluZS10by1zdW5kYXktc2hvd2Vyc9IBf2h0dHBzOi8vd3d3LnRtajQuY29tL3dlYXRoZXIvZm9yZWNhc3QvdG9kYXlzLWZvcmVjYXN0L3NvdXRoZWFzdC13aXNjb25zaW4td2VhdGhlci1zYXR1cmRheS1zdW5zaGluZS10by1zdW5kYXktc2hvd2Vycz9fYW1wPXRydWU?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/YwbgtxxK_Gkj-p-5bra9xg6nvHBF83EUMvrhA9LXaJeyyOEsa-GKL705feqv82e2jQFooiu364LKol9mw3O6VILUlTRS52jnyUfYyFkXIxQzO7Z9JoETRIZvoCl4n5t-X7kSojOH1po4yYMGJMn25qhLNrP9aAreKz0iEDsKNn0giIxr5F7b28oHLbFJi668fUSDJT7-jHyz8nIYHB57X1sWTHVnqCGQ_zJkc_Dz5Uqhrzjyosm5oY668yI=s0-w100-h100-dcDTGYthgK,,
6,Southeast Wisconsin weather: Highs in the 50s for Saturday,bookmark_border,Nov 25,,news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LnRtajQuY29tL3dlYXRoZXIvZm9yZWNhc3QvdG9kYXlzLWZvcmVjYXN0L3NvdXRoZWFzdC13aXNjb25zaW4td2VhdGhlci1zdW5zaGluZS1pbi1zdG9yZS1mb3ItYmxhY2stZnJpZGF50gF-aHR0cHM6Ly93d3cudG1qNC5jb20vd2VhdGhlci9mb3JlY2FzdC90b2RheXMtZm9yZWNhc3Qvc291dGhlYXN0LXdpc2NvbnNpbi13ZWF0aGVyLXN1bnNoaW5lLWluLXN0b3JlLWZvci1ibGFjay1mcmlkYXk_X2FtcD10cnVl?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/N8JjkhukvQxEhBkq10xXLJkGEHLsr5lAiw7bozppMcmyLo44q5ULNiUp6r8o7nJjvJ75Iov9NN5vDT2pQsoyPfRJj_SGMof8DvLJeT36mCc0rUXcTkxrNoTPxvpBIAeL5T54owBSPPO7qDP15HiElH3z77AZGAaqlQsRYrf4BdU68RJ5nZLHpWNivaFWgb4YsdwHFt9Jo3nTB0VMV4hHuVg8rUX6UO5CyvtMKvJzU65ZXRo4WyHyfTJePVA=s0-w100-h100-dciUGUxirnLWcC,,
7,"Cloudy & breezy Sunday, messy weather possible Tuesday",bookmark_border,5 days ago,2022-11-27 18:06:32.501286,news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LndlYXJlZ3JlZW5iYXkuY29tL3dlYXRoZXIvY2xvdWR5LWJyZWV6eS1zdW5kYXktbWVzc3ktd2VhdGhlci1wb3NzaWJsZS10dWVzZGF5L9IBXmh0dHBzOi8vd3d3LndlYXJlZ3JlZW5iYXkuY29tL3dlYXRoZXIvY2xvdWR5LWJyZWV6eS1zdW5kYXktbWVzc3ktd2VhdGhlci1wb3NzaWJsZS10dWVzZGF5L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/EBa3UPuJnQ98bvn3Drp2ar6S4P0A9UtIt9NzFNB582TFS4Vl9aZd8o2JF3NayhKeoEUHv0CrJ-d7odIUqbSCjN9s9qGgz6cJbxls5f28n-fUYwFYxbdQBHSPaCS2OaDkSHwLSDbANAzgF-UGpQdmnsqiMg=s0-w100-h100-dcGQKaMBkJ,,
8,Most of Wisconsin could see more than two inches of accumulating snow this week,bookmark_border,Nov 14,,news.google.com/./articles/CBMigAFodHRwczovL3d3dy5qc29ubGluZS5jb20vc3Rvcnkvd2VhdGhlci8yMDIyLzExLzE0L21pbHdhdWtlZS1hbmQtd2lzY29uc2luLWNvdWxkLXNlZS1vdmVyLTItaW5jaGVzLW9mLXNub3ctdGhpcy13ZWVrLzY5NjQ1ODMzMDA3L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/SYUAHFvFyZREFcajIoDgKzv3e8Yfhj669F87J2P70TTsGOlz8Td-vfQikLTmAwuSxRV2mNZvYMqoRva53d18jby6CmLxbdyB5gao1IvYZScWzGu0XFXVy1xo2J81FnDCMkxK2BF90evetztx_FMfZSh-0yEZOxm10iO0-79nidEzDEakxy9jmjkueQYBQ-PlqRYDMayJwgt3koLeXSdovzZsfmizo0aQlA_4tOV1orCS0YL-dtvbM4i5rnf1DFXlGWTKELpAO6-uzXA7VWyNUb3vKTPz8RzYYKzG=s0-w100-h100-dcgVOEiCEE,,
9,Feels like temps in the 20s today,bookmark_border,Nov 11,,news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3LndlYXJlZ3JlZW5iYXkuY29tL3dlYXRoZXIvZmVlbHMtbGlrZS10ZW1wcy1pbi10aGUtMjBzLXRvZGF5L9IBTGh0dHBzOi8vd3d3LndlYXJlZ3JlZW5iYXkuY29tL3dlYXRoZXIvZmVlbHMtbGlrZS10ZW1wcy1pbi10aGUtMjBzLXRvZGF5L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/GSKrLCUUEgfjZ0gsNEOvZzZvkQk97JjEsNJsJJTKozMhu-zbD-GgR8SirSXliwxnnmw52FonplphTTHJ-96pNHiMskFVN6TiwZZqnWtZloVEF9fBHFIiPzEQ2QGOEcLKthBbscpX_PVpa5KaHR-jSYkPRw=s0-w100-h100-dcmQGOzQBrmmIrkaI,,
