CLIENT_ZIP,SITE_LATITUDE,SITE_LONGITUDE,DISTINCT_INTERACTION_ID_CNT
54601,43.8412348,-91.2381604,2
55921,44.0520323,-91.6363807,1
54701,34.08826696,-118.3718289,1
54669,38.8866804,-77.014524,1
52049,43.8730173,-91.1786141,1
53218,43.0409377,-87.9365218,16
53215,43.00679569,-88.02960138,5
53209,43.0488227,-87.9278883,29
53403,42.7153861,-87.8181059,10
53212,43.02236034,-87.91836009,2
55921,43.6344605,-91.4965296,1
53185,43.0210082,-87.9968633,2
53209,43.0433344,-87.9240303,3
53225,43.1192086,-88.0324478,5
53212,43.0696125,-87.9161658,2
53225,43.0395821,-87.9198778,10
53029,43.0215108,-88.2316651,2
53219,43.0395821,-87.9198778,3
53215,43.0147369,-87.949006,3
53225,43.0533748,-89.3955318,1
53204,43.0395821,-87.9198778,10
53072,43.0395821,-87.9198778,1
53212,43.0467965,-88.0076535,1
53202,43.0568755,-87.9820427,1
53208,43.0483622,-87.9296885,14
53405,42.7167377,-87.8003283,1
53215,43.0433344,-87.9240303,5
53225,43.0932201,-87.9477251,5
53403,42.7258283,-87.7899518,2
53209,43.0559483,-88.2247031,1
53204,43.0530363,-87.934476,3
53121,42.6522441,-88.775456,1
53224,43.0395821,-87.9198778,6
53224,43.1452797,-88.071874,1
53212,43.0409377,-87.9365218,11
53218,43.0429146,-89.3759564,2
53218,43.0102909,-87.9870578,2
53219,43.1192086,-88.0324478,2
53218,43.0750725,-88.0038214,2
53225,43.0409377,-87.9365218,3
53216,43.0371135,-87.9137137,2
53223,42.9725875,-88.055915,1
53208,38.8120934,-77.0405248,3
53224,43.0555513,-87.9627692,1
53214,43.1479775,-87.9791231,1
53205,32.9112562,-96.8758046,1
53227,43.0409377,-87.9365218,1
53209,43.0483622,-87.9296885,5
55921,43.6348736,-91.4950365,1
55921,40.0462053,-82.8663252,1
54603,43.8113574,-91.2487587,1
54636,44.8079904,-91.4676772,1
53206,43.0633551,-87.9180815,5
