,CLIENT_ZIP,SITE_ID,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP,DISTINCT_INTERACTION_ID_CNT,CLIENT_LATITUDE,CLIENT_LONGITUDE,STRAIGHT_DISTANCE_MILES
1,54601,12703,43.0923884,-89.3525366,53704.0,3,43.7989,-91.2175,105.52
3,53215,28504,43.0441177,-88.0289889,53226.0,3,43.006,-87.9429,5.08
4,53219,28505,43.1192086,-88.0324478,53225.0,2,42.9959,-87.9944,8.73
5,53206,28468,43.052153,-87.9191542,53212.0,7,43.0753,-87.9347,1.78
6,54636,11509,43.7699717,-91.2125017,54601.0,4,43.9761,-91.2497,14.36
7,53214,28397,43.0210082,-87.9968633,53214.0,35,43.0215,-88.0176,1.05
8,53209,27803,43.0906535,-87.9450801,53206.0,5,43.1188,-87.9478,1.95
9,53212,29588,43.0392652,-87.9152463,53203.0,5,43.0712,-87.9084,2.23
10,53209,28397,43.0210082,-87.9968633,53214.0,20,43.1188,-87.9478,7.2
11,53210,28435,43.0409377,-87.9365218,53233.0,23,43.0685,-87.9715,2.6
12,53220,28400,43.0488227,-87.9278883,53205.0,7,42.9559,-87.9933,7.22
13,53403,28620,42.7141496,-87.8022693,53403.0,2,42.706,-87.8014,0.56
14,53212,26934,43.0453982,-87.9001095,53202.0,3,43.0712,-87.9084,1.83
15,53209,28435,43.0409377,-87.9365218,53233.0,16,43.1188,-87.9478,5.41
16,53214,27227,43.0135771,-87.941262,53204.0,1,43.0215,-88.0176,3.9
17,53216,27055,43.0395821,-87.9198778,53233.0,18,43.0859,-87.9742,4.21
18,53216,37574,42.898416,-87.917775,53154.0,1,43.0859,-87.9742,13.26
19,53233,28505,43.1192086,-88.0324478,53225.0,4,43.0407,-87.9357,7.3
22,53225,36697,43.0389226,-87.962498,53208.0,1,43.1154,-88.0346,6.42
23,53212,28400,43.0488227,-87.9278883,53205.0,21,43.0712,-87.9084,1.83
24,53406,30172,42.7077879,-87.8032018,53403.0,1,42.7242,-87.8551,2.87
25,53185,1034,43.07011497,-88.24109471,53188.0,1,42.7632,-88.1974,21.32
27,53204,37592,43.0433865,-87.9208399,53233.0,1,43.0158,-87.9317,1.98
28,53218,28511,43.0551291,-87.9327909,53205.0,3,43.1122,-87.9932,4.98
29,53029,28397,43.0210082,-87.9968633,53214.0,1,43.1172,-88.3446,18.77
30,53403,28240,42.7091628,-87.8045215,53403.0,3,42.706,-87.8014,0.27
31,53204,30167,43.1156658,-87.9865502,53218.0,2,43.0158,-87.9317,7.43
32,53215,37477,43.0395821,-87.9198778,53233.0,5,43.006,-87.9429,2.6
33,53205,27722,42.9856117,-87.9355419,53215.0,1,43.0528,-87.9353,4.64
34,53224,28435,43.0409377,-87.9365218,53233.0,12,43.1594,-88.0327,9.52
35,53218,28435,43.0409377,-87.9365218,53233.0,20,43.1122,-87.9932,5.69
36,53206,27658,43.1244822,-87.9850609,53218.0,3,43.0753,-87.9347,4.24
37,53403,35298,42.732284,-87.7922417,53404.0,10,42.706,-87.8014,1.87
38,53223,27114,43.0555513,-87.9627692,53208.0,1,43.1624,-87.9898,7.51
39,53150,28617,43.0136678,-88.237429,53188.0,1,42.9047,-88.1214,9.55
40,53208,30121,43.0641205,-87.96717239,53233.0,2,43.0488,-87.9625,1.08
41,53210,27234,43.0676122,-87.9781143,53210.0,3,43.0685,-87.9715,0.34
42,53154,28400,43.0488227,-87.9278883,53205.0,3,42.8892,-87.9027,11.1
43,53206,28435,43.0409377,-87.9365218,53233.0,37,43.0753,-87.9347,2.38
44,53218,32116,43.0750725,-88.0038214,53210.0,2,43.1122,-87.9932,2.62
45,53222,12634,43.03884557,-87.91469278,53203.0,2,43.0828,-88.0269,6.43
46,53208,27574,43.0418686,-87.9084624,53202.0,1,43.0488,-87.9625,2.77
47,53209,36980,43.1479775,-87.9791231,53223.0,4,43.1188,-87.9478,2.56
48,53215,27787,43.0067816,-87.9304354,53204.0,7,43.006,-87.9429,0.63
49,53210,37820,43.0483622,-87.9296885,53205.0,5,43.0685,-87.9715,2.53
50,53209,19318,42.9943092,-87.9134072,53207.0,1,43.1188,-87.9478,8.77
51,53216,28255,43.0604221,-87.946784,53205.0,1,43.0859,-87.9742,2.24
52,53209,28506,43.0658628,-87.9121427,53212.0,1,43.1188,-87.9478,4.08
53,53206,37477,43.0395821,-87.9198778,53233.0,9,43.0753,-87.9347,2.58
54,53224,28400,43.0488227,-87.9278883,53205.0,5,43.1594,-88.0327,9.29
56,53212,28456,43.0483622,-87.9296885,53205.0,2,43.0712,-87.9084,1.91
57,53219,27235,43.0175128,-88.0583091,53214.0,1,42.9959,-87.9944,3.56
58,53224,27890,43.03733013,-87.92320041,53233.0,1,43.1594,-88.0327,10.08
59,53205,30121,43.0641205,-87.96717239,53233.0,1,43.0528,-87.9353,1.79
60,53212,28622,43.0607703,-87.934476,53205.0,9,43.0712,-87.9084,1.5
63,54650,12318,43.8730173,-91.1786141,54650.0,1,43.8974,-91.2314,3.12
64,53213,28456,43.0483622,-87.9296885,53205.0,1,43.0488,-88.0015,3.63
65,53233,28153,43.0386745,-87.9199844,53203.0,1,43.0407,-87.9357,0.81
66,53233,27081,43.0426483,-87.9212718,53233.0,1,43.0407,-87.9357,0.74
67,53204,30499,43.00679569,-88.02960138,53214.0,3,43.0158,-87.9317,4.99
68,53188,34924,43.0215108,-88.2316651,53188.0,1,43.0128,-88.2705,2.05
69,53225,27890,43.03733013,-87.92320041,53233.0,1,43.1154,-88.0346,7.79
70,53209,28622,43.0607703,-87.934476,53205.0,5,43.1188,-87.9478,4.07
71,53212,28504,43.0441177,-88.0289889,53226.0,8,43.0712,-87.9084,6.37
72,53213,28401,43.0488227,-87.9278883,53205.0,1,43.0488,-88.0015,3.72
73,53214,29697,43.1116189,-87.9641853,53209.0,3,43.0215,-88.0176,6.79
74,53208,20013,43.0345668,-87.924853,53233.0,1,43.0488,-87.9625,2.14
75,53218,37820,43.0483622,-87.9296885,53205.0,5,43.1122,-87.9932,5.45
76,53218,27533,42.972029,-87.91947462,53221.0,1,43.1122,-87.9932,10.38
77,53209,26934,43.0453982,-87.9001095,53202.0,2,43.1188,-87.9478,5.61
78,53218,28432,43.1203566,-88.0140662,53218.0,3,43.1122,-87.9932,1.19
79,53212,29715,43.1281001,-87.9909694,53218.0,2,43.0712,-87.9084,5.73
80,53210,28622,43.0607703,-87.934476,53205.0,4,43.0685,-87.9715,1.94
82,53204,27555,43.0511886,-87.939263,53205.0,1,43.0158,-87.9317,2.47
83,53205,37819,43.0433344,-87.9240303,53233.0,6,43.0528,-87.9353,0.87
84,53226,31808,43.0220824,-88.0005676,53214.0,1,43.0493,-88.0414,2.79
85,53209,28433,43.0484209,-87.9797328,53208.0,2,43.1188,-87.9478,5.12
86,53216,27658,43.1244822,-87.9850609,53218.0,5,43.0859,-87.9742,2.72
87,54601,11320,43.8253425,-91.2505251,54603.0,1,43.7989,-91.2175,2.46
89,54650,13946,43.8732619,-91.1990581,54650.0,1,43.8974,-91.2314,2.32
90,53140,28645,42.5648355,-87.8446155,53143.0,1,42.6052,-87.8299,2.89
91,53225,26909,43.0932201,-87.9477251,53216.0,7,43.1154,-88.0346,4.64
92,54669,11320,43.8253425,-91.2505251,54603.0,1,43.9063,-91.0893,9.79
93,54669,14279,43.8149618,-91.2504499,54601.0,1,43.9063,-91.0893,10.21
95,53209,28600,43.0418686,-87.9084624,53202.0,3,43.1188,-87.9478,5.67
96,53214,27615,43.0440971,-88.0289756,53226.0,2,43.0215,-88.0176,1.66
97,54304,6930,44.51141967,-88.0162226,54301.0,1,44.4975,-88.0324,1.25
98,53216,27271,43.1057349,-87.9337483,53209.0,1,43.0859,-87.9742,2.46
