CLIENT_ZIP,SITE_ID,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP,DISTINCT_INTERACTION_ID_CNT,CLIENT_LATITUDE,CLIENT_LONGITUDE,STRAIGHT_DISTANCE_MILES,DRIVING_DISTANCE_MILES,DRIVING_TIME_MINUTES,WALKING_DISTANCE_MILES,WALKING_TIME_MINUTES
54601,12703,43.0923884,-89.3525366,53704.0,3,43.7989,-91.2175,105.52,141.586758,132.13333333333333,,
53215,28504,43.0441177,-88.0289889,53226.0,3,43.006,-87.9429,5.08,8.188506,14.116666666666667,,
53219,28505,43.1192086,-88.0324478,53225.0,2,42.9959,-87.9944,8.73,13.077639000000001,19.0,,
53206,28468,43.052153,-87.9191542,53212.0,7,43.0753,-87.9347,1.78,2.08656,5.75,2.28528,45.583333333333336
54636,11509,43.7699717,-91.2125017,54601.0,4,43.9761,-91.2497,14.36,16.293798,28.25,,
53214,28397,43.0210082,-87.9968633,53214.0,35,43.0215,-88.0176,1.05,2.017008,5.183333333333334,1.486053,30.316666666666666
53209,27803,43.0906535,-87.9450801,53206.0,5,43.1188,-87.9478,1.95,2.744199,6.883333333333334,2.325024,47.05
53212,29588,43.0392652,-87.9152463,53203.0,5,43.0712,-87.9084,2.23,2.512566,9.5,2.413206,48.233333333333334
53209,28397,43.0210082,-87.9968633,53214.0,20,43.1188,-87.9478,7.2,11.936241,16.5,,
53210,28435,43.0409377,-87.9365218,53233.0,23,43.0685,-87.9715,2.6,3.579444,10.583333333333334,3.3347700000000002,67.68333333333334
53220,28400,43.0488227,-87.9278883,53205.0,7,42.9559,-87.9933,7.22,11.294127,16.833333333333332,,
53403,28620,42.7141496,-87.8022693,53403.0,2,42.706,-87.8014,0.56,0.602991,2.466666666666667,0.602991,12.05
53212,26934,43.0453982,-87.9001095,53202.0,3,43.0712,-87.9084,1.83,2.225664,7.4,2.113263,42.68333333333333
53209,28435,43.0409377,-87.9365218,53233.0,16,43.1188,-87.9478,5.41,7.50168,11.683333333333334,,
53214,27227,43.0135771,-87.941262,53204.0,1,43.0215,-88.0176,3.9,5.55795,10.6,4.450086,90.11666666666666
53216,27055,43.0395821,-87.9198778,53233.0,18,43.0859,-87.9742,4.21,4.656258,13.016666666666667,4.582359,93.48333333333333
53216,37574,42.898416,-87.917775,53154.0,1,43.0859,-87.9742,13.26,15.891390000000001,24.466666666666665,,
53233,28505,43.1192086,-88.0324478,53225.0,4,43.0407,-87.9357,7.3,8.150004000000001,20.5,,
53225,36697,43.0389226,-87.962498,53208.0,1,43.1154,-88.0346,6.42,7.363818,17.283333333333335,,
53212,28400,43.0488227,-87.9278883,53205.0,21,43.0712,-87.9084,1.83,2.646081,5.35,2.4647490000000003,49.733333333333334
53406,30172,42.7077879,-87.8032018,53403.0,1,42.7242,-87.8551,2.87,3.710475,9.566666666666666,3.565782,71.55
53185,1034,43.07011497,-88.24109471,53188.0,1,42.7632,-88.1974,21.32,25.708779,39.416666666666664,,
53204,37592,43.0433865,-87.9208399,53233.0,1,43.0158,-87.9317,1.98,2.888271,9.083333333333334,2.462886,50.35
53218,28511,43.0551291,-87.9327909,53205.0,3,43.1122,-87.9932,4.98,5.36544,14.25,5.203359,107.0
53029,28397,43.0210082,-87.9968633,53214.0,1,43.1172,-88.3446,18.77,22.540437,25.016666666666666,,
53403,28240,42.7091628,-87.8045215,53403.0,3,42.706,-87.8014,0.27,0.6464610000000001,2.533333333333333,0.648324,12.883333333333333
53204,30167,43.1156658,-87.9865502,53218.0,2,43.0158,-87.9317,7.43,11.949903,19.616666666666667,,
53215,37477,43.0395821,-87.9198778,53233.0,5,43.006,-87.9429,2.6,3.288195,11.066666666666666,3.013713,60.85
53205,27722,42.9856117,-87.9355419,53215.0,1,43.0528,-87.9353,4.64,6.810507,12.566666666666666,4.827033,98.66666666666667
53224,28435,43.0409377,-87.9365218,53233.0,12,43.1594,-88.0327,9.52,16.408683,21.566666666666666,,
53218,28435,43.0409377,-87.9365218,53233.0,20,43.1122,-87.9932,5.69,6.375186,17.5,,
53206,27658,43.1244822,-87.9850609,53218.0,3,43.0753,-87.9347,4.24,5.087853,12.366666666666667,5.276016,105.9
53403,35298,42.732284,-87.7922417,53404.0,10,42.706,-87.8014,1.87,2.346759,6.233333333333333,2.135619,42.8
53223,27114,43.0555513,-87.9627692,53208.0,1,43.1624,-87.9898,7.51,8.381016,20.983333333333334,,
53150,28617,43.0136678,-88.237429,53188.0,1,42.9047,-88.1214,9.55,11.363679000000001,23.566666666666666,,
53208,30121,43.0641205,-87.96717239,53233.0,2,43.0488,-87.9625,1.08,1.2370320000000001,3.533333333333333,1.215918,24.966666666666665
53210,27234,43.0676122,-87.9781143,53210.0,3,43.0685,-87.9715,0.34,0.5626260000000001,2.7333333333333334,0.38874600000000004,8.25
53154,28400,43.0488227,-87.9278883,53205.0,3,42.8892,-87.9027,11.1,14.391054,20.4,,
53206,28435,43.0409377,-87.9365218,53233.0,37,43.0753,-87.9347,2.38,2.579634,8.4,2.9522340000000002,60.4
53218,32116,43.0750725,-88.0038214,53210.0,2,43.1122,-87.9932,2.62,3.422952,9.25,3.1801410000000003,66.38333333333334
53222,12634,43.03884557,-87.91469278,53203.0,2,43.0828,-88.0269,6.43,8.326368,16.316666666666666,,
53208,27574,43.0418686,-87.9084624,53202.0,1,43.0488,-87.9625,2.77,3.508029,11.116666666666667,3.047247,61.43333333333333
53209,36980,43.1479775,-87.9791231,53223.0,4,43.1188,-87.9478,2.56,3.496851,7.133333333333334,3.518586,70.95
53215,27787,43.0067816,-87.9304354,53204.0,7,43.006,-87.9429,0.63,0.6545340000000001,3.35,0.6545340000000001,13.266666666666667
53210,37820,43.0483622,-87.9296885,53205.0,5,43.0685,-87.9715,2.53,3.269565,9.1,2.989494,60.35
53209,19318,42.9943092,-87.9134072,53207.0,1,43.1188,-87.9478,8.77,10.403613,15.35,,
