INTERACTION_ID,SITE_ID,CLIENT_ID,CLIENT_ZIP,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP
1239781,7489,1688,54601,43.8838955,-91.2309818,54650
1352233,7489,1688,54601,43.8838955,-91.2309818,54650
1351993,7489,1688,54601,43.8838955,-91.2309818,54650
1350847,7489,1688,54601,43.8838955,-91.2309818,54650
1342967,7489,1688,54601,43.8838955,-91.2309818,54650
1326943,16575,1688,54601,44.8907241,-91.9310145,54751
1351447,None,1688,54601,,,
1273277,37355,1688,54601,43.8276228,-91.2155493,54601
1327823,11483,1688,54601,43.8754262,-91.1801525,54650
1324015,16575,1688,54601,44.8907241,-91.9310145,54751
1381716,None,1688,54601,,,
1402165,7489,1688,54601,43.8838955,-91.2309818,54650
1287940,6237,1688,54601,,,
1332526,16575,1688,54601,44.8907241,-91.9310145,54751
1324032,,1688,54601,,,
1329920,16575,1688,54601,44.8907241,-91.9310145,54751
1385963,7489,2693,55921,43.8838955,-91.2309818,54650
1385575,7489,2693,55921,43.8838955,-91.2309818,54650
1381529,7489,2693,55921,43.8838955,-91.2309818,54650
1376423,7489,2693,55921,43.8838955,-91.2309818,54650
1370286,7489,2693,55921,43.8838955,-91.2309818,54650
1366043,7489,2693,55921,43.8838955,-91.2309818,54650
1365650,7489,2693,55921,43.8838955,-91.2309818,54650
1353716,7489,2693,55921,43.8838955,-91.2309818,54650
1293003,10539,2693,55921,43.6344605,-91.4965296,55921
1309745,10446,2693,55921,43.6324662,-91.4985521,55921
1159794,7489,2693,55921,43.8838955,-91.2309818,54650
1233313,7489,2693,55921,43.8838955,-91.2309818,54650
1226941,7489,2693,55921,43.8838955,-91.2309818,54650
1225104,7489,2693,55921,43.8838955,-91.2309818,54650
1208362,7489,2693,55921,43.8838955,-91.2309818,54650
1197544,7489,2693,55921,43.8838955,-91.2309818,54650
1191836,7489,2693,55921,43.8838955,-91.2309818,54650
1300672,7489,2693,55921,43.8838955,-91.2309818,54650
1290510,7489,2693,55921,43.8838955,-91.2309818,54650
1350023,7489,2693,55921,43.8838955,-91.2309818,54650
1344918,7489,2693,55921,43.8838955,-91.2309818,54650
1330183,7489,2693,55921,43.8838955,-91.2309818,54650
1311416,7489,2693,55921,43.8838955,-91.2309818,54650
1359202,7489,2693,55921,43.8838955,-91.2309818,54650
1229959,12633,2693,55921,44.9808097,-93.2643993,55415
1170327,7489,2693,55921,43.8838955,-91.2309818,54650
1223072,7489,2693,55921,43.8838955,-91.2309818,54650
1218367,7489,2693,55921,43.8838955,-91.2309818,54650
1217580,7489,2693,55921,43.8838955,-91.2309818,54650
1304810,7489,2693,55921,43.8838955,-91.2309818,54650
1304072,7489,2693,55921,43.8838955,-91.2309818,54650
1283538,7489,2693,55921,43.8838955,-91.2309818,54650
1348510,7489,2693,55921,43.8838955,-91.2309818,54650
1334095,7489,2693,55921,43.8838955,-91.2309818,54650
1329401,7489,2693,55921,43.8838955,-91.2309818,54650
1312659,7489,2693,55921,43.8838955,-91.2309818,54650
1218985,7489,2702,54650,43.8838955,-91.2309818,54650
1300195,7489,2702,54650,43.8838955,-91.2309818,54650
1372636,7489,2702,54650,43.8838955,-91.2309818,54650
1212638,7489,2841,54601,43.8838955,-91.2309818,54650
1402295,7489,2670,54601,43.8838955,-91.2309818,54650
1292111,8596,2843,54701,44.8113931,-91.5014253,54701
1159330,7489,2890,54669,43.8838955,-91.2309818,54650
1392151,7489,2890,54669,43.8838955,-91.2309818,54650
1244917,,2679,54636,,,
1291692,7489,2679,54636,43.8838955,-91.2309818,54650
1288392,7489,2679,54636,43.8838955,-91.2309818,54650
1273320,37355,1688,54601,43.8276228,-91.2155493,54601
1211249,20037,1688,54601,0,0,
1384457,7489,2693,55921,43.8838955,-91.2309818,54650
1367384,7489,2693,55921,43.8838955,-91.2309818,54650
1365470,7489,2693,55921,43.8838955,-91.2309818,54650
1364505,7489,2693,55921,43.8838955,-91.2309818,54650
1356635,7489,2693,55921,43.8838955,-91.2309818,54650
1223118,7489,2693,55921,43.8838955,-91.2309818,54650
1184025,7489,2693,55921,43.8838955,-91.2309818,54650
1176630,7489,2693,55921,43.8838955,-91.2309818,54650
1303504,7489,2693,55921,43.8838955,-91.2309818,54650
1274467,7489,2693,55921,43.8838955,-91.2309818,54650
1239764,7489,2693,55921,43.8838955,-91.2309818,54650
1341026,7489,2693,55921,43.8838955,-91.2309818,54650
1337541,7489,2693,55921,43.8838955,-91.2309818,54650
1331268,7489,2693,55921,43.8838955,-91.2309818,54650
1314638,7489,2693,55921,43.8838955,-91.2309818,54650
1393804,7489,2693,55921,43.8838955,-91.2309818,54650
1389549,7489,2693,55921,43.8838955,-91.2309818,54650
1305305,None,2693,55921,,,
1174284,7489,2693,55921,43.8838955,-91.2309818,54650
1297193,7489,2693,55921,43.8838955,-91.2309818,54650
1283502,7489,2693,55921,43.8838955,-91.2309818,54650
1273604,7489,2693,55921,43.8838955,-91.2309818,54650
1239184,7489,2693,55921,43.8838955,-91.2309818,54650
1352465,7489,2693,55921,43.8838955,-91.2309818,54650
1346633,7489,2693,55921,43.8838955,-91.2309818,54650
1332482,7489,2693,55921,43.8838955,-91.2309818,54650
1317992,7489,2693,55921,43.8838955,-91.2309818,54650
1317863,7489,2693,55921,43.8838955,-91.2309818,54650
1309623,7489,2693,55921,43.8838955,-91.2309818,54650
1402352,7489,2693,55921,43.8838955,-91.2309818,54650
1389648,7489,2693,55921,43.8838955,-91.2309818,54650
1387480,12703,2882,54669,43.0923884,-89.3525366,53704
1238576,12742,2882,54669,43.0749666,-89.3840985,53703
1332202,7489,2956,54615,43.8838955,-91.2309818,54650
1291994,7489,2693,55921,43.8838955,-91.2309818,54650
1335751,7489,2693,55921,43.8838955,-91.2309818,54650
1319309,7489,2693,55921,43.8838955,-91.2309818,54650
1318041,7489,2693,55921,43.8838955,-91.2309818,54650
1238531,20039,2882,54669,43.0718225,-89.3816961,53703
1207838,7489,2702,54650,43.8838955,-91.2309818,54650
1300058,7489,2702,54650,43.8838955,-91.2309818,54650
1292167,7489,2702,54650,43.8838955,-91.2309818,54650
1348196,7489,2702,54650,43.8838955,-91.2309818,54650
1388131,7489,2702,54650,43.8838955,-91.2309818,54650
1349631,,2702,54650,,,
1300178,7489,2841,54601,43.8838955,-91.2309818,54650
1295901,7489,2841,54601,43.8838955,-91.2309818,54650
1375111,7489,2841,54601,43.8838955,-91.2309818,54650
1234775,11411,2841,54601,43.8164908,-91.2368844,54601
1329574,7489,2940,54729,43.8838955,-91.2309818,54650
1209713,12772,2940,54729,39.0621943,-77.1123801,20852
1192690,9028,2940,54729,44.8832938,-91.8939361,54751
1330329,37355,2940,54729,43.8276228,-91.2155493,54601
1263785,7489,2841,54601,43.8838955,-91.2309818,54650
1358840,7489,2841,54601,43.8838955,-91.2309818,54650
