CLIENT_ZIP,SITE_ID,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP,DISTINCT_INTERACTION_ID_CNT
54650,12318,43.8730173,-91.1786141,54650,1
53209,27803,43.0906535,-87.9450801,53206,5
53210,28435,43.0409377,-87.9365218,53233,13
53214,29697,43.1116189,-87.9641853,53209,1
52049,13746,38.883601,-77.0264339,20260,1
53224,28435,43.0409377,-87.9365218,53233,9
53210,19259,43.0343804,-87.9031756,53202,1
53210,28153,43.0386745,-87.9199844,53203,1
54669,20037,0,0,,2
53225,26909,43.0932201,-87.9477251,53216,5
53208,12728,43.0602083,-89.4931812,53719,1
53221,31629,42.9600689,-87.9819402,53220,1
53212,37534,43.0607703,-87.934476,53205,1
53202,28101,43.0471809,-87.904287,53202,2
53205,27722,42.9856117,-87.9355419,53215,1
53216,28626,43.0081457,-88.2256718,53186,1
53215,28399,43.0210082,-87.9968633,53214,1
53218,29704,38.8120934,-77.0405248,22314,1
53218,6237,,,,1
53215,3750,42.9872017,-87.9397171,53215,1
53224,27890,43.03733013,-87.92320041,53233,1
53210,27234,43.0676122,-87.9781143,53210,3
53216,27055,43.0395821,-87.9198778,53233,14
53212,28400,43.0488227,-87.9278883,53205,17
53186,None,,,,1
53206,7212,43.0365345,-89.411282,53713,1
53150,28617,43.0136678,-88.237429,53188,1
53094,26791,43.1959791,-88.7232792,53094,1
53218,28432,43.1203566,-88.0140662,53218,3
53214,27715,43.0411607,-87.9142099,53203,1
54729,13873,44.9135889,-91.3955842,54729,1
53209,28435,43.0409377,-87.9365218,53233,11
53218,28435,43.0409377,-87.9365218,53233,13
53206,28435,43.0409377,-87.9365218,53233,27
53210,27744,43.05527576,-87.91821342,53212,1
53224,41157,43.0488227,-87.9278883,53205,1
53212,28504,43.0441177,-88.0289889,53226,6
53212,28622,43.0607703,-87.934476,53205,6
53216,27658,43.1244822,-87.9850609,53218,4
53209,28397,43.0210082,-87.9968633,53214,10
53206,37477,43.0395821,-87.9198778,53233,8
53110,27055,43.0395821,-87.9198778,53233,2
53212,28456,43.0483622,-87.9296885,53205,2
53216,26933,43.0371135,-87.9137137,53290,2
53214,27229,43.0147049,-88.0016685,53214,3
53215,36980,43.1479775,-87.9791231,53223,1
53202,,,,,1
55921,14687,44.0506888,-91.6393769,55987,1
55921,11483,43.8754262,-91.1801525,54650,1
54601,11923,43.8146827,-91.2486459,54601,1
53110,28504,43.0441177,-88.0289889,53226,3
53224,27114,43.0555513,-87.9627692,53208,1
53210,37820,43.0483622,-87.9296885,53205,5
54636,,,,,1
53208,28153,43.0386745,-87.9199844,53203,1
53214,27615,43.0440971,-88.0289756,53226,1
53225,28504,43.0441177,-88.0289889,53226,1
53209,37623,43.0210082,-87.9968633,53214,1
53218,27533,42.972029,-87.91947462,53221,1
53403,35298,42.732284,-87.7922417,53404,9
53215,27754,43.0054478,-87.9758952,53219,1
53204,20037,0,0,,3
53220,28400,43.0488227,-87.9278883,53205,4
53212,29198,43.0785993,-87.916434,53212,1
53209,26934,43.0453982,-87.9001095,53202,2
53218,28511,43.0551291,-87.9327909,53205,3
53221,27737,43.0530363,-87.934476,53205,1
53185,27282,43.0226032,-87.9314504,53204,1
53403,37288,43.0533748,-89.3955318,53715,1
53214,27737,43.0530363,-87.934476,53205,2
53206,36908,43.0406934,-87.9124493,53203,1
53404,28703,42.73079,-87.7832232,53403,1
53205,37819,43.0433344,-87.9240303,53233,6
53210,28929,43.0122026,-87.9523576,53215,2
53215,27787,43.0067816,-87.9304354,53204,6
53212,26934,43.0453982,-87.9001095,53202,3
53215,37477,43.0395821,-87.9198778,53233,4
53132,19318,42.9943092,-87.9134072,53207,1
53215,28483,42.9943092,-87.9134072,53207,1
53212,29715,43.1281001,-87.9909694,53218,2
53115,35256,42.6327899,-88.6381932,53115,1
53204,27111,43.0235637,-87.9891923,53214,1
53210,28622,43.0607703,-87.934476,53205,4
53404,28215,43.1002545,-89.5390746,53562,2
53207,28114,43.0383969,-87.947036,53233,1
53209,28600,43.0418686,-87.9084624,53202,3
53403,28240,42.7091628,-87.8045215,53403,3
53404,29704,38.8120934,-77.0405248,22314,2
53224,28400,43.0488227,-87.9278883,53205,4
53212,29588,43.0392652,-87.9152463,53203,4
53402,12703,43.0923884,-89.3525366,53704,1
53226,31808,43.0220824,-88.0005676,53214,1
53209,27576,43.0773764,-87.9580253,53216,1
53222,27055,43.0395821,-87.9198778,53233,2
53220,27745,43.0625038,-87.9771504,53210,1
55921,10630,43.6383785,-91.4935622,55921,1
54603,11817,43.8165172,-91.2482325,54601,1
53213,28401,43.0488227,-87.9278883,53205,1
53209,26933,43.0371135,-87.9137137,53290,5
53140,28645,42.5648355,-87.8446155,53143,1
53233,27081,43.0426483,-87.9212718,53233,1
53402,20050,43.0718225,-89.3816961,53703,1
53089,28617,43.0136678,-88.237429,53188,1
53209,28506,43.0658628,-87.9121427,53212,1
53213,30499,43.00679569,-88.02960138,53214,1
54304,6930,44.51141967,-88.0162226,54301,1
53206,27658,43.1244822,-87.9850609,53218,3
53207,28073,43.0402924,-87.9140894,53203,1
54669,14279,43.8149618,-91.2504499,54601,1
53209,28622,43.0607703,-87.934476,53205,5
53216,27271,43.1057349,-87.9337483,53209,1
53204,27087,42.990477,-87.9475489,53215,1
53218,27420,43.061501,-87.974422,53210,1
53154,28400,43.0488227,-87.9278883,53205,2
53214,28397,43.0210082,-87.9968633,53214,5
53226,37818,42.9850595,-87.9345942,53215,1
53210,29210,43.0415872,-87.9240961,53233,1
53208,28159,43.0395821,-87.9198778,53233,1
53209,28433,43.0484209,-87.9797328,53208,2
53202,27523,43.0417217,-87.9043253,53202,1
53204,28460,43.0308471,-88.0175196,53214,2
53204,30883,43.0641205,-87.96717239,,1
53209,19318,42.9943092,-87.9134072,53207,1
53219,28505,43.1192086,-88.0324478,53225,2
53210,27654,43.0535607,-87.9194224,53205,1
53204,28507,43.0177922,-87.9234448,53204,1
53188,28617,43.0136678,-88.237429,53188,3
53209,36980,43.1479775,-87.9791231,53223,4
53206,28468,43.052153,-87.9191542,53212,6
53216,28255,43.0604221,-87.946784,53205,1
53205,35464,43.0556602,-87.9181198,53212,3
53188,28613,43.0230072,-88.2131352,53186,1
55921,38042,37.7811495,-122.4579245,94118,1
53213,28456,43.0483622,-87.9296885,53205,1
53224,27737,43.0530363,-87.934476,53205,2
53210,28401,43.0488227,-87.9278883,53205,1
53208,20013,43.0345668,-87.924853,53233,1
53204,37690,43.039843,-87.920732,53233,1
54650,13946,43.8732619,-91.1990581,54650,1
53186,28609,42.9895128,-88.2447349,53189,1
53001,21054,43.701008,-87.719117,53081,1
53029,28397,43.0210082,-87.9968633,53214,1
53218,13746,38.883601,-77.0264339,20260,1
53212,28395,43.0229535,-87.9298417,53204,1
53209,37587,43.1423223,-87.9539741,53209,2
53225,37442,43.128509,-87.955344,53209,1
53403,28178,42.7275578,-87.7845572,53403,1
53225,27890,43.03733013,-87.92320041,53233,1
53222,12634,43.03884557,-87.91469278,53203,2
53218,32116,43.0750725,-88.0038214,53210,2
53214,27676,43.1040079,-87.9600134,53209,1
53403,29448,42.7168522,-87.8476854,53406,1
53211,37590,43.056006,-87.9162808,53212,1
53218,27114,43.0555513,-87.9627692,53208,3
53227,28504,43.0441177,-88.0289889,53226,1
53233,28439,43.042531,-87.94918,53208,1
53223,36980,43.1479775,-87.9791231,53223,1
53210,37534,43.0607703,-87.934476,53205,1
53216,37574,42.898416,-87.917775,53154,1
54729,,,,,1
53233,28153,43.0386745,-87.9199844,53203,1
53207,27621,43.0565334,-87.9879237,53208,1
53233,28505,43.1192086,-88.0324478,53225,4
53215,28504,43.0441177,-88.0289889,53226,2
53205,30121,43.0641205,-87.96717239,53233,1
53405,28793,42.7257877,-87.8932441,53406,1
53204,13748,38.8120934,-77.0405248,22314,1
