,AgencySystem_Name,SiteSystem_Name,Agency_Id,Site_Id,Site_AgencyId,Site_Status,site_lat,site_long,site_zip_lat,site_zip_long,site_address
0,INTEGRATED COMMUNITY SOLUTIONS,INTEGRATED COMMUNITY SOLUTIONS,1,414.0,1.0,active,44.4794866,-88.0698477,44.489906,-88.06991,"2605 S ONEIDA ST Suite 106 GREEN BAY WI, 54304"
1,INTEGRATED COMMUNITY SOLUTIONS,ZZZINACTIVE LEAVING HOMELESSNESS BEHIND,1,418.0,1.0,active,44.50185133,-88.05654379,44.489906,-88.06991,"2605 South Oneida Street Suite 106 Green Bay WI, 54304"
2,INTERIM HEALTH CARE,INTERIM HEALTH CARE,2,419.0,2.0,active,44.5305774,-88.0604128,44.542973,-88.05582,"1600 Shawano Avenue Suite 201 Green Bay WI, 54303"
3,zzinactive_INTERNATIONAL TRANSLATORS,zzinactive_VILLA REAL DBA INTERNATIONAL TRANSLATORS,3,420.0,3.0,active,44.50781148,-88.01696599,44.483376,-88.02269,"529 South Jefferson Street Suite 203 Green Bay WI, 54301"
4,JACKIE NITSCHKE CENTER,JACKIE NITSCHKE CENTER,4,421.0,4.0,active,44.5127128,-88.0088078,44.483376,-88.02269,"630 CHERRY STREET GREEN BAY WI, 54301"
5,ZZZANGELS ON HUMBOLDT,ZZZANGELS ON HUMBOLDT,5,424.0,5.0,active,44.51140049,-87.91243475,44.519512,-87.90283,"653 Woodside Road Green Bay WI, 54311"
6,ZZZKRIDER'S PHARMACY,ZZZKRIDER'S PHARMACY,6,425.0,6.0,active,44.51679121,-88.04456574,44.542973,-88.05582,"1119 West Mason Street Green Bay WI, 54303"
7,LAMERS,LAMERS,7,426.0,7.0,active,44.5001026,-88.1090319,44.573605,-88.11151,"2407 SOUTH POINT ROAD GREEN BAY WI, 54313"
8,ZZZ INACTIVE LEDGEVIEW NURSING HOME,ZZZ INACTIVE LEDGEVIEW NURSING HOME,8,427.0,8.0,active,44.43941385,-88.03538761,44.409664,-88.09825,"3737 Dickinson Road De Pere WI, 54115"
9,LITERACY GREEN BAY,LITERACY GREEN BAY,9,428.0,9.0,active,44.5080358,-88.0139117,44.483376,-88.02269,"424 SOUTH MONROE AVENUE GREEN BAY WI, 54301"
