INTERACTION_ID,INTERACTION_CLIENTID,CLIENT_ID,SITE_ID,AGENCY_ID,PROGRAM_ID,SERVICE_ID,TAXONOMY_ID,TAXONOMY_NAME,DATEOFREFERRAL,AGENCY_PARENTID,SITESYSTEM_NAME,AGENCYSYSTEM_NAME,INTERACTIONREFERRAL_ID,AGENCYSYSTEM_PARENTNAME
1405553,22934,22934,28405,16176,None,49744,407858,Home Delivered Meals,None,16176,AGING AND DISABILITY RESOURCE CENTER (ADRC) OF MILWAUKEE COUNTY - MARCIA P COGGS CENTER,AGING AND DISABILITY RESOURCE CENTER (ADRC) OF MILWAUKEE COUNTY,2126639,AGING AND DISABILITY RESOURCE CENTER (ADRC) OF MILWAUKEE COUNTY
1405339,24900,24900,27086,15492,None,46833,409105,Municipal Police,None,15492,MILWAUKEE POLICE DEPARTMENT - DISTRICT 5,MILWAUKEE POLICE DEPARTMENT,2126282,MILWAUKEE POLICE DEPARTMENT
1405337,27820,27820,35612,16801,None,60112,407833,Winter Clothing,None,16801,MACCANON BROWN HOMELESS SANCTUARY,MACCANON BROWN HOMELESS SANCTUARY,2126276,MACCANON BROWN HOMELESS SANCTUARY
1405333,34433,34433,30187,16836,None,52044,407761,Food Pantries,None,16836,LIVING FAITH LUTHERAN CHURCH,LIVING FAITH LUTHERAN CHURCH,2126271,LIVING FAITH LUTHERAN CHURCH
1405271,24158,24158,27114,15510,None,46900,407978,Low Income/Subsidized Private Rental Housing,None,15510,UNITED METHODIST CHILDRENS SERVICES,UNITED METHODIST CHILDRENS SERVICES,2126161, AgencySystem_ParentName: ""UNITED METHODIST CHILDRENS SERVICES""
1405263,2788,2788,10025,4311,None,23689,413164,Individual Counseling,None,4311,LIGHTHOUSE PROFESSIONAL COUNSELING SERVICES,LIGHTHOUSE PROFESSIONAL COUNSELING SERVICES,2126130,LIGHTHOUSE PROFESSIONAL COUNSELING SERVICES
1405228,34193,34193,28400,16174,None,61692,408259,Gas Service Payment Assistance,None,16174,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,2126075,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES
1405208,37629,37629,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2126049,IMPACT
1405176,26768,26768,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2126004,IMPACT
1405161,2680,2680,37403,7800,None,64303,411244,Undesignated Temporary Financial Assistance,None,7800,NORTHEAST IOWA COMMUNITY ACTION CORPORATION - CLAYTON COUNTY,NORTHEAST IOWA COMMUNITY ACTION CORPORATION,2125989,NORTHEAST IOWA COMMUNITY ACTION CORPORATION
1405140,42998,42998,37820,16173,None,65177,121,Housing Related Coordinated Entry,None,16173,IMPACT - REPAIRERS OF THE BREACH,IMPACT,2125957,IMPACT
1405110,2670,2670,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2125894,GREAT RIVERS 2-1-1
1405077,2693,2693,14003,8793,None,58909,408110,Automotive Repair and Maintenance,None,8793,HOUSTON COUNTY SALVATION ARMY,HOUSTON COUNTY SALVATION ARMY,2125843,HOUSTON COUNTY SALVATION ARMY
1405060,40885,40885,26937,15443,None,46438,407978,Low Income/Subsidized Private Rental Housing,None,15443,SAINT CLARE MANAGEMENT,SAINT CLARE MANAGEMENT,2125815,SAINT CLARE MANAGEMENT
1404984,24563,24563,37092,23268,None,63591,411591,Holiday Gifts/Toys,None,23268,TOYS FOR TOTS WEBSITE (Year-round for Information and Community Outreach),TOYS FOR TOTS WEBSITE (Year-round for Information and Community Outreach),2125657,TOYS FOR TOTS WEBSITE (Year-round for Information and Community Outreach)
