Client_Id,Interaction_ClientId,Interaction_Id,Notes,Units,Amount,Site_Id,Agency_Id,Program_Id,Service_id,ShareOptIn,CostPerUnit,Taxonomy_Id,FundingAmount,Taxonomy_Code,Taxonomy_Name,DateOfReferral,Agency_ParentId,SiteSystem_Name,TaxonomyLink_Id,AgencySystem_Name,TaxonomyLink_Code,TaxonomyLink_Name,ProgramSystem_Name,ServiceSystem_Name,DateOfServiceProvided,InteractionReferral_Id,AgencySystem_ParentName,OptionListValue_ReasonUnmet
22934,22934,1405553,None,None,16176,49744,None,None,'Home Delivered Meals',16176,None,None,None,None,'AGING AND DISABILITY RESOURCE CENTER (ADRC) OF MILWAUKEE COUNTY',None,None,16176,49744,None,None,'Home Delivered Meals',16176,None,None,None,None,'AGING AND DISABILITY RESOURCE CENTER (ADRC) OF MILWAUKEE COUNTY'
22934,22934,1405553,None,28405,None,None,407858,'BD-5000.3500',None,'AGING AND DISABILITY RESOURCE CENTER (ADRC) OF MILWAUKEE COUNTY - MARCIA P COGGS CENTER','AGING AND DISABILITY RESOURCE CENTER (ADRC) OF MILWAUKEE COUNTY',None,'MEALS ON WHEELS',2126639,None,None,28405,None,None,407858,'BD-5000.3500',None,'AGING AND DISABILITY RESOURCE CENTER (ADRC) OF MILWAUKEE COUNTY - MARCIA P COGGS CENTER','AGING AND DISABILITY RESOURCE CENTER (ADRC) OF MILWAUKEE COUNTY',None,'MEALS ON WHEELS',2126640,None
24900,24900,1405339,None,None,None,27086,15492,None,46833,None,None,409105,None,'FL-6500','Municipal Police',None,15492,'MILWAUKEE POLICE DEPARTMENT - DISTRICT 5',None,'MILWAUKEE POLICE DEPARTMENT',None,None,None,'POLICE DEPARTMENT - DISTRICT 5',None,2126282,'MILWAUKEE POLICE DEPARTMENT',None
27820,27820,1405337,None,None,16801,60112,None,None,'Winter Clothing',16801,None,None,None,None,'MACCANON BROWN HOMELESS SANCTUARY',None,None,15819,48139,None,None,'Winter Clothing',15819,None,None,None,None,'HOUSE OF PEACE'
27820,27820,1405337,None,35612,None,None,407833,'BM-6500.1500-920',None,'MACCANON BROWN HOMELESS SANCTUARY','MACCANON BROWN HOMELESS SANCTUARY',None,'CLOTHING DISTRIBUTION',2126276,None,None,27737,None,None,407833,'BM-6500.1500-920',None,'HOUSE OF PEACE COMMUNITY CENTER','HOUSE OF PEACE',None,'CAPUCHIN CLOTHING CENTER - APPOINTMENT NEEDED',2126277,None
34433,34433,1405333,None,None,16836,52044,None,None,'Food Pantries',16836,None,None,None,None,'LIVING FAITH LUTHERAN CHURCH',None,None,16832,52022,None,None,'Food Pantries',16832,None,None,None,None,'HARVEST OUTREACH'
34433,34433,1405333,None,30187,None,None,407761,'BD-1800.2000',None,'LIVING FAITH LUTHERAN CHURCH','LIVING FAITH LUTHERAN CHURCH',None,'FAITHWORKS FOOD PANTRY',2126271,None,None,30172,None,None,407761,'BD-1800.2000',None,'HARVEST OUTREACH','HARVEST OUTREACH',None,'FOOD PANTRY',2126272,None
24158,24158,1405271,None,None,15510,46900,None,None,'Low Income/Subsidized Private Rental Housing',15510,None,None,None,None,"""UNITED METHODIST CHILDREN'S SERVICES""",None,None,16016,49262,None,None,'Low Income/Subsidized Private Rental Housing',16016,None,None,None,None,'LUTHERAN SOCIAL SERVICES OF WI AND UPPER MICHIGAN'
24158,24158,1405271,None,27114,None,None,407978,'BH-7000.4600-450',None,"""UNITED METHODIST CHILDREN'S SERVICES""","""UNITED METHODIST CHILDREN'S SERVICES""",None,'SUPPORTIVE HOUSING',2126161,None,None,28193,None,None,407978,'BH-7000.4600-450',None,'LUTHERAN SOCIAL SERVICES OF WI AND UPPER MICHIGAN (LSS) - WASHINGTON ST','LUTHERAN SOCIAL SERVICES OF WI AND UPPER MICHIGAN',None,'SENIOR RENTAL HOUSING - MULTIPLE LOCATIONS',2126162,None
2788,2788,1405263,None,23689,'Individual Counseling',None,'LIGHTHOUSE PROFESSIONAL COUNSELING SERVICES',8056,None,None,None,None,None,8034,None,None,60178,'Individual Counseling',None,'FAMILIES FIRST COUNSELING SERVICES',7895,None,None,None,None,None,6227,None
